Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
CSV-62,305687,CSV,Bug,Resolved,Won't Fix,15/03/2012 02:49,15/03/2012 04:04
CSV-5,305744,CSV,Improvement,Closed,Fixed,09/08/2006 15:49,10/08/2006 17:18
CSV-78,305671,CSV,Improvement,Resolved,Fixed,22/03/2012 00:07,01/08/2013 22:02
CSV-4,305745,CSV,Improvement,Resolved,Fixed,01/08/2006 14:41,12/11/2011 08:22
CSV-103,305608,CSV,Improvement,Open,,27/11/2013 20:35,
CSV-102,305609,CSV,Bug,Open,,05/11/2013 07:41,
CSV-101,305610,CSV,Improvement,Open,,24/11/2012 11:37,
CSV-100,305611,CSV,Bug,Resolved,Fixed,18/09/2013 21:00,18/09/2013 22:58
CSV-99,305650,CSV,Improvement,Resolved,Fixed,08/06/2013 20:38,30/07/2013 22:43
CSV-98,305651,CSV,Bug,Resolved,Fixed,07/05/2013 23:11,07/05/2013 23:15
CSV-97,305652,CSV,Bug,Resolved,Fixed,09/04/2013 04:28,09/04/2013 04:35
CSV-96,305653,CSV,Bug,Resolved,Fixed,21/03/2013 04:17,24/06/2013 14:27
CSV-95,305654,CSV,Wish,Resolved,Fixed,20/03/2013 02:26,12/06/2013 14:47
CSV-94,305655,CSV,Improvement,Resolved,Fixed,13/10/2012 21:38,14/10/2012 00:04
CSV-93,305656,CSV,Improvement,Resolved,Fixed,30/07/2012 18:01,24/06/2013 11:06
CSV-77,305672,CSV,Bug,Resolved,Fixed,21/03/2012 18:26,27/03/2012 02:34
CSV-92,305657,CSV,New Feature,Resolved,Fixed,30/03/2012 05:17,12/09/2012 21:41
CSV-91,305658,CSV,New Feature,Resolved,Later,30/03/2012 09:25,24/06/2013 17:17
CSV-90,305659,CSV,Bug,Resolved,Fixed,29/03/2012 21:39,19/04/2012 08:24
CSV-89,305660,CSV,Improvement,Resolved,Won't Fix,27/03/2012 18:06,30/03/2012 03:57
CSV-88,305661,CSV,Bug,Resolved,Fixed,27/03/2012 09:32,16/10/2012 07:11
CSV-87,305662,CSV,Bug,Resolved,Fixed,27/03/2012 08:02,27/03/2012 08:42
CSV-85,305664,CSV,Improvement,Resolved,Fixed,24/03/2012 23:05,30/03/2012 03:51
CSV-84,305665,CSV,Improvement,Resolved,Fixed,24/03/2012 19:04,28/03/2012 21:47
CSV-83,305666,CSV,Improvement,Resolved,Won't Fix,24/03/2012 01:33,27/03/2012 09:09
CSV-82,305667,CSV,Bug,Resolved,Fixed,24/03/2012 01:28,24/06/2013 17:16
CSV-81,305668,CSV,Improvement,Resolved,Fixed,23/03/2012 02:41,23/03/2012 03:04
CSV-80,305669,CSV,Bug,Resolved,Fixed,23/03/2012 02:21,23/03/2012 02:25
CSV-79,305670,CSV,Bug,Resolved,Fixed,22/03/2012 01:04,22/03/2012 02:14
CSV-76,305673,CSV,Improvement,Resolved,Won't Fix,17/03/2012 21:49,24/06/2013 11:35
CSV-75,305674,CSV,Bug,Resolved,Fixed,17/03/2012 21:30,27/03/2012 09:09
CSV-74,305675,CSV,Improvement,Resolved,Fixed,17/03/2012 21:01,22/03/2012 02:20
CSV-73,305676,CSV,New Feature,Open,,17/03/2012 19:28,
CSV-72,305677,CSV,Bug,Resolved,Fixed,17/03/2012 12:16,27/03/2012 02:36
CSV-70,305679,CSV,Improvement,Resolved,Fixed,17/03/2012 01:02,30/03/2012 09:19
CSV-69,305680,CSV,Test,Resolved,Fixed,16/03/2012 22:02,29/03/2012 21:09
CSV-68,305681,CSV,Improvement,Resolved,Fixed,16/03/2012 09:48,18/11/2012 02:01
CSV-67,305682,CSV,Bug,Resolved,Fixed,16/03/2012 08:27,17/03/2012 20:29
CSV-66,305683,CSV,New Feature,Open,,15/03/2012 08:45,
CSV-65,305684,CSV,New Feature,Resolved,Fixed,15/03/2012 08:40,30/03/2012 03:33
CSV-64,305685,CSV,Bug,Resolved,Fixed,15/03/2012 03:04,21/06/2013 22:55
CSV-63,305686,CSV,Improvement,Open,,15/03/2012 03:01,
CSV-61,305688,CSV,Improvement,Resolved,Won't Fix,15/03/2012 02:46,17/03/2012 19:01
CSV-60,305689,CSV,Bug,Resolved,Fixed,15/03/2012 01:24,15/03/2012 01:44
CSV-59,305690,CSV,Improvement,Resolved,Fixed,15/03/2012 00:28,15/03/2012 01:42
CSV-58,305691,CSV,Bug,Open,,14/03/2012 23:37,
CSV-57,305692,CSV,Improvement,Resolved,Fixed,13/03/2012 02:10,30/03/2012 03:27
CSV-56,305693,CSV,Improvement,Open,,12/03/2012 23:57,
CSV-55,305694,CSV,Improvement,Resolved,Fixed,12/03/2012 21:57,12/03/2012 23:13
