Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
EXLBR-16,284436,EXLBR,New Feature,Closed,Fixed,22/11/2004 03:33,05/12/2004 02:48
EXLBR-44,284408,EXLBR,Task,Closed,Fixed,07/07/2009 23:30,11/07/2009 03:33
EXLBR-43,284409,EXLBR,Improvement,Closed,Fixed,30/06/2009 14:36,30/06/2009 21:35
EXLBR-20,284432,EXLBR,Bug,Closed,Fixed,10/02/2005 08:00,17/04/2005 08:27
EXLBR-19,284433,EXLBR,Bug,Closed,Fixed,07/01/2005 07:58,28/07/2005 22:47
EXLBR-39,284413,EXLBR,Improvement,Closed,Fixed,05/06/2009 18:46,18/06/2009 00:46
EXLBR-52,284400,EXLBR,New Feature,Open,,23/07/2009 21:50,
EXLBR-51,284401,EXLBR,Task,Closed,Fixed,23/07/2009 21:42,23/07/2009 21:44
EXLBR-50,284402,EXLBR,Task,Closed,Fixed,23/07/2009 19:31,23/07/2009 19:45
EXLBR-42,284410,EXLBR,Improvement,Closed,Fixed,18/06/2009 18:22,11/07/2009 03:06
EXLBR-40,284412,EXLBR,Improvement,Open,,05/06/2009 18:48,
EXLBR-38,284414,EXLBR,Improvement,Closed,Fixed,05/06/2009 18:20,11/07/2009 03:07
EXLBR-37,284415,EXLBR,Improvement,Closed,Fixed,05/06/2009 18:17,17/06/2009 17:49
EXLBR-36,284416,EXLBR,Improvement,Closed,Fixed,05/06/2009 17:46,16/06/2009 03:30
EXLBR-35,284417,EXLBR,Improvement,Closed,Fixed,05/06/2009 16:43,16/06/2009 03:15
EXLBR-34,284418,EXLBR,Bug,Open,,14/01/2007 08:47,
EXLBR-33,284419,EXLBR,Bug,Closed,Fixed,14/01/2007 04:57,15/02/2007 07:17
EXLBR-32,284420,EXLBR,Bug,Closed,Fixed,21/12/2006 19:16,04/01/2007 16:15
EXLBR-18,284434,EXLBR,Improvement,Closed,Fixed,23/11/2004 18:18,14/12/2004 07:27
EXLBR-17,284435,EXLBR,New Feature,Closed,Won't Fix,22/11/2004 03:48,03/05/2006 01:10
EXLBR-31,284421,EXLBR,Bug,Closed,Fixed,12/10/2006 17:23,15/02/2007 07:18
EXLBR-30,284422,EXLBR,Bug,Resolved,Fixed,20/09/2005 08:21,19/09/2007 01:26
EXLBR-29,284423,EXLBR,Bug,Resolved,Fixed,18/08/2005 06:22,25/01/2006 19:55
EXLBR-28,284424,EXLBR,New Feature,Closed,Fixed,16/08/2005 08:43,18/08/2005 00:36
EXLBR-27,284425,EXLBR,Bug,Closed,Fixed,11/08/2005 10:02,14/08/2005 07:26
EXLBR-26,284426,EXLBR,Bug,Closed,Fixed,12/07/2005 07:37,24/07/2005 10:22
EXLBR-25,284427,EXLBR,Bug,Resolved,Fixed,01/06/2005 05:16,14/08/2005 07:23
EXLBR-24,284428,EXLBR,Test,Closed,Fixed,24/04/2005 08:01,24/04/2005 10:16
EXLBR-23,284429,EXLBR,Bug,Closed,Fixed,21/04/2005 07:02,28/07/2005 22:47
EXLBR-22,284430,EXLBR,Bug,Resolved,Fixed,12/04/2005 18:30,14/08/2005 07:29
EXLBR-21,284431,EXLBR,Task,Closed,Fixed,02/03/2005 12:12,14/12/2005 12:12
EXLBR-15,284437,EXLBR,Bug,Closed,Fixed,29/10/2004 18:02,17/04/2005 08:30
EXLBR-14,284438,EXLBR,Bug,Closed,Fixed,27/10/2004 21:20,05/12/2004 01:27
EXLBR-13,284439,EXLBR,Bug,Closed,Fixed,15/06/2004 20:40,15/06/2004 20:52
EXLBR-12,284440,EXLBR,Task,Closed,Fixed,14/06/2004 06:19,14/12/2005 12:34
EXLBR-11,284441,EXLBR,Task,Closed,Duplicate,14/06/2004 06:15,07/07/2004 01:32
EXLBR-10,284442,EXLBR,Task,Closed,Fixed,14/06/2004 06:10,07/07/2004 01:31
EXLBR-9,284443,EXLBR,Task,Closed,Fixed,14/06/2004 06:09,14/12/2005 12:09
EXLBR-8,284444,EXLBR,Task,Closed,Fixed,14/06/2004 06:06,14/12/2005 12:02
EXLBR-7,284445,EXLBR,Task,Closed,Fixed,14/06/2004 06:02,07/07/2004 01:30
EXLBR-6,284446,EXLBR,Task,Closed,Fixed,14/06/2004 06:00,07/07/2004 01:30
EXLBR-5,284447,EXLBR,Wish,Resolved,Fixed,28/04/2004 16:41,12/12/2005 16:48
EXLBR-4,284448,EXLBR,Bug,Closed,Won't Fix,17/03/2004 23:38,14/06/2004 22:54
EXLBR-3,284449,EXLBR,Bug,Closed,Won't Fix,17/03/2004 23:37,14/06/2004 22:57
EXLBR-2,284450,EXLBR,Bug,Closed,Won't Fix,17/03/2004 23:24,14/06/2004 22:55
EXLBR-1,284451,EXLBR,Bug,Closed,Fixed,20/02/2004 13:27,17/04/2005 08:29
