Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
GRFT-46,230520,GRFT,Task,Closed,Fixed,14/09/2005 13:38,07/11/2005 12:59
GRFT-44,230521,GRFT,Task,Resolved,Fixed,14/09/2005 13:30,13/10/2005 13:48
GRFT-43,230522,GRFT,Task,Closed,Fixed,14/09/2005 13:28,06/12/2005 15:16
GRFT-113,230468,GRFT,Bug,Resolved,Fixed,20/10/2006 20:40,09/11/2006 04:12
GRFT-41,230524,GRFT,Task,Closed,Fixed,14/09/2005 13:15,22/09/2005 12:42
GRFT-117,230465,GRFT,Improvement,Resolved,Fixed,27/10/2006 18:02,08/11/2006 03:07
GRFT-130,230455,GRFT,Bug,Closed,Fixed,27/03/2007 22:39,12/04/2007 04:25
GRFT-129,230456,GRFT,Bug,Closed,Fixed,27/03/2007 22:30,12/04/2007 04:41
GRFT-122,230460,GRFT,Bug,Resolved,Fixed,23/11/2006 05:12,19/12/2006 03:46
GRFT-121,230461,GRFT,Bug,Open,,22/11/2006 18:41,
GRFT-120,230462,GRFT,Bug,Open,,16/11/2006 04:32,
GRFT-119,230463,GRFT,New Feature,Open,,14/11/2006 20:37,
GRFT-118,230464,GRFT,Improvement,Resolved,Fixed,07/11/2006 22:11,21/11/2006 05:23
GRFT-116,230466,GRFT,Improvement,Open,,27/10/2006 15:36,
GRFT-114,230467,GRFT,Bug,Closed,Fixed,26/10/2006 16:37,27/10/2006 04:22
GRFT-112,230469,GRFT,New Feature,Open,,18/10/2006 18:09,
GRFT-111,230470,GRFT,Improvement,Closed,Fixed,17/10/2006 19:54,20/10/2006 03:07
GRFT-110,230471,GRFT,New Feature,Closed,Fixed,17/10/2006 19:44,20/10/2006 03:05
GRFT-109,230472,GRFT,Improvement,Resolved,Fixed,10/10/2006 07:12,19/10/2006 04:02
GRFT-108,230473,GRFT,Improvement,Closed,Fixed,06/10/2006 21:15,19/10/2006 03:20
GRFT-107,230474,GRFT,Bug,Open,,05/10/2006 23:02,
GRFT-105,230475,GRFT,Improvement,Resolved,Fixed,23/09/2006 15:43,19/10/2006 06:01
GRFT-104,230476,GRFT,Improvement,Resolved,Fixed,22/09/2006 04:46,27/10/2006 04:28
GRFT-92,230487,GRFT,Improvement,Open,,21/07/2006 06:56,
GRFT-91,230488,GRFT,Improvement,Open,,21/07/2006 06:48,
GRFT-103,230477,GRFT,Bug,Resolved,Fixed,19/09/2006 16:51,19/10/2006 03:26
GRFT-102,230478,GRFT,Improvement,Open,,15/09/2006 17:28,
GRFT-101,230479,GRFT,Improvement,Open,,13/09/2006 22:04,
GRFT-100,230480,GRFT,Improvement,Closed,Fixed,06/09/2006 19:25,12/09/2006 04:28
GRFT-98,230481,GRFT,Bug,Resolved,Fixed,25/08/2006 20:56,21/09/2006 06:20
GRFT-97,230482,GRFT,Improvement,Resolved,Fixed,04/08/2006 19:06,21/09/2006 06:19
GRFT-96,230483,GRFT,Improvement,Resolved,Fixed,04/08/2006 18:42,21/09/2006 06:18
GRFT-95,230484,GRFT,Task,Resolved,Fixed,28/07/2006 13:57,30/10/2006 20:03
GRFT-94,230485,GRFT,Improvement,Resolved,Fixed,21/07/2006 08:31,28/07/2006 06:02
GRFT-93,230486,GRFT,Bug,Resolved,Fixed,21/07/2006 07:53,28/07/2006 06:08
GRFT-90,230489,GRFT,Bug,Resolved,Fixed,21/07/2006 06:16,21/07/2006 15:26
GRFT-89,230490,GRFT,Improvement,Resolved,Fixed,16/07/2006 18:51,19/10/2006 14:33
GRFT-88,230491,GRFT,Improvement,Resolved,Fixed,15/07/2006 04:46,15/07/2006 22:38
GRFT-87,230492,GRFT,Improvement,Resolved,Fixed,15/07/2006 04:40,12/09/2006 04:30
GRFT-86,230493,GRFT,Improvement,Resolved,Fixed,15/07/2006 04:25,21/09/2006 03:35
GRFT-85,230494,GRFT,Improvement,Open,,13/01/2006 10:31,
GRFT-84,230495,GRFT,Bug,Resolved,Fixed,03/01/2006 04:43,12/04/2007 03:57
GRFT-83,230496,GRFT,Improvement,Closed,Fixed,03/01/2006 04:39,22/06/2006 03:17
GRFT-82,230497,GRFT,Improvement,Closed,Fixed,03/01/2006 04:15,22/06/2006 05:45
GRFT-81,230498,GRFT,Improvement,Closed,Fixed,04/12/2005 08:23,06/12/2005 13:56
GRFT-80,230499,GRFT,Improvement,Open,,30/11/2005 01:09,
GRFT-48,230519,GRFT,Improvement,Resolved,Fixed,14/09/2005 13:46,13/10/2005 13:39
GRFT-42,230523,GRFT,Task,Closed,Fixed,14/09/2005 13:26,22/06/2006 03:54
GRFT-40,230525,GRFT,Task,Resolved,Fixed,14/09/2005 13:08,13/03/2007 05:10
GRFT-78,230500,GRFT,Improvement,Resolved,Fixed,21/11/2005 23:25,26/11/2005 06:47
GRFT-75,230501,GRFT,Improvement,Resolved,Fixed,13/11/2005 04:48,15/11/2005 14:07
GRFT-73,230502,GRFT,Improvement,Closed,Fixed,10/11/2005 14:05,22/06/2006 03:19
GRFT-71,230503,GRFT,Task,Resolved,Fixed,10/11/2005 13:28,11/11/2005 11:08
GRFT-70,230504,GRFT,Task,Closed,Fixed,08/11/2005 13:44,22/06/2006 03:22
GRFT-68,230505,GRFT,New Feature,Closed,Fixed,01/11/2005 04:25,07/11/2005 12:56
GRFT-67,230506,GRFT,Task,Resolved,Fixed,31/10/2005 13:15,21/11/2005 23:27
GRFT-66,230507,GRFT,New Feature,Resolved,Fixed,31/10/2005 11:59,31/10/2005 13:05
