Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
GSHELL-32,230423,GSHELL,Improvement,Closed,Fixed,04/09/2007 11:30,04/09/2007 13:35
GSHELL-31,230424,GSHELL,Improvement,Closed,Won't Fix,04/09/2007 10:39,14/11/2007 09:18
GSHELL-30,230425,GSHELL,Bug,Closed,Invalid,18/05/2007 14:03,01/10/2007 17:12
GSHELL-4,230451,GSHELL,Improvement,Closed,Fixed,26/06/2006 13:58,09/09/2007 10:35
GSHELL-48,230407,GSHELL,New Feature,Closed,Fixed,09/11/2007 10:38,18/01/2008 03:23
GSHELL-161,230300,GSHELL,Bug,Open,,24/02/2009 00:42,
GSHELL-160,230301,GSHELL,Bug,Open,,23/02/2009 21:39,
GSHELL-128,230333,GSHELL,Improvement,Open,,04/12/2008 17:41,
GSHELL-127,230334,GSHELL,Improvement,Open,,04/12/2008 17:40,
GSHELL-126,230335,GSHELL,Improvement,Open,,04/12/2008 17:40,
GSHELL-125,230336,GSHELL,Improvement,Open,,04/12/2008 17:39,
GSHELL-124,230337,GSHELL,Improvement,Open,,04/12/2008 17:38,
GSHELL-123,230338,GSHELL,Improvement,Open,,04/12/2008 17:38,
GSHELL-122,230339,GSHELL,Improvement,Open,,04/12/2008 17:37,
GSHELL-78,230377,GSHELL,Improvement,Closed,Fixed,18/11/2007 04:20,28/02/2008 15:46
GSHELL-75,230380,GSHELL,Improvement,Closed,Fixed,18/11/2007 03:59,18/11/2007 04:16
GSHELL-3,230452,GSHELL,Improvement,Open,,26/06/2006 13:58,
GSHELL-70,230385,GSHELL,Improvement,Closed,Fixed,14/11/2007 13:42,18/01/2008 03:20
GSHELL-74,230381,GSHELL,Bug,Closed,Fixed,17/11/2007 21:36,14/12/2007 23:04
GSHELL-97,230361,GSHELL,Bug,Closed,Fixed,13/12/2007 00:43,14/12/2007 23:14
GSHELL-163,230299,GSHELL,Improvement,Closed,Fixed,24/06/2009 18:23,24/06/2009 18:26
GSHELL-98,230360,GSHELL,Bug,Closed,Invalid,15/01/2008 04:54,19/01/2008 10:16
GSHELL-159,230302,GSHELL,Bug,Closed,Won't Fix,13/02/2009 23:08,13/02/2009 23:50
GSHELL-158,230303,GSHELL,Bug,Resolved,Fixed,05/02/2009 19:27,05/02/2009 19:39
GSHELL-157,230304,GSHELL,Bug,Resolved,Fixed,05/02/2009 16:13,05/02/2009 16:18
GSHELL-156,230305,GSHELL,Improvement,Resolved,Fixed,30/01/2009 09:14,04/02/2009 03:52
GSHELL-155,230306,GSHELL,Bug,Resolved,Fixed,05/01/2009 18:24,05/01/2009 18:40
GSHELL-154,230307,GSHELL,Improvement,Resolved,Fixed,17/12/2008 16:49,17/12/2008 17:32
GSHELL-153,230308,GSHELL,Improvement,Closed,Fixed,14/12/2008 22:46,15/12/2008 09:38
GSHELL-152,230309,GSHELL,New Feature,Open,,14/12/2008 22:28,
GSHELL-151,230310,GSHELL,Improvement,Open,,14/12/2008 17:05,
GSHELL-150,230311,GSHELL,Improvement,Open,,14/12/2008 16:56,
GSHELL-149,230312,GSHELL,Improvement,Closed,Fixed,04/12/2008 18:05,12/12/2008 23:58
GSHELL-148,230313,GSHELL,Improvement,Open,,04/12/2008 18:04,
GSHELL-147,230314,GSHELL,Improvement,Open,,04/12/2008 18:04,
GSHELL-146,230315,GSHELL,Bug,Open,,04/12/2008 18:02,
GSHELL-145,230316,GSHELL,Improvement,Open,,04/12/2008 18:02,
GSHELL-144,230317,GSHELL,Improvement,Open,,04/12/2008 18:00,
GSHELL-143,230318,GSHELL,Improvement,Open,,04/12/2008 17:59,
GSHELL-142,230319,GSHELL,Improvement,Open,,04/12/2008 17:58,
GSHELL-141,230320,GSHELL,Improvement,Open,,04/12/2008 17:56,
GSHELL-140,230321,GSHELL,Improvement,Open,,04/12/2008 17:55,
GSHELL-139,230322,GSHELL,Improvement,Open,,04/12/2008 17:55,
GSHELL-138,230323,GSHELL,Improvement,Open,,04/12/2008 17:54,
GSHELL-137,230324,GSHELL,Improvement,Open,,04/12/2008 17:53,
GSHELL-136,230325,GSHELL,Improvement,Open,,04/12/2008 17:52,
GSHELL-135,230326,GSHELL,Improvement,Open,,04/12/2008 17:51,
GSHELL-134,230327,GSHELL,Improvement,Open,,04/12/2008 17:49,
GSHELL-133,230328,GSHELL,Improvement,Open,,04/12/2008 17:49,
GSHELL-132,230329,GSHELL,Improvement,Open,,04/12/2008 17:44,
GSHELL-131,230330,GSHELL,Improvement,Open,,04/12/2008 17:43,
GSHELL-130,230331,GSHELL,Improvement,Open,,04/12/2008 17:42,
GSHELL-129,230332,GSHELL,Improvement,Open,,04/12/2008 17:41,
GSHELL-121,230340,GSHELL,Bug,Closed,Fixed,24/10/2008 22:33,28/10/2008 15:53
