Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
PROTOCOLS-48,108283,PROTOCOLS,Improvement,Resolved,Fixed,18/11/2011 20:59,18/11/2011 21:12
PROTOCOLS-46,108285,PROTOCOLS,Bug,Resolved,Fixed,30/10/2011 02:55,30/10/2011 02:59
PROTOCOLS-45,108286,PROTOCOLS,New Feature,Resolved,Fixed,27/10/2011 18:13,27/10/2011 18:14
PROTOCOLS-24,108307,PROTOCOLS,Improvement,Resolved,Fixed,23/06/2011 02:40,24/06/2011 00:18
PROTOCOLS-47,108284,PROTOCOLS,New Feature,Resolved,Fixed,09/11/2011 01:19,09/11/2011 03:23
PROTOCOLS-74,108257,PROTOCOLS,Improvement,Resolved,Fixed,24/12/2011 18:45,25/12/2011 05:15
PROTOCOLS-75,108256,PROTOCOLS,Task,Resolved,Won't Fix,24/12/2011 19:00,25/01/2012 03:13
PROTOCOLS-106,108225,PROTOCOLS,Bug,Open,,19/08/2013 17:25,
PROTOCOLS-105,108226,PROTOCOLS,Improvement,Closed,Fixed,11/02/2013 08:11,27/02/2013 14:27
PROTOCOLS-104,108227,PROTOCOLS,Bug,Resolved,Won't Fix,09/02/2013 13:32,25/02/2013 03:17
PROTOCOLS-101,108230,PROTOCOLS,Task,Resolved,Fixed,05/01/2013 17:55,11/03/2013 21:54
PROTOCOLS-100,108231,PROTOCOLS,Bug,Resolved,Fixed,25/12/2012 08:45,25/12/2012 22:21
PROTOCOLS-99,108232,PROTOCOLS,Bug,Resolved,Fixed,12/12/2012 23:05,15/12/2012 14:43
PROTOCOLS-98,108233,PROTOCOLS,Improvement,Resolved,Fixed,02/09/2012 08:08,24/11/2012 22:56
PROTOCOLS-97,108234,PROTOCOLS,Bug,Closed,Fixed,18/07/2012 17:41,18/07/2012 22:34
PROTOCOLS-96,108235,PROTOCOLS,Bug,Resolved,Fixed,25/06/2012 16:02,25/06/2012 16:04
PROTOCOLS-95,108236,PROTOCOLS,New Feature,Open,,30/03/2012 19:11,
PROTOCOLS-94,108237,PROTOCOLS,Bug,Resolved,Fixed,12/02/2012 16:41,13/02/2012 03:05
PROTOCOLS-93,108238,PROTOCOLS,Task,Resolved,Fixed,05/02/2012 18:46,05/02/2012 19:09
PROTOCOLS-92,108239,PROTOCOLS,New Feature,Open,,28/01/2012 02:01,
PROTOCOLS-91,108240,PROTOCOLS,Improvement,Resolved,Fixed,27/01/2012 01:54,27/01/2012 04:12
PROTOCOLS-90,108241,PROTOCOLS,Task,Resolved,Fixed,19/01/2012 19:04,19/01/2012 19:06
PROTOCOLS-89,108242,PROTOCOLS,Bug,Resolved,Fixed,18/01/2012 16:56,18/01/2012 17:10
PROTOCOLS-88,108243,PROTOCOLS,Bug,Resolved,Fixed,13/01/2012 15:48,14/01/2012 00:03
PROTOCOLS-87,108244,PROTOCOLS,New Feature,Resolved,Fixed,12/01/2012 21:41,12/01/2012 22:17
PROTOCOLS-86,108245,PROTOCOLS,Task,Resolved,Fixed,11/01/2012 23:01,11/01/2012 23:02
