Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
WAVE-21,40933,WAVE,Bug,Closed,Won't Fix,29/04/2011 02:24,29/04/2011 02:24
WAVE-382,40572,WAVE,Bug,Open,,01/12/2012 07:30,
WAVE-387,40567,WAVE,Bug,Open,,26/02/2013 13:07,
WAVE-402,40552,WAVE,New Feature,Open,,01/12/2013 22:00,
WAVE-401,40553,WAVE,New Feature,Closed,Duplicate,01/12/2013 20:37,01/12/2013 20:53
WAVE-400,40554,WAVE,New Feature,Open,,01/12/2013 20:33,
WAVE-399,40555,WAVE,Improvement,Open,,01/12/2013 19:36,
WAVE-398,40556,WAVE,Bug,Closed,Invalid,28/11/2013 23:48,29/11/2013 15:31
WAVE-397,40557,WAVE,Bug,Open,,02/11/2013 20:03,
WAVE-396,40558,WAVE,Bug,Closed,Fixed,15/08/2013 21:43,15/08/2013 21:44
WAVE-385,40569,WAVE,Question,Closed,Won't Fix,21/01/2013 17:20,22/01/2013 00:22
WAVE-384,40570,WAVE,Bug,Open,,17/01/2013 02:56,
WAVE-383,40571,WAVE,Bug,Open,,03/12/2012 14:57,
WAVE-395,40559,WAVE,Bug,Open,,15/08/2013 21:42,
WAVE-394,40560,WAVE,Bug,Open,,15/08/2013 01:27,
WAVE-393,40561,WAVE,Bug,In Progress,,27/06/2013 23:35,
WAVE-392,40562,WAVE,Bug,Resolved,Fixed,18/06/2013 06:44,19/06/2013 00:04
WAVE-376,40578,WAVE,Improvement,Resolved,Fixed,16/10/2012 02:07,22/10/2012 02:03
WAVE-391,40563,WAVE,Improvement,Open,,09/06/2013 05:03,
WAVE-390,40564,WAVE,Improvement,In Progress,,30/04/2013 11:56,
WAVE-389,40565,WAVE,Bug,Open,,26/03/2013 00:20,
WAVE-388,40566,WAVE,Bug,Open,,26/02/2013 13:15,
WAVE-386,40568,WAVE,Improvement,Open,,24/01/2013 03:18,
WAVE-381,40573,WAVE,Improvement,Closed,Fixed,21/11/2012 04:32,27/06/2013 23:19
WAVE-380,40574,WAVE,Improvement,Reopened,,15/11/2012 20:19,
WAVE-379,40575,WAVE,Bug,Open,,11/11/2012 18:41,
WAVE-378,40576,WAVE,Bug,Open,,05/11/2012 13:45,
WAVE-377,40577,WAVE,Bug,Open,,19/10/2012 09:56,
WAVE-375,40579,WAVE,Bug,Open,,14/10/2012 00:02,
WAVE-374,40580,WAVE,Bug,In Progress,,10/10/2012 01:19,
WAVE-373,40581,WAVE,Bug,Open,,23/09/2012 17:09,
WAVE-372,40582,WAVE,Bug,Closed,Fixed,20/09/2012 18:02,06/11/2012 20:18
WAVE-371,40583,WAVE,Bug,Open,,19/09/2012 04:39,
WAVE-348,40606,WAVE,Bug,Open,,11/05/2012 16:31,
WAVE-370,40584,WAVE,Bug,Open,,13/09/2012 19:26,
WAVE-369,40585,WAVE,Bug,Open,,08/09/2012 21:30,
WAVE-368,40586,WAVE,Bug,In Progress,,03/09/2012 19:32,
WAVE-367,40587,WAVE,Bug,Open,,01/09/2012 08:24,
WAVE-366,40588,WAVE,Bug,Resolved,Invalid,31/08/2012 05:17,02/09/2012 06:38
WAVE-354,40600,WAVE,Improvement,Resolved,Fixed,02/06/2012 19:53,13/01/2013 18:57
WAVE-353,40601,WAVE,Bug,Open,,31/05/2012 20:05,
WAVE-365,40589,WAVE,Bug,Closed,Not A Problem,29/08/2012 12:38,29/08/2012 22:25
WAVE-364,40590,WAVE,Bug,Closed,Fixed,17/08/2012 09:12,24/08/2012 04:33
WAVE-363,40591,WAVE,Bug,Closed,Fixed,05/08/2012 21:47,16/08/2012 14:43
WAVE-362,40592,WAVE,Bug,Closed,Fixed,25/07/2012 23:42,16/08/2012 14:42
WAVE-361,40593,WAVE,Bug,Open,,24/07/2012 06:12,
WAVE-337,40617,WAVE,Bug,Closed,Invalid,09/03/2012 12:37,16/03/2012 21:46
WAVE-360,40594,WAVE,Bug,Closed,Fixed,16/07/2012 02:11,20/07/2012 21:47
WAVE-359,40595,WAVE,Improvement,Open,,19/06/2012 17:36,
WAVE-358,40596,WAVE,Bug,Open,,14/06/2012 07:31,
WAVE-357,40597,WAVE,Improvement,Resolved,Fixed,13/06/2012 19:41,16/10/2012 02:04
WAVE-356,40598,WAVE,Task,Open,,10/06/2012 02:45,
WAVE-355,40599,WAVE,Task,Open,,10/06/2012 02:41,
WAVE-330,40624,WAVE,Improvement,Open,,03/02/2012 19:11,
WAVE-352,40602,WAVE,Bug,Closed,Fixed,29/05/2012 00:36,03/08/2012 19:43
WAVE-351,40603,WAVE,Improvement,Open,,21/05/2012 00:43,
WAVE-350,40604,WAVE,Bug,Open,,20/05/2012 20:14,
WAVE-349,40605,WAVE,Improvement,Closed,Fixed,16/05/2012 01:59,03/08/2012 19:37
WAVE-300,40654,WAVE,Bug,Closed,Fixed,04/11/2011 22:05,19/09/2012 03:56
WAVE-347,40607,WAVE,Improvement,Closed,Not A Problem,09/05/2012 22:19,22/05/2012 21:10
WAVE-346,40608,WAVE,Bug,Resolved,Fixed,07/05/2012 06:57,09/06/2012 05:44
WAVE-345,40609,WAVE,New Feature,Open,,02/05/2012 02:26,
WAVE-344,40610,WAVE,Bug,Open,,25/04/2012 17:45,
WAVE-343,40611,WAVE,Improvement,Open,,19/04/2012 11:11,
WAVE-332,40622,WAVE,Bug,Resolved,Fixed,09/02/2012 09:22,10/02/2012 08:17
WAVE-342,40612,WAVE,Bug,Open,,03/04/2012 22:34,
WAVE-341,40613,WAVE,Bug,Open,,30/03/2012 14:49,
WAVE-340,40614,WAVE,Improvement,In Progress,,18/03/2012 04:23,
WAVE-339,40615,WAVE,Bug,Reopened,,15/03/2012 18:44,
WAVE-338,40616,WAVE,Bug,Closed,Fixed,13/03/2012 11:39,30/03/2012 14:55
WAVE-336,40618,WAVE,Bug,Open,,03/03/2012 08:37,
WAVE-335,40619,WAVE,New Feature,Open,,24/02/2012 01:34,
WAVE-334,40620,WAVE,Improvement,Open,,12/02/2012 01:06,
WAVE-333,40621,WAVE,Bug,Resolved,Fixed,10/02/2012 19:22,09/04/2012 17:07
WAVE-331,40623,WAVE,Bug,Resolved,Fixed,08/02/2012 07:14,22/10/2012 02:04
WAVE-329,40625,WAVE,Improvement,Open,,31/01/2012 05:15,
WAVE-328,40626,WAVE,Bug,Resolved,Fixed,28/01/2012 11:24,09/02/2012 15:31
WAVE-327,40627,WAVE,Bug,Closed,Invalid,19/01/2012 16:27,20/01/2012 16:30
WAVE-326,40628,WAVE,Bug,Closed,Invalid,15/01/2012 03:32,15/01/2012 06:40
WAVE-325,40629,WAVE,Improvement,Closed,Fixed,15/01/2012 01:53,30/01/2012 15:16
WAVE-324,40630,WAVE,Question,Open,,12/01/2012 14:17,
WAVE-323,40631,WAVE,Improvement,Open,,12/01/2012 00:08,
WAVE-322,40632,WAVE,Improvement,Open,,12/01/2012 00:04,
WAVE-321,40633,WAVE,Bug,Closed,Fixed,09/01/2012 07:15,17/01/2012 06:01
WAVE-320,40634,WAVE,Bug,Resolved,Won't Fix,06/01/2012 19:18,15/04/2012 03:12
WAVE-319,40635,WAVE,Improvement,Closed,Fixed,05/01/2012 05:53,22/09/2012 19:37
WAVE-318,40636,WAVE,Improvement,In Progress,,05/01/2012 05:44,
WAVE-317,40637,WAVE,New Feature,Closed,Fixed,05/01/2012 05:38,25/02/2012 23:56
WAVE-316,40638,WAVE,Dependency upgrade,Open,,31/12/2011 20:04,
WAVE-315,40639,WAVE,Bug,Open,,29/12/2011 19:53,
WAVE-314,40640,WAVE,New Feature,Open,,24/12/2011 00:28,
WAVE-313,40641,WAVE,New Feature,Closed,Fixed,22/12/2011 20:15,07/01/2012 20:40
WAVE-312,40642,WAVE,Bug,Open,,15/12/2011 23:12,
WAVE-311,40643,WAVE,New Feature,Open,,10/12/2011 17:30,
WAVE-310,40644,WAVE,Bug,Resolved,Later,02/12/2011 03:03,31/12/2011 20:01
WAVE-309,40645,WAVE,Improvement,Closed,Fixed,01/12/2011 23:13,22/09/2012 20:18
WAVE-303,40651,WAVE,Bug,Closed,Fixed,24/11/2011 09:20,10/12/2011 08:26
WAVE-308,40646,WAVE,Bug,Open,,27/11/2011 16:57,
WAVE-307,40647,WAVE,Bug,Resolved,Fixed,26/11/2011 21:15,12/03/2012 23:46
WAVE-299,40655,WAVE,Bug,Closed,Fixed,30/10/2011 20:58,31/10/2011 01:17
WAVE-289,40665,WAVE,Bug,Resolved,Fixed,22/08/2011 01:02,22/08/2011 03:21
WAVE-306,40648,WAVE,Bug,Resolved,Fixed,26/11/2011 05:00,09/06/2012 05:44
WAVE-305,40649,WAVE,Bug,Resolved,Fixed,25/11/2011 19:27,09/06/2012 05:41
WAVE-302,40652,WAVE,Bug,Closed,Invalid,13/11/2011 01:43,10/12/2011 08:28
WAVE-301,40653,WAVE,Bug,Open,,07/11/2011 22:53,
WAVE-298,40656,WAVE,Bug,Closed,Fixed,29/10/2011 19:44,10/12/2011 08:29
WAVE-297,40657,WAVE,Bug,Open,,29/10/2011 17:00,
WAVE-296,40658,WAVE,Wish,Closed,Fixed,25/10/2011 22:35,27/10/2011 13:55
WAVE-295,40659,WAVE,Bug,Open,,19/10/2011 22:47,
WAVE-294,40660,WAVE,Improvement,In Progress,,17/10/2011 20:16,
WAVE-293,40661,WAVE,Bug,Open,,15/10/2011 19:55,
WAVE-292,40662,WAVE,Bug,Open,,20/09/2011 23:29,
WAVE-291,40663,WAVE,Bug,Open,,01/09/2011 20:35,
WAVE-290,40664,WAVE,Task,Resolved,Fixed,29/08/2011 22:07,29/10/2011 18:20
WAVE-288,40666,WAVE,Improvement,Resolved,Fixed,19/08/2011 19:12,10/12/2011 08:18
WAVE-287,40667,WAVE,Improvement,Resolved,Fixed,07/08/2011 16:16,10/12/2011 08:37
WAVE-286,40668,WAVE,Improvement,Open,,05/08/2011 07:05,
WAVE-285,40669,WAVE,Bug,Open,,17/06/2011 23:53,
WAVE-284,40670,WAVE,Bug,Closed,Not A Problem,08/06/2011 13:48,10/12/2011 08:33
WAVE-283,40671,WAVE,Bug,Open,,06/06/2011 15:58,
WAVE-282,40672,WAVE,Bug,Open,,06/06/2011 10:42,
WAVE-281,40673,WAVE,Improvement,Open,,31/05/2011 01:40,
WAVE-280,40674,WAVE,New Feature,Open,,28/05/2011 19:28,
WAVE-250,40704,WAVE,Bug,Resolved,Fixed,29/04/2011 02:25,13/05/2011 03:17
WAVE-279,40675,WAVE,Bug,Open,,26/05/2011 07:41,
WAVE-278,40676,WAVE,Bug,Open,,26/05/2011 05:30,
WAVE-277,40677,WAVE,Bug,Open,,23/05/2011 05:14,
WAVE-248,40706,WAVE,Improvement,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-276,40678,WAVE,Dependency upgrade,Open,,19/05/2011 14:27,
WAVE-275,40679,WAVE,New Feature,In Progress,,18/05/2011 10:16,
WAVE-274,40680,WAVE,Bug,Resolved,Fixed,17/05/2011 22:59,17/05/2011 23:36
WAVE-273,40681,WAVE,Task,Open,,17/05/2011 02:37,
WAVE-272,40682,WAVE,Bug,Open,,16/05/2011 06:37,
WAVE-271,40683,WAVE,Task,Resolved,Fixed,15/05/2011 23:08,11/02/2012 23:17
WAVE-270,40684,WAVE,Improvement,Closed,Fixed,14/05/2011 05:12,08/06/2013 19:09
WAVE-269,40685,WAVE,Bug,Reopened,,10/05/2011 08:28,
WAVE-247,40707,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-246,40708,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,26/10/2011 03:45
WAVE-268,40686,WAVE,Bug,Open,,04/05/2011 15:40,
WAVE-267,40687,WAVE,Bug,Open,,04/05/2011 11:02,
WAVE-266,40688,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-265,40689,WAVE,Improvement,Resolved,Fixed,29/04/2011 02:25,19/05/2011 07:34
WAVE-264,40690,WAVE,Improvement,Open,,29/04/2011 02:25,
WAVE-177,40777,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-263,40691,WAVE,Bug,Resolved,Fixed,29/04/2011 02:25,15/05/2011 23:04
WAVE-262,40692,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-261,40693,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-260,40694,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-252,40702,WAVE,Bug,Reopened,,29/04/2011 02:25,
WAVE-249,40705,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-245,40709,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-244,40710,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-192,40762,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-259,40695,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-258,40696,WAVE,Bug,Resolved,Fixed,29/04/2011 02:25,22/05/2011 17:50
WAVE-257,40697,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-256,40698,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-255,40699,WAVE,Improvement,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-254,40700,WAVE,Improvement,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-253,40701,WAVE,Improvement,Resolved,Fixed,29/04/2011 02:25,11/05/2011 09:47
WAVE-251,40703,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-243,40711,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-242,40712,WAVE,Bug,Closed,Won't Fix,29/04/2011 02:25,29/04/2011 02:25
WAVE-241,40713,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-240,40714,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-239,40715,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-176,40778,WAVE,Bug,Open,,29/04/2011 02:24,
WAVE-238,40716,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-237,40717,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-236,40718,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-235,40719,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-234,40720,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-233,40721,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-232,40722,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-231,40723,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-230,40724,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-229,40725,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-195,40759,WAVE,Bug,Open,,29/04/2011 02:24,
WAVE-228,40726,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-227,40727,WAVE,Bug,Resolved,Fixed,29/04/2011 02:25,15/04/2012 03:16
WAVE-226,40728,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-225,40729,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-224,40730,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-223,40731,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-222,40732,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-221,40733,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-194,40760,WAVE,Improvement,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-220,40734,WAVE,Bug,Resolved,Fixed,29/04/2011 02:25,19/11/2011 23:20
WAVE-219,40735,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-218,40736,WAVE,Improvement,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-217,40737,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-216,40738,WAVE,Improvement,Open,,29/04/2011 02:25,
WAVE-215,40739,WAVE,Bug,Closed,Won't Fix,29/04/2011 02:25,29/04/2011 02:25
WAVE-214,40740,WAVE,Bug,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-213,40741,WAVE,Bug,Open,,29/04/2011 02:25,
WAVE-212,40742,WAVE,Improvement,Closed,Fixed,29/04/2011 02:25,29/04/2011 02:25
WAVE-193,40761,WAVE,Improvement,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-211,40743,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-210,40744,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-209,40745,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-208,40746,WAVE,Bug,Open,,29/04/2011 02:24,
WAVE-207,40747,WAVE,Bug,Closed,Cannot Reproduce,29/04/2011 02:24,09/06/2012 05:40
WAVE-206,40748,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-104,40850,WAVE,Bug,Open,,29/04/2011 02:24,
WAVE-205,40749,WAVE,Bug,Open,,29/04/2011 02:24,
WAVE-204,40750,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-203,40751,WAVE,Bug,Closed,Won't Fix,29/04/2011 02:24,29/04/2011 02:24
WAVE-202,40752,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-201,40753,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-200,40754,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-199,40755,WAVE,Bug,Closed,Won't Fix,29/04/2011 02:24,29/04/2011 02:24
WAVE-198,40756,WAVE,Bug,Closed,Fixed,29/04/2011 02:24,29/04/2011 02:24
WAVE-197,40757,WAVE,Bug,Closed,Invalid,29/04/2011 02:24,29/04/2011 02:24
WAVE-196,40758,WAVE,Bug,Closed,Cannot Reproduce,29/04/2011 02:24,11/05/2011 23:56
WAVE-191,40763,WAVE,Bug,Open,,29/04/2011 02:24,
