Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
JAXEN-170,540295,JAXEN,Improvement,Open,,09/11/2006 02:08,
JAXEN-169,540296,JAXEN,Improvement,Resolved,Fixed,08/11/2006 23:09,10/11/2006 00:21
JAXEN-123,540390,JAXEN,Task,Closed,Fixed,28/06/2005 22:21,01/05/2006 18:38
JAXEN-66,540497,JAXEN,Bug,Closed,Fixed,26/01/2005 09:40,26/01/2005 20:56
JAXEN-12,540594,JAXEN,Task,Closed,Fixed,01/07/2003 23:33,01/11/2005 10:29
JAXEN-11,540595,JAXEN,Task,Closed,Fixed,01/07/2003 04:54,04/07/2006 02:21
JAXEN-226,540192,JAXEN,Improvement,Open,,14/10/2012 00:51,
JAXEN-63,540550,JAXEN,Improvement,Resolved,Fixed,14/01/2005 06:04,23/03/2005 22:25
JAXEN-208,540260,JAXEN,Bug,Resolved,Fixed,08/06/2010 06:35,08/06/2010 21:13
JAXEN-225,540193,JAXEN,Improvement,Open,,31/07/2012 22:31,
JAXEN-230,540188,JAXEN,Bug,Open,,08/06/2013 22:22,
JAXEN-229,540189,JAXEN,Wish,Open,,17/05/2013 14:03,
JAXEN-228,540190,JAXEN,Bug,Resolved,Fixed,15/01/2013 11:33,16/01/2013 08:05
JAXEN-227,540191,JAXEN,Bug,Resolved,Fixed,05/01/2013 02:02,13/01/2013 21:15
JAXEN-224,540194,JAXEN,Bug,Open,,09/05/2012 10:17,
JAXEN-223,540195,JAXEN,Bug,Open,,07/05/2012 04:26,
JAXEN-222,540196,JAXEN,Bug,Resolved,Not A Bug,07/05/2012 03:25,07/05/2012 03:36
JAXEN-221,540197,JAXEN,Bug,Resolved,Fixed,19/04/2012 22:57,06/05/2012 01:39
JAXEN-220,540198,JAXEN,Improvement,Resolved,Fixed,30/03/2012 06:53,29/07/2012 20:16
JAXEN-219,540199,JAXEN,Bug,Closed,Not A Bug,01/02/2012 09:12,06/05/2012 01:51
JAXEN-218,540250,JAXEN,Improvement,Resolved,Fixed,02/12/2011 16:45,29/07/2012 20:17
JAXEN-217,540251,JAXEN,Wish,Open,,06/11/2011 06:14,
JAXEN-216,540252,JAXEN,Bug,Open,,20/09/2011 00:42,
JAXEN-210,540258,JAXEN,Wish,Open,,05/11/2010 21:24,
JAXEN-198,540267,JAXEN,Improvement,Open,,09/01/2009 23:17,
JAXEN-215,540253,JAXEN,Bug,Resolved,Fixed,19/09/2011 21:08,06/05/2012 01:44
JAXEN-214,540254,JAXEN,Bug,Resolved,Fixed,24/07/2011 10:59,30/07/2011 17:48
JAXEN-213,540255,JAXEN,Bug,Resolved,Not A Bug,15/06/2011 18:00,30/07/2011 18:07
JAXEN-212,540256,JAXEN,Task,Resolved,Fixed,20/02/2011 12:47,11/12/2013 02:28
JAXEN-211,540257,JAXEN,Improvement,Open,,10/01/2011 23:39,
JAXEN-209,540259,JAXEN,Bug,Open,,23/10/2010 02:22,
JAXEN-207,540261,JAXEN,Bug,Closed,Not A Bug,30/03/2010 18:38,04/04/2010 21:51
