Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MCOMPILER-198,512055,MCOMPILER,Bug,Closed,Fixed,20/01/2013 19:56,20/01/2013 20:00
MCOMPILER-19,512375,MCOMPILER,Bug,Closed,Fixed,23/09/2005 09:10,15/10/2005 16:12
MCOMPILER-132,512169,MCOMPILER,New Feature,Closed,Fixed,06/09/2010 19:11,03/02/2013 08:12
MCOMPILER-183,512070,MCOMPILER,Bug,Closed,Fixed,05/10/2012 02:38,05/10/2012 03:47
MCOMPILER-191,512062,MCOMPILER,Bug,Closed,Not A Bug,03/12/2012 23:31,04/12/2012 00:45
MCOMPILER-215,511988,MCOMPILER,Improvement,Open,,20/09/2013 23:31,
MCOMPILER-214,511989,MCOMPILER,Bug,Open,,11/09/2013 21:53,
MCOMPILER-218,511985,MCOMPILER,Bug,Closed,Not A Bug,16/12/2013 10:24,16/12/2013 17:30
MCOMPILER-213,511990,MCOMPILER,Bug,Open,,30/08/2013 04:56,
MCOMPILER-197,512056,MCOMPILER,Bug,Open,,14/01/2013 02:25,
MCOMPILER-217,511986,MCOMPILER,Bug,Open,,15/12/2013 14:15,
MCOMPILER-216,511987,MCOMPILER,Bug,Open,,08/10/2013 20:28,
MCOMPILER-212,511991,MCOMPILER,Bug,Closed,Not A Bug,21/08/2013 16:00,21/08/2013 22:00
MCOMPILER-211,511992,MCOMPILER,Bug,Open,,09/08/2013 20:33,
MCOMPILER-210,511993,MCOMPILER,Bug,Open,,31/07/2013 06:35,
MCOMPILER-209,511994,MCOMPILER,Bug,Open,,09/07/2013 22:11,
MCOMPILER-208,511995,MCOMPILER,Bug,Open,,29/06/2013 00:19,
MCOMPILER-207,511996,MCOMPILER,New Feature,Closed,Duplicate,14/06/2013 11:16,14/06/2013 11:18
MCOMPILER-206,511997,MCOMPILER,Bug,Closed,Not A Bug,04/06/2013 06:59,29/06/2013 03:59
MCOMPILER-205,511998,MCOMPILER,Bug,Open,,17/04/2013 21:10,
MCOMPILER-204,511999,MCOMPILER,New Feature,Open,,21/03/2013 20:06,
MCOMPILER-196,512057,MCOMPILER,Bug,Open,,03/01/2013 22:26,
MCOMPILER-203,512050,MCOMPILER,New Feature,Open,,21/03/2013 19:59,
MCOMPILER-202,512051,MCOMPILER,Bug,Open,,20/03/2013 21:57,
MCOMPILER-201,512052,MCOMPILER,Bug,Closed,Not A Bug,08/03/2013 17:38,08/03/2013 18:23
MCOMPILER-200,512053,MCOMPILER,Improvement,Closed,Duplicate,31/01/2013 07:30,03/02/2013 08:08
MCOMPILER-199,512054,MCOMPILER,Bug,Closed,Fixed,22/01/2013 15:33,24/01/2013 05:28
MCOMPILER-195,512058,MCOMPILER,Bug,Closed,Not A Bug,28/12/2012 04:50,28/12/2012 04:57
MCOMPILER-194,512059,MCOMPILER,Bug,Open,,21/12/2012 19:05,
MCOMPILER-193,512060,MCOMPILER,Bug,Closed,Not A Bug,19/12/2012 12:53,27/12/2012 23:29
MCOMPILER-192,512061,MCOMPILER,Bug,Closed,Fixed,19/12/2012 06:42,20/12/2012 18:46
