Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
MRPM-74,464029,MRPM,Bug,Closed,Cannot Reproduce,07/05/2010 19:32,26/05/2010 19:29
MRPM-123,463880,MRPM,Improvement,Closed,Fixed,23/08/2012 19:53,23/08/2012 20:09
MRPM-55,464048,MRPM,Bug,Closed,Fixed,06/01/2010 22:44,06/01/2010 23:08
MRPM-49,464104,MRPM,Improvement,Closed,Fixed,17/09/2009 23:50,15/10/2009 04:59
MRPM-107,463896,MRPM,Bug,Closed,Fixed,14/04/2012 21:00,29/01/2013 03:06
MRPM-149,463854,MRPM,Bug,Closed,Not A Bug,22/11/2013 01:24,22/11/2013 21:39
MRPM-148,463855,MRPM,Bug,Open,,19/11/2013 20:12,
MRPM-147,463856,MRPM,Improvement,Open,,01/11/2013 08:31,
MRPM-146,463857,MRPM,Bug,Open,,24/09/2013 05:04,
MRPM-145,463858,MRPM,Bug,Open,,20/09/2013 03:22,
MRPM-144,463859,MRPM,Bug,Open,,26/06/2013 06:28,
MRPM-134,463869,MRPM,Improvement,Closed,Cannot Reproduce,30/03/2013 05:20,12/04/2013 15:47
MRPM-143,463860,MRPM,Improvement,Open,,20/05/2013 18:32,
MRPM-142,463861,MRPM,Improvement,Open,,19/05/2013 07:27,
MRPM-141,463862,MRPM,Improvement,Open,,05/05/2013 18:36,
MRPM-140,463863,MRPM,Improvement,Open,,05/05/2013 18:27,
MRPM-139,463864,MRPM,Bug,Open,,30/04/2013 02:40,
MRPM-133,463870,MRPM,Improvement,Open,,05/03/2013 21:05,
MRPM-138,463865,MRPM,Bug,Open,,19/04/2013 21:04,
MRPM-137,463866,MRPM,Task,Open,,14/04/2013 22:03,
MRPM-136,463867,MRPM,Improvement,Open,,12/04/2013 17:24,
MRPM-135,463868,MRPM,Improvement,Open,,05/04/2013 06:30,
MRPM-132,463871,MRPM,Improvement,Closed,Fixed,05/03/2013 16:53,12/04/2013 20:44
MRPM-131,463872,MRPM,Bug,Closed,Not A Bug,12/02/2013 02:51,19/02/2013 22:51
MRPM-130,463873,MRPM,Improvement,Open,,01/02/2013 13:08,
MRPM-129,463874,MRPM,Improvement,Open,,31/01/2013 23:52,
MRPM-128,463875,MRPM,Bug,Closed,Fixed,16/01/2013 00:53,01/03/2013 15:10
MRPM-127,463876,MRPM,Bug,Closed,Not A Bug,28/11/2012 22:18,28/11/2012 22:53
MRPM-126,463877,MRPM,Bug,Open,,21/09/2012 00:17,
MRPM-125,463878,MRPM,Bug,Open,,23/08/2012 20:36,
MRPM-124,463879,MRPM,Bug,Closed,Fixed,23/08/2012 20:26,12/04/2013 20:52
MRPM-122,463881,MRPM,Bug,Closed,Fixed,22/08/2012 22:34,23/08/2012 04:24
MRPM-121,463882,MRPM,Improvement,Closed,Fixed,22/08/2012 15:00,22/08/2012 19:11
MRPM-120,463883,MRPM,Improvement,Closed,Fixed,22/08/2012 02:11,22/08/2012 03:53
MRPM-119,463884,MRPM,Bug,Open,,20/07/2012 23:05,
MRPM-118,463885,MRPM,Bug,Closed,Fixed,20/06/2012 21:59,22/08/2012 04:41
MRPM-117,463886,MRPM,Bug,Closed,Fixed,20/06/2012 06:53,12/04/2013 19:27
MRPM-116,463887,MRPM,Improvement,Open,,13/06/2012 21:04,
MRPM-115,463888,MRPM,Bug,Closed,Fixed,06/06/2012 03:25,22/08/2012 04:44
MRPM-114,463889,MRPM,Bug,Closed,Incomplete,06/06/2012 03:04,06/06/2012 03:18
MRPM-113,463890,MRPM,Bug,Open,,06/06/2012 01:35,
MRPM-112,463891,MRPM,Bug,Open,,02/05/2012 03:25,
MRPM-111,463892,MRPM,Improvement,Closed,Fixed,26/04/2012 21:00,12/04/2013 15:39
MRPM-110,463893,MRPM,Bug,Closed,Not A Bug,25/04/2012 01:27,25/04/2012 19:51
MRPM-109,463894,MRPM,Task,Open,,17/04/2012 19:21,
MRPM-108,463895,MRPM,Task,Closed,Fixed,15/04/2012 03:54,12/04/2013 15:28
MRPM-106,463897,MRPM,Improvement,Open,,20/03/2012 18:15,
MRPM-105,463898,MRPM,Task,Closed,Fixed,16/03/2012 03:07,23/08/2012 19:45
MRPM-104,463899,MRPM,New Feature,Closed,Won't Fix,16/03/2012 03:04,14/04/2012 20:04
MRPM-103,464000,MRPM,Bug,Closed,Not A Bug,12/03/2012 23:53,13/03/2012 01:30
MRPM-102,464001,MRPM,Bug,Closed,Fixed,09/03/2012 08:27,14/04/2012 22:52
MRPM-101,464002,MRPM,Improvement,Closed,Fixed,17/02/2012 01:39,07/11/2013 14:01
MRPM-100,464003,MRPM,Bug,Closed,Cannot Reproduce,09/02/2012 08:26,10/02/2012 01:22
MRPM-93,464010,MRPM,Bug,Closed,Not A Bug,19/01/2011 17:11,19/01/2011 21:09
MRPM-65,464038,MRPM,Bug,Closed,Fixed,18/02/2010 03:36,11/03/2010 20:51
MRPM-48,464105,MRPM,Improvement,Closed,Fixed,17/09/2009 01:49,18/09/2009 02:08
MRPM-99,464004,MRPM,Bug,Closed,Not A Bug,12/01/2012 02:56,12/01/2012 03:25
MRPM-98,464005,MRPM,Bug,Closed,Fixed,09/11/2011 00:43,29/01/2013 03:00
