Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
OPENXMA-126,454538,OPENXMA,Improvement,Open,,08/04/2010 21:05,
OPENXMA-261,454305,OPENXMA,New Feature,Resolved,Fixed,18/11/2010 01:51,30/11/2010 16:43
OPENXMA-195,454420,OPENXMA,Improvement,Open,,18/06/2010 19:00,
OPENXMA-341,454175,OPENXMA,New Feature,Open,,21/04/2011 21:03,
OPENXMA-414,454052,OPENXMA,New Feature,Open,,02/11/2011 23:42,
OPENXMA-413,454053,OPENXMA,New Feature,Open,,30/10/2011 23:02,
OPENXMA-412,454054,OPENXMA,New Feature,Resolved,Fixed,27/10/2011 03:17,30/10/2011 20:29
OPENXMA-363,454153,OPENXMA,Bug,Resolved,Fixed,20/05/2011 22:40,20/05/2011 23:06
OPENXMA-146,454518,OPENXMA,Task,Open,,08/04/2010 21:59,
OPENXMA-98,454566,OPENXMA,New Feature,Open,,25/03/2010 23:39,
OPENXMA-97,454567,OPENXMA,Bug,Resolved,Fixed,24/03/2010 20:30,20/04/2010 20:53
OPENXMA-405,454061,OPENXMA,Improvement,Resolved,Fixed,23/08/2011 22:24,23/08/2011 22:30
OPENXMA-395,454071,OPENXMA,Bug,Resolved,Fixed,29/07/2011 22:22,29/07/2011 23:46
OPENXMA-281,454235,OPENXMA,New Feature,Resolved,Fixed,06/01/2011 01:33,06/01/2011 01:34
OPENXMA-279,454237,OPENXMA,Improvement,Open,,29/12/2010 17:37,
OPENXMA-385,454081,OPENXMA,Bug,Resolved,Fixed,20/07/2011 18:32,20/07/2011 18:34
OPENXMA-175,454440,OPENXMA,Bug,Resolved,Fixed,26/05/2010 22:35,26/05/2010 22:36
OPENXMA-250,454315,OPENXMA,Improvement,Open,,18/10/2010 17:40,
OPENXMA-231,454334,OPENXMA,New Feature,Resolved,Fixed,17/09/2010 20:42,18/09/2010 17:02
OPENXMA-151,454514,OPENXMA,New Feature,Open,,08/04/2010 22:12,
OPENXMA-128,454536,OPENXMA,Task,Open,,08/04/2010 21:08,
OPENXMA-127,454537,OPENXMA,New Feature,Open,,08/04/2010 21:06,
OPENXMA-325,454191,OPENXMA,New Feature,Resolved,Fixed,30/03/2011 21:16,06/04/2011 19:40
OPENXMA-311,454205,OPENXMA,Bug,Resolved,Fixed,08/03/2011 00:50,20/04/2011 01:25
OPENXMA-9,454753,OPENXMA,New Feature,Resolved,Won't Fix,23/12/2008 02:05,24/03/2010 15:44
OPENXMA-290,454226,OPENXMA,Bug,Resolved,Fixed,04/02/2011 21:07,04/02/2011 21:14
OPENXMA-210,454405,OPENXMA,Improvement,Open,,12/08/2010 22:03,
