Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
GTNWSRP-181,674790,GTNWSRP,Task,Resolved,Done,07/12/2010 18:03,01/02/2011 23:10
GTNWSRP-154,674817,GTNWSRP,Feature Request,Resolved,Done,09/11/2010 20:43,09/11/2010 21:15
GTNWSRP-153,674818,GTNWSRP,Bug,Resolved,Done,09/11/2010 20:23,09/11/2010 21:16
GTNWSRP-152,674819,GTNWSRP,Bug,Resolved,Done,09/11/2010 19:04,09/11/2010 19:14
GTNWSRP-68,674901,GTNWSRP,Bug,Resolved,Done,07/09/2010 02:19,07/09/2010 02:29
GTNWSRP-67,674902,GTNWSRP,Task,Resolved,Done,01/09/2010 20:18,21/10/2010 08:17
GTNWSRP-66,674903,GTNWSRP,Bug,Resolved,Done,01/09/2010 18:40,01/09/2010 20:09
GTNWSRP-65,674904,GTNWSRP,Bug,Resolved,Done,01/09/2010 04:13,01/09/2010 04:20
GTNWSRP-138,674833,GTNWSRP,Task,Resolved,Partially Completed,20/05/2006 05:29,18/05/2011 21:41
GTNWSRP-371,674606,GTNWSRP,Bug,Open,,24/08/2013 01:09,
GTNWSRP-370,674607,GTNWSRP,Bug,Resolved,Done,15/07/2013 17:54,17/07/2013 18:33
GTNWSRP-369,674608,GTNWSRP,Bug,Resolved,Done,08/07/2013 23:14,16/07/2013 23:45
GTNWSRP-368,674609,GTNWSRP,Bug,Resolved,Done,06/07/2013 01:41,17/07/2013 18:29
GTNWSRP-367,674610,GTNWSRP,Enhancement,Closed,Rejected,14/06/2013 23:25,14/06/2013 23:28
GTNWSRP-366,674611,GTNWSRP,Feature Request,Resolved,Done,14/06/2013 23:25,18/06/2013 17:57
GTNWSRP-365,674612,GTNWSRP,Feature Request,Closed,Done,15/05/2013 16:39,15/05/2013 16:41
GTNWSRP-364,674613,GTNWSRP,Feature Request,Open,,09/05/2013 16:21,
GTNWSRP-343,674634,GTNWSRP,Bug,Resolved,Done,04/01/2013 21:42,08/01/2013 03:07
GTNWSRP-363,674614,GTNWSRP,Feature Request,Open,,09/05/2013 16:21,
GTNWSRP-362,674615,GTNWSRP,Bug,Resolved,Done,18/04/2013 17:51,18/04/2013 21:32
GTNWSRP-361,674616,GTNWSRP,Bug,Resolved,Done,17/04/2013 22:46,18/04/2013 21:32
GTNWSRP-360,674617,GTNWSRP,Bug,Resolved,Won't Fix,15/04/2013 17:17,17/04/2013 20:18
GTNWSRP-359,674618,GTNWSRP,Task,Resolved,Done,12/04/2013 21:59,15/04/2013 22:52
GTNWSRP-358,674619,GTNWSRP,Bug,Resolved,Done,12/04/2013 03:20,12/04/2013 15:59
GTNWSRP-357,674620,GTNWSRP,Task,Resolved,Done,12/04/2013 01:08,12/04/2013 15:59
GTNWSRP-356,674621,GTNWSRP,Task,Closed,Rejected,11/04/2013 21:16,19/11/2013 16:52
GTNWSRP-355,674622,GTNWSRP,Task,Resolved,Done,09/04/2013 20:48,10/04/2013 00:48
GTNWSRP-354,674623,GTNWSRP,Bug,Resolved,Done,05/04/2013 00:40,05/04/2013 04:00
GTNWSRP-353,674624,GTNWSRP,Bug,Resolved,Done,30/03/2013 19:28,30/03/2013 22:17
GTNWSRP-352,674625,GTNWSRP,Feature Request,Resolved,Done,16/03/2013 02:07,26/03/2013 17:57
GTNWSRP-351,674626,GTNWSRP,Bug,Resolved,Won't Fix,12/03/2013 19:11,16/03/2013 02:08
GTNWSRP-350,674627,GTNWSRP,Bug,Resolved,Done,21/02/2013 19:54,30/03/2013 22:17
GTNWSRP-349,674628,GTNWSRP,Feature Request,Resolved,Done,08/02/2013 00:43,28/03/2013 19:58
GTNWSRP-348,674629,GTNWSRP,Feature Request,Resolved,Done,06/02/2013 17:41,28/03/2013 19:57
GTNWSRP-347,674630,GTNWSRP,Bug,Resolved,Done,23/01/2013 17:59,30/01/2013 21:03
GTNWSRP-346,674631,GTNWSRP,Bug,Resolved,Done,14/01/2013 15:50,17/01/2013 02:17
GTNWSRP-345,674632,GTNWSRP,Bug,Resolved,Done,09/01/2013 19:32,09/01/2013 20:45
GTNWSRP-344,674633,GTNWSRP,Bug,Resolved,Done,09/01/2013 19:06,09/01/2013 20:46
GTNWSRP-342,674635,GTNWSRP,Bug,Resolved,Done,04/01/2013 21:34,08/01/2013 03:07
GTNWSRP-341,674636,GTNWSRP,Bug,Resolved,Done,04/01/2013 20:55,08/01/2013 03:07
GTNWSRP-339,674638,GTNWSRP,Bug,Open,,27/11/2012 06:15,
GTNWSRP-338,674639,GTNWSRP,Feature Request,Resolved,Done,23/11/2012 15:17,23/11/2012 17:12
GTNWSRP-337,674640,GTNWSRP,Feature Request,Resolved,Done,19/11/2012 20:59,19/11/2012 21:57
GTNWSRP-336,674641,GTNWSRP,Bug,Resolved,Done,16/11/2012 21:43,19/11/2012 21:56
GTNWSRP-335,674642,GTNWSRP,Bug,Resolved,Done,14/11/2012 17:52,04/12/2012 22:05
GTNWSRP-334,674643,GTNWSRP,Enhancement,Resolved,Done,14/11/2012 17:42,15/11/2012 02:24
GTNWSRP-333,674644,GTNWSRP,Bug,Resolved,Done,14/11/2012 17:39,15/11/2012 01:28
GTNWSRP-332,674645,GTNWSRP,Bug,Resolved,Done,13/11/2012 18:55,13/11/2012 19:22
GTNWSRP-331,674646,GTNWSRP,Bug,Resolved,Done,13/11/2012 06:40,14/11/2012 02:14
GTNWSRP-330,674647,GTNWSRP,Feature Request,Resolved,Done,13/11/2012 05:41,13/11/2012 22:32
GTNWSRP-329,674648,GTNWSRP,Feature Request,Resolved,Done,11/11/2012 18:24,13/11/2012 02:26
GTNWSRP-328,674649,GTNWSRP,Bug,Reopened,,07/11/2012 23:17,
GTNWSRP-327,674650,GTNWSRP,Task,Open,,03/11/2012 01:55,
GTNWSRP-326,674651,GTNWSRP,Bug,Resolved,Won't Fix,26/10/2012 22:22,02/11/2012 00:07
GTNWSRP-325,674652,GTNWSRP,Bug,Resolved,Won't Fix,26/10/2012 22:12,02/11/2012 00:06
GTNWSRP-324,674653,GTNWSRP,Feature Request,Open,,26/10/2012 13:15,
GTNWSRP-323,674654,GTNWSRP,Bug,Resolved,Done,25/10/2012 23:17,01/11/2012 18:23
GTNWSRP-322,674655,GTNWSRP,Bug,Resolved,Done,24/10/2012 22:35,02/11/2012 19:49
GTNWSRP-321,674656,GTNWSRP,Bug,Resolved,Done,24/10/2012 06:54,24/10/2012 23:02
GTNWSRP-320,674657,GTNWSRP,Feature Request,Open,,19/10/2012 18:28,
GTNWSRP-319,674658,GTNWSRP,Bug,Closed,Won't Fix,18/10/2012 17:53,18/10/2012 20:23
GTNWSRP-318,674659,GTNWSRP,Bug,Resolved,Done,18/10/2012 05:47,25/10/2012 00:49
GTNWSRP-317,674660,GTNWSRP,Bug,Resolved,Rejected,16/10/2012 22:37,19/10/2012 22:40
GTNWSRP-316,674661,GTNWSRP,Feature Request,Closed,Done,12/10/2012 21:53,15/10/2012 18:02
GTNWSRP-315,674662,GTNWSRP,Task,Resolved,Done,12/10/2012 00:37,12/10/2012 23:57
GTNWSRP-314,674663,GTNWSRP,Bug,Resolved,Done,10/10/2012 19:24,11/10/2012 01:38
GTNWSRP-313,674664,GTNWSRP,Bug,Resolved,Done,09/10/2012 21:11,18/10/2012 18:15
GTNWSRP-312,674665,GTNWSRP,Bug,Resolved,Done,09/10/2012 20:56,15/10/2012 18:02
GTNWSRP-311,674666,GTNWSRP,Bug,Resolved,Done,02/10/2012 22:48,09/10/2012 17:39
GTNWSRP-310,674667,GTNWSRP,Enhancement,Resolved,Done,02/10/2012 00:05,02/10/2012 00:23
GTNWSRP-309,674668,GTNWSRP,Feature Request,Resolved,Done,01/10/2012 19:16,11/10/2012 01:37
GTNWSRP-308,674669,GTNWSRP,Bug,Resolved,Done,21/09/2012 00:53,26/09/2012 18:11
GTNWSRP-307,674670,GTNWSRP,Bug,Resolved,Done,19/09/2012 22:36,25/10/2012 17:42
GTNWSRP-306,674671,GTNWSRP,Feature Request,Resolved,Done,19/09/2012 16:39,19/09/2012 16:57
GTNWSRP-305,674672,GTNWSRP,Bug,Resolved,Done,19/09/2012 01:17,19/09/2012 16:24
GTNWSRP-304,674673,GTNWSRP,Feature Request,Resolved,Done,15/09/2012 05:08,27/09/2012 16:06
GTNWSRP-301,674675,GTNWSRP,Feature Request,Resolved,Done,22/08/2012 17:48,22/08/2012 19:37
GTNWSRP-299,674676,GTNWSRP,Bug,Resolved,Done,22/08/2012 02:23,22/08/2012 22:23
GTNWSRP-297,674678,GTNWSRP,Bug,Resolved,Duplicate Issue,02/08/2012 20:49,02/08/2012 21:26
GTNWSRP-296,674679,GTNWSRP,Bug,Resolved,Won't Fix,02/08/2012 20:48,25/10/2012 17:59
GTNWSRP-295,674680,GTNWSRP,Feature Request,Resolved,Done,11/07/2012 17:33,11/07/2012 17:45
GTNWSRP-294,674681,GTNWSRP,Bug,Resolved,Done,15/06/2012 20:01,29/06/2012 20:51
GTNWSRP-293,674682,GTNWSRP,Enhancement,Resolved,Done,15/06/2012 17:26,26/10/2012 00:49
GTNWSRP-292,674683,GTNWSRP,Task,Resolved,Done,14/06/2012 21:17,29/06/2012 22:17
GTNWSRP-291,674684,GTNWSRP,Task,Resolved,Done,14/06/2012 21:15,29/06/2012 22:17
GTNWSRP-290,674685,GTNWSRP,Bug,Resolved,Done,14/06/2012 20:49,15/06/2012 20:46
GTNWSRP-289,674686,GTNWSRP,Feature Request,Resolved,Done,05/06/2012 17:53,30/09/2012 03:38
