Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
JBASPECT-33,653789,JBASPECT,Task,Resolved,Done,19/08/2009 17:59,19/08/2009 18:01
JBASPECT-39,653783,JBASPECT,Bug,Open,,25/01/2013 23:35,
JBASPECT-38,653784,JBASPECT,Bug,Open,,20/06/2012 16:34,
JBASPECT-37,653785,JBASPECT,Task,Resolved,Done,29/07/2010 16:32,31/07/2010 00:38
JBASPECT-36,653786,JBASPECT,Bug,Resolved,Done,15/07/2010 01:05,30/07/2010 19:39
JBASPECT-35,653787,JBASPECT,Task,Resolved,Done,29/04/2010 00:44,29/04/2010 01:02
JBASPECT-34,653788,JBASPECT,Task,Resolved,Done,26/02/2010 03:40,26/02/2010 03:40
JBASPECT-32,653790,JBASPECT,Task,Resolved,Done,03/07/2009 00:32,03/07/2009 02:21
JBASPECT-31,653791,JBASPECT,Task,Resolved,Done,11/03/2009 13:11,11/03/2009 13:30
JBASPECT-30,653792,JBASPECT,Bug,Resolved,Done,11/11/2008 14:22,12/11/2008 00:53
JBASPECT-29,653793,JBASPECT,Task,Closed,Won't Fix,02/09/2008 19:55,29/04/2012 08:16
JBASPECT-28,653794,JBASPECT,Component  Upgrade,Resolved,Done,14/08/2008 17:09,14/08/2008 17:15
JBASPECT-27,653795,JBASPECT,Task,Resolved,Done,28/07/2008 12:03,12/09/2008 06:04
JBASPECT-26,653796,JBASPECT,Bug,Resolved,Done,27/07/2008 05:58,14/08/2008 21:09
JBASPECT-25,653797,JBASPECT,Bug,Resolved,Done,27/07/2008 05:45,27/07/2008 05:47
JBASPECT-23,653799,JBASPECT,Bug,Closed,Done,12/06/2008 05:12,12/06/2008 05:13
JBASPECT-11,653861,JBASPECT,Task,Closed,Done,29/04/2008 10:15,29/04/2008 11:44
JBASPECT-22,653850,JBASPECT,Bug,Open,,06/06/2008 16:55,
JBASPECT-21,653851,JBASPECT,Task,Resolved,Done,06/06/2008 14:30,06/06/2008 15:29
JBASPECT-20,653852,JBASPECT,Task,Closed,Done,06/06/2008 14:27,06/06/2008 15:30
JBASPECT-19,653853,JBASPECT,Task,Resolved,Done,03/06/2008 15:09,03/06/2008 15:14
JBASPECT-18,653854,JBASPECT,Task,Resolved,Done,03/06/2008 02:41,12/06/2008 01:46
JBASPECT-17,653855,JBASPECT,Task,Resolved,Done,15/05/2008 20:54,25/03/2009 20:15
JBASPECT-16,653856,JBASPECT,Bug,Resolved,Done,15/05/2008 19:29,16/05/2008 02:24
JBASPECT-15,653857,JBASPECT,Task,Closed,Done,09/05/2008 01:21,09/05/2008 01:28
JBASPECT-14,653858,JBASPECT,Task,Closed,Done,29/04/2008 11:48,09/05/2008 01:18
JBASPECT-13,653859,JBASPECT,Bug,Resolved,Done,29/04/2008 11:21,12/09/2008 06:03
JBASPECT-12,653860,JBASPECT,Task,Closed,Done,29/04/2008 10:52,29/04/2008 11:44
JBASPECT-10,653862,JBASPECT,Task,Closed,Done,29/04/2008 09:20,29/04/2008 10:00
JBASPECT-9,653863,JBASPECT,Task,Closed,Done,26/04/2008 07:44,26/04/2008 07:47
JBASPECT-8,653864,JBASPECT,Bug,Closed,Done,25/04/2008 16:36,26/04/2008 07:37
JBASPECT-7,653865,JBASPECT,Feature Request,Closed,Done,25/04/2008 16:00,25/04/2008 16:06
JBASPECT-6,653866,JBASPECT,Task,Closed,Rejected,24/04/2008 09:59,29/04/2008 09:03
JBASPECT-5,653867,JBASPECT,Task,Closed,Done,24/04/2008 09:40,29/04/2008 16:51
JBASPECT-4,653868,JBASPECT,Task,Closed,Done,24/04/2008 00:20,09/05/2008 01:15
JBASPECT-3,653869,JBASPECT,Task,Open,,11/04/2008 19:09,
JBASPECT-2,653870,JBASPECT,Task,Resolved,Done,16/04/2008 20:12,21/05/2008 08:44
JBASPECT-1,653871,JBASPECT,Task,Closed,Done,14/04/2008 00:26,16/04/2008 23:21
