Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
RFPL-1610,458457,RFPL,Task,Resolved,Done,11/08/2011 22:16,15/11/2011 04:29
RFPL-954,459553,RFPL,Task,Resolved,Done,08/12/2010 20:27,12/01/2011 00:36
RFPL-935,459572,RFPL,Task,Resolved,Done,29/11/2010 19:10,24/01/2011 14:47
RFPL-214,460645,RFPL,Task,Resolved,Done,29/10/2009 18:00,16/03/2010 17:39
RFPL-6,460903,RFPL,Task,Resolved,Done,11/07/2009 06:32,27/07/2009 22:09
RFPL-3143,455709,RFPL,Bug,Resolved,Done,10/12/2013 17:13,10/12/2013 17:24
RFPL-2871,456222,RFPL,Task,Resolved,Done,09/05/2013 22:52,21/05/2013 17:00
RFPL-2870,456223,RFPL,Bug,Closed,Done,09/05/2013 19:57,10/05/2013 05:59
RFPL-2832,456261,RFPL,Task,Resolved,Done,24/04/2013 16:30,02/05/2013 18:05
RFPL-171,460734,RFPL,Bug,Closed,Done,14/09/2009 23:07,16/09/2009 21:04
RFPL-2585,456756,RFPL,Task,Closed,Done,08/01/2013 13:39,10/01/2013 20:44
RFPL-2196,457391,RFPL,Task,Resolved,Done,18/04/2012 20:43,23/04/2012 20:53
RFPL-2142,457443,RFPL,Task,Resolved,Done,04/04/2012 16:12,12/04/2012 21:39
RFPL-2641,456650,RFPL,Feature Request,Resolved,Done,15/01/2013 23:40,29/01/2013 08:52
RFPL-2589,456752,RFPL,Task,Resolved,Done,08/01/2013 13:45,26/01/2013 04:02
RFPL-817,459784,RFPL,Task,Resolved,Done,20/09/2010 22:15,12/01/2011 20:36
RFPL-1730,458140,RFPL,Task,Closed,Done,14/10/2011 23:58,31/10/2011 20:59
RFPL-108,460800,RFPL,Task,Resolved,Done,02/09/2009 22:06,13/01/2010 03:14
RFPL-2584,456757,RFPL,Task,Resolved,Done,08/01/2013 13:37,17/01/2013 02:33
RFPL-959,459498,RFPL,Task,Resolved,Done,09/12/2010 20:36,14/01/2011 22:45
RFPL-958,459499,RFPL,Task,Resolved,Done,09/12/2010 20:35,13/01/2011 21:25
RFPL-599,460179,RFPL,Bug,Resolved,Done,14/05/2010 16:00,14/05/2010 17:10
RFPL-1255,459080,RFPL,Task,Resolved,Done,12/03/2011 21:18,14/03/2011 17:35
RFPL-1975,457753,RFPL,Task,Open,,06/01/2012 05:20,
RFPL-3142,455710,RFPL,Feature Request,Open,,06/12/2013 16:22,
RFPL-3141,455711,RFPL,Task,Resolved,Done,04/12/2013 17:35,10/12/2013 21:57
RFPL-3147,455705,RFPL,Bug,Open,,10/12/2013 19:16,
RFPL-3146,455706,RFPL,Bug,Pull Request Sent,,10/12/2013 17:52,
RFPL-3145,455707,RFPL,Bug,Resolved,Done,10/12/2013 17:37,10/12/2013 17:53
RFPL-3144,455708,RFPL,Bug,Resolved,Done,10/12/2013 17:23,10/12/2013 17:24
RFPL-3119,455733,RFPL,Task,Open,,04/12/2013 03:44,
RFPL-3097,455805,RFPL,Task,Open,,04/12/2013 03:04,
RFPL-3079,455823,RFPL,Task,Resolved,Done,03/12/2013 19:16,11/12/2013 22:37
RFPL-3061,455841,RFPL,Task,Resolved,Done,03/12/2013 18:42,11/12/2013 22:37
RFPL-3060,455842,RFPL,Feature Request,Open,,27/11/2013 22:26,
RFPL-3058,455843,RFPL,Task,Open,,27/11/2013 17:04,
RFPL-3057,455844,RFPL,Task,Open,,25/11/2013 18:04,
RFPL-3056,455845,RFPL,Bug,Closed,Done,19/11/2013 22:34,21/11/2013 17:17
RFPL-3052,455847,RFPL,Feature Request,Resolved,Done,23/10/2013 14:23,03/12/2013 04:35
RFPL-3051,455848,RFPL,Bug,Resolved,Done,22/10/2013 22:03,23/10/2013 20:47
RFPL-3050,455849,RFPL,Bug,Resolved,Done,22/10/2013 17:52,23/10/2013 15:54
RFPL-3049,455900,RFPL,Bug,Resolved,Done,22/10/2013 17:48,23/10/2013 15:54
RFPL-3048,455901,RFPL,Feature Request,Resolved,Done,21/10/2013 18:38,27/11/2013 22:35
RFPL-3047,455902,RFPL,Bug,Resolved,Duplicate Issue,16/10/2013 18:43,23/10/2013 15:59
RFPL-3046,455903,RFPL,Task,Open,,10/10/2013 21:24,
RFPL-3045,455904,RFPL,Task,Resolved,Done,10/10/2013 21:01,28/11/2013 17:05
RFPL-3038,455910,RFPL,Task,Open,,23/09/2013 20:13,
RFPL-3044,455905,RFPL,Task,Resolved,Done,10/10/2013 20:58,02/12/2013 20:09
RFPL-3043,455906,RFPL,Feature Request,Resolved,Done,10/10/2013 18:33,22/10/2013 22:59
RFPL-3042,455907,RFPL,Bug,Open,,08/10/2013 21:33,
RFPL-3041,455908,RFPL,Bug,Resolved,Done,07/10/2013 22:25,08/10/2013 16:15
RFPL-3040,455909,RFPL,Task,Resolved,Out of Date,03/10/2013 19:17,01/12/2013 15:41
RFPL-3037,455911,RFPL,Bug,Open,,18/09/2013 00:03,
RFPL-3036,455912,RFPL,Enhancement,Open,,12/09/2013 21:53,
RFPL-2981,456015,RFPL,Task,Resolved,Done,18/06/2013 22:17,24/06/2013 21:17
RFPL-3035,455913,RFPL,Task,Open,,10/09/2013 03:01,
RFPL-3034,455914,RFPL,Task,Open,,09/09/2013 17:47,
RFPL-3032,455915,RFPL,Task,Resolved,Done,05/09/2013 13:56,11/09/2013 19:20
RFPL-3030,455917,RFPL,Task,Open,,22/08/2013 20:11,
RFPL-3029,455918,RFPL,Task,Resolved,Done,22/08/2013 20:08,16/10/2013 19:57
RFPL-3028,455919,RFPL,Task,Resolved,Done,21/08/2013 18:27,01/12/2013 16:29
RFPL-3008,455939,RFPL,Task,Resolved,Done,19/08/2013 22:36,30/09/2013 16:29
RFPL-2986,456011,RFPL,Task,Resolved,Done,17/08/2013 04:27,25/09/2013 04:04
RFPL-2985,456012,RFPL,Task,Coding In Progress,,14/08/2013 21:25,
RFPL-2804,456288,RFPL,Bug,Open,,13/03/2013 02:31,
RFPL-2984,456013,RFPL,Task,Open,,06/08/2013 23:04,
RFPL-2982,456014,RFPL,Feature Request,Open,,19/06/2013 13:57,
RFPL-2963,456033,RFPL,Enhancement,Closed,Done,22/05/2013 16:36,31/05/2013 21:14
RFPL-2980,456016,RFPL,Bug,Resolved,Done,15/05/2013 00:00,18/06/2013 16:15
RFPL-2979,456017,RFPL,Bug,Resolved,Done,14/05/2013 23:46,18/06/2013 16:14
RFPL-2978,456018,RFPL,Task,Open,,13/06/2013 12:41,
RFPL-2977,456019,RFPL,Bug,Open,,05/06/2013 19:45,
RFPL-2976,456020,RFPL,Task,Resolved,Done,03/06/2013 19:21,26/07/2013 21:47
RFPL-2975,456021,RFPL,Enhancement,Closed,Done,03/06/2013 17:06,03/06/2013 17:14
RFPL-2974,456022,RFPL,Feature Request,Open,,03/06/2013 16:15,
RFPL-2973,456023,RFPL,Enhancement,Open,,30/05/2013 17:15,
RFPL-2972,456024,RFPL,Task,Resolved,Done,28/05/2013 15:53,28/05/2013 22:07
RFPL-2971,456025,RFPL,Task,Resolved,Out of Date,24/05/2013 19:00,09/09/2013 16:02
RFPL-2970,456026,RFPL,Task,Resolved,Done,23/05/2013 23:26,31/05/2013 16:09
RFPL-2969,456027,RFPL,Task,Resolved,Done,23/05/2013 20:02,24/06/2013 19:49
RFPL-2968,456028,RFPL,Enhancement,Closed,Done,22/05/2013 22:53,31/05/2013 21:44
RFPL-2967,456029,RFPL,Bug,Closed,Done,22/05/2013 22:33,12/06/2013 02:25
RFPL-2966,456030,RFPL,Bug,Coding In Progress,,22/05/2013 17:28,
RFPL-2965,456031,RFPL,Bug,Resolved,Done,22/05/2013 17:17,06/06/2013 14:16
RFPL-2964,456032,RFPL,Enhancement,Closed,Done,22/05/2013 16:41,31/05/2013 21:50
RFPL-2962,456034,RFPL,Enhancement,Closed,Done,22/05/2013 16:27,05/06/2013 20:19
RFPL-2961,456035,RFPL,Enhancement,Open,,22/05/2013 02:40,
RFPL-2960,456036,RFPL,Bug,Closed,Done,22/05/2013 02:06,22/05/2013 02:14
RFPL-2867,456226,RFPL,Bug,Open,,09/05/2013 19:18,
RFPL-2940,456104,RFPL,Task,Resolved,Done,21/05/2013 18:53,24/06/2013 19:53
RFPL-2939,456105,RFPL,Bug,Open,,20/05/2013 21:06,
RFPL-2938,456106,RFPL,Feature Request,Resolved,Done,18/05/2013 16:49,18/05/2013 20:20
RFPL-2937,456107,RFPL,Bug,Resolved,Done,17/05/2013 19:47,23/05/2013 20:37
RFPL-2866,456227,RFPL,Bug,Resolved,Done,09/05/2013 19:12,10/05/2013 06:26
RFPL-2865,456228,RFPL,Bug,Closed,Won't Fix,09/05/2013 19:07,16/05/2013 12:25
RFPL-2864,456229,RFPL,Bug,Closed,Won't Fix,09/05/2013 19:03,16/05/2013 12:27
