Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SEAMJMS-66,451829,SEAMJMS,Enhancement,Reopened,,30/04/2012 14:47,
SEAMJMS-68,451827,SEAMJMS,Feature Request,Open,,19/07/2012 22:24,
SEAMJMS-67,451828,SEAMJMS,Bug,Open,,30/04/2012 18:58,
SEAMJMS-65,451830,SEAMJMS,Bug,Open,,17/12/2011 21:13,
SEAMJMS-64,451831,SEAMJMS,Bug,Pull Request Sent,,06/12/2011 09:48,
SEAMJMS-63,451832,SEAMJMS,Bug,Open,,06/12/2011 09:44,
SEAMJMS-62,451833,SEAMJMS,Bug,Resolved,Done,02/12/2011 23:47,02/01/2012 15:59
SEAMJMS-10,451934,SEAMJMS,Task,Closed,Done,31/12/2010 21:01,09/01/2011 12:00
SEAMJMS-61,451834,SEAMJMS,Bug,Resolved,Done,02/12/2011 19:25,17/12/2011 00:38
SEAMJMS-42,451903,SEAMJMS,Bug,Resolved,Duplicate Issue,01/07/2011 16:00,04/07/2011 07:00
SEAMJMS-41,451904,SEAMJMS,Bug,Resolved,Done,22/06/2011 07:49,22/06/2011 08:09
SEAMJMS-60,451835,SEAMJMS,Bug,Resolved,Done,29/11/2011 20:15,30/11/2011 08:19
SEAMJMS-59,451836,SEAMJMS,Bug,Resolved,Done,02/11/2011 18:24,08/11/2011 17:11
SEAMJMS-58,451837,SEAMJMS,Task,Closed,Done,01/11/2011 00:12,01/11/2011 02:58
SEAMJMS-57,451838,SEAMJMS,Bug,Resolved,Done,17/10/2011 16:33,04/11/2011 03:34
SEAMJMS-56,451839,SEAMJMS,Bug,Resolved,Done,03/10/2011 22:31,04/11/2011 03:29
SEAMJMS-55,451840,SEAMJMS,Bug,Resolved,Done,03/10/2011 22:28,26/10/2011 12:28
SEAMJMS-54,451841,SEAMJMS,Feature Request,Closed,Won't Fix,06/09/2011 22:20,28/11/2011 06:00
SEAMJMS-53,451842,SEAMJMS,Feature Request,Closed,Won't Fix,06/09/2011 22:13,28/11/2011 06:01
SEAMJMS-52,451843,SEAMJMS,Feature Request,Resolved,Done,06/09/2011 22:09,28/11/2011 06:29
SEAMJMS-51,451844,SEAMJMS,Feature Request,Resolved,Partially Completed,06/09/2011 22:07,28/11/2011 06:34
SEAMJMS-50,451845,SEAMJMS,Feature Request,Resolved,Done,11/07/2011 17:44,12/07/2011 09:11
SEAMJMS-49,451846,SEAMJMS,Task,Resolved,Done,08/07/2011 01:13,19/12/2011 10:13
SEAMJMS-48,451847,SEAMJMS,Task,Resolved,Done,08/07/2011 01:12,04/11/2011 03:33
SEAMJMS-40,451905,SEAMJMS,Enhancement,Resolved,Done,22/06/2011 07:43,22/06/2011 08:09
SEAMJMS-47,451848,SEAMJMS,Task,Resolved,Done,08/07/2011 01:07,28/11/2011 06:37
SEAMJMS-46,451849,SEAMJMS,Feature Request,Resolved,Done,05/07/2011 23:17,06/07/2011 09:47
SEAMJMS-45,451900,SEAMJMS,Feature Request,Resolved,Done,05/07/2011 09:51,06/07/2011 00:04
SEAMJMS-44,451901,SEAMJMS,Feature Request,Resolved,Done,05/07/2011 09:48,06/07/2011 10:36
SEAMJMS-43,451902,SEAMJMS,Enhancement,Resolved,Done,04/07/2011 09:44,04/07/2011 10:43
SEAMJMS-39,451906,SEAMJMS,Feature Request,Resolved,Won't Fix,03/06/2011 16:33,04/06/2011 21:35
SEAMJMS-38,451907,SEAMJMS,Bug,Resolved,Won't Fix,03/06/2011 16:22,04/06/2011 21:35
SEAMJMS-36,451908,SEAMJMS,Bug,Resolved,Done,02/06/2011 23:14,06/07/2011 11:17
SEAMJMS-35,451909,SEAMJMS,Task,Resolved,Done,02/06/2011 22:39,22/06/2011 08:22
SEAMJMS-34,451910,SEAMJMS,Task,Resolved,Done,02/06/2011 22:02,05/07/2011 08:55
SEAMJMS-33,451911,SEAMJMS,Bug,Resolved,Done,02/06/2011 21:46,07/07/2011 05:16
SEAMJMS-32,451912,SEAMJMS,Enhancement,Resolved,Done,08/05/2011 09:22,24/05/2011 09:59
SEAMJMS-31,451913,SEAMJMS,Feature Request,Closed,Won't Fix,06/05/2011 08:54,28/11/2011 06:03
SEAMJMS-30,451914,SEAMJMS,Feature Request,Resolved,Done,06/05/2011 08:52,24/05/2011 09:56
SEAMJMS-29,451915,SEAMJMS,Enhancement,Resolved,Done,03/05/2011 07:02,24/05/2011 09:54
SEAMJMS-21,451923,SEAMJMS,Enhancement,Closed,Won't Fix,14/03/2011 21:29,04/04/2011 06:53
SEAMJMS-28,451916,SEAMJMS,Enhancement,Closed,Duplicate Issue,03/05/2011 07:02,08/05/2011 09:15
SEAMJMS-27,451917,SEAMJMS,Task,Resolved,Done,27/04/2011 04:45,10/05/2011 15:45
SEAMJMS-26,451918,SEAMJMS,Feature Request,Resolved,Done,13/04/2011 08:17,15/04/2011 09:24
SEAMJMS-25,451919,SEAMJMS,Enhancement,Open,,04/04/2011 09:13,
SEAMJMS-24,451920,SEAMJMS,Enhancement,Closed,Done,30/03/2011 08:04,02/04/2011 22:08
SEAMJMS-23,451921,SEAMJMS,Enhancement,Resolved,Duplicate Issue,28/03/2011 06:25,04/04/2011 09:19
SEAMJMS-22,451922,SEAMJMS,Feature Request,Open,,19/03/2011 23:27,
SEAMJMS-20,451924,SEAMJMS,Feature Request,Resolved,Done,14/03/2011 21:27,28/03/2011 07:06
SEAMJMS-19,451925,SEAMJMS,Task,Resolved,Done,10/03/2011 05:52,12/03/2011 23:08
