Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
DATAREST-86,404359,DATAREST,Improvement,Open,,07/05/2013 22:29,
DATAREST-196,404250,DATAREST,Bug,Resolved,Duplicate,26/09/2013 02:34,25/11/2013 02:30
DATAREST-163,404283,DATAREST,Bug,Closed,Fixed,24/09/2013 14:12,14/11/2013 18:02
DATAREST-209,404237,DATAREST,Bug,Open,,18/12/2013 18:26,
DATAREST-208,404238,DATAREST,Improvement,Open,,14/12/2013 01:20,
DATAREST-207,404239,DATAREST,Improvement,Resolved,Won't Fix,14/12/2013 01:19,14/12/2013 02:57
DATAREST-206,404240,DATAREST,Improvement,Waiting for Feedback,,14/12/2013 00:50,
DATAREST-205,404241,DATAREST,Improvement,Open,,13/12/2013 23:36,
DATAREST-195,404251,DATAREST,Bug,Waiting for Feedback,,23/11/2013 07:06,
DATAREST-204,404242,DATAREST,Bug,Open,,13/12/2013 21:35,
DATAREST-203,404243,DATAREST,Improvement,Open,,13/12/2013 20:37,
DATAREST-80,404365,DATAREST,Bug,Open,,02/04/2013 16:59,
DATAREST-150,404296,DATAREST,Bug,Open,,27/08/2013 16:33,
DATAREST-149,404297,DATAREST,Bug,Open,,27/08/2013 16:33,
DATAREST-202,404244,DATAREST,Improvement,Open,,06/12/2013 23:59,
DATAREST-201,404245,DATAREST,Bug,Open,,06/12/2013 23:41,
DATAREST-200,404246,DATAREST,Bug,Resolved,Fixed,05/12/2013 04:38,05/12/2013 14:53
DATAREST-199,404247,DATAREST,Bug,Resolved,Fixed,05/12/2013 03:52,05/12/2013 14:53
DATAREST-198,404248,DATAREST,Bug,Open,,04/12/2013 22:20,
DATAREST-197,404249,DATAREST,Bug,Investigating,,25/11/2013 04:32,
DATAREST-194,404252,DATAREST,Improvement,Open,,23/11/2013 01:45,
DATAREST-193,404253,DATAREST,Task,Closed,Fixed,21/11/2013 17:54,21/11/2013 22:13
DATAREST-192,404254,DATAREST,Bug,Open,,20/11/2013 21:22,
DATAREST-191,404255,DATAREST,Bug,Open,,20/11/2013 00:15,
DATAREST-190,404256,DATAREST,Bug,Waiting for Feedback,,19/11/2013 23:45,
DATAREST-189,404257,DATAREST,Task,Closed,Fixed,19/11/2013 17:19,05/12/2013 14:48
DATAREST-188,404258,DATAREST,Bug,Resolved,Fixed,19/11/2013 14:52,05/12/2013 22:17
DATAREST-187,404259,DATAREST,Improvement,Open,,13/11/2013 02:30,
DATAREST-85,404360,DATAREST,New Feature,Open,,07/05/2013 22:06,
DATAREST-186,404260,DATAREST,Improvement,Open,,13/11/2013 02:24,
DATAREST-185,404261,DATAREST,Task,Closed,Fixed,13/11/2013 01:32,14/11/2013 18:00
DATAREST-184,404262,DATAREST,Bug,Closed,Fixed,08/11/2013 17:27,14/11/2013 18:01
DATAREST-183,404263,DATAREST,Bug,Open,,06/11/2013 00:40,
DATAREST-157,404289,DATAREST,Improvement,Open,,27/08/2013 16:33,
DATAREST-166,404280,DATAREST,Bug,Open,,26/09/2013 13:38,
DATAREST-182,404264,DATAREST,Improvement,Open,,02/11/2013 07:13,
DATAREST-181,404265,DATAREST,Task,Resolved,Works as Designed,31/10/2013 18:58,13/11/2013 00:13
