Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SPRNET-1277,381581,SPRNET,Bug,Resolved,Fixed,21/11/2009 16:29,26/08/2010 23:51
SPRNET-1276,381582,SPRNET,Bug,Open,,20/11/2009 10:19,
SPRNET-1275,381583,SPRNET,Task,Open,,16/11/2009 16:30,
SPRNET-1274,381584,SPRNET,Task,Open,,16/11/2009 16:30,
SPRNET-978,381875,SPRNET,Improvement,Resolved,Fixed,21/07/2008 17:16,21/07/2008 17:23
SPRNET-962,381891,SPRNET,Bug,Resolved,Fixed,16/06/2008 19:11,22/12/2009 01:23
SPRNET-961,381892,SPRNET,Bug,Resolved,Fixed,10/06/2008 03:11,10/06/2008 04:42
SPRNET-960,381893,SPRNET,Improvement,Resolved,Fixed,09/06/2008 18:28,14/10/2008 04:54
SPRNET-959,381894,SPRNET,Improvement,Resolved,Fixed,08/06/2008 23:47,13/12/2009 00:39
SPRNET-958,381895,SPRNET,Improvement,Resolved,Fixed,08/06/2008 20:19,14/10/2008 04:48
SPRNET-1100,381757,SPRNET,Task,Resolved,Fixed,06/11/2008 19:53,11/11/2008 17:17
SPRNET-1353,381506,SPRNET,Task,Closed,Complete,11/08/2010 03:17,28/10/2010 05:18
SPRNET-798,382053,SPRNET,Task,Resolved,Fixed,06/12/2007 10:08,06/12/2007 23:38
SPRNET-1349,381510,SPRNET,New Feature,Open,,03/08/2010 22:09,
SPRNET-828,382023,SPRNET,Task,Resolved,Fixed,28/12/2007 17:43,28/10/2008 17:01
SPRNET-827,382024,SPRNET,Bug,Resolved,Fixed,20/12/2007 23:14,02/01/2008 21:59
SPRNET-639,382212,SPRNET,Bug,Resolved,Fixed,12/07/2007 23:25,12/07/2007 23:25
SPRNET-68,382744,SPRNET,Bug,Closed,Fixed,28/03/2005 00:52,28/03/2005 00:52
SPRNET-67,382745,SPRNET,Improvement,Closed,Fixed,28/03/2005 00:48,28/03/2005 00:48
SPRNET-1020,381834,SPRNET,Bug,Resolved,Fixed,04/09/2008 19:57,04/09/2008 20:30
SPRNET-826,382025,SPRNET,Task,Resolved,Fixed,17/12/2007 15:49,03/04/2008 04:09
SPRNET-638,382213,SPRNET,Task,Resolved,Fixed,12/07/2007 20:40,16/07/2007 17:21
SPRNET-637,382214,SPRNET,Improvement,Resolved,Fixed,12/07/2007 00:21,12/07/2007 00:22
SPRNET-636,382215,SPRNET,Improvement,Resolved,Fixed,12/07/2007 00:20,12/07/2007 00:20
SPRNET-635,382216,SPRNET,Improvement,Resolved,Fixed,11/07/2007 19:15,04/08/2007 01:33
SPRNET-684,382167,SPRNET,Bug,Resolved,Fixed,14/08/2007 23:10,16/08/2007 07:41
SPRNET-275,382550,SPRNET,Improvement,Resolved,Fixed,29/01/2006 06:12,29/01/2006 06:12
SPRNET-634,382217,SPRNET,Bug,Resolved,Fixed,11/07/2007 18:00,11/07/2007 18:00
SPRNET-633,382218,SPRNET,Bug,Resolved,Fixed,11/07/2007 17:58,11/07/2007 18:06
SPRNET-632,382219,SPRNET,Improvement,Resolved,Fixed,11/07/2007 17:53,11/07/2007 18:05
SPRNET-506,382338,SPRNET,Improvement,Resolved,Fixed,16/03/2007 14:59,01/06/2007 17:51
SPRNET-436,382405,SPRNET,Bug,Resolved,Fixed,02/01/2007 00:26,19/05/2007 07:16
SPRNET-410,382429,SPRNET,Task,Closed,Won't Fix,04/12/2006 20:37,07/12/2006 08:58
