Key,ID,Project,IssueType,Status,Resolution,Created Date,Resolved Date
SPRNETREST-25,381259,SPRNETREST,Improvement,Resolved,Complete,28/01/2012 01:25,28/01/2012 01:29
SPRNETREST-24,381260,SPRNETREST,Task,Resolved,Complete,28/01/2012 01:23,15/11/2012 18:33
SPRNETREST-20,381264,SPRNETREST,New Feature,Resolved,Complete,05/01/2012 01:21,12/01/2012 09:26
SPRNETREST-31,381253,SPRNETREST,Bug,Closed,Works as Designed,16/04/2013 21:58,18/04/2013 03:47
SPRNETREST-30,381254,SPRNETREST,Bug,Resolved,Fixed,16/04/2013 21:45,18/04/2013 03:47
SPRNETREST-29,381255,SPRNETREST,Bug,Resolved,Complete,14/11/2012 22:24,14/11/2012 22:35
SPRNETREST-28,381256,SPRNETREST,Bug,Resolved,Complete,09/11/2012 18:50,09/11/2012 23:41
SPRNETREST-27,381257,SPRNETREST,Bug,Resolved,Complete,08/11/2012 08:33,09/11/2012 23:38
SPRNETREST-26,381258,SPRNETREST,New Feature,Resolved,Complete,17/09/2012 04:55,19/09/2012 01:10
SPRNETREST-23,381261,SPRNETREST,Improvement,Resolved,Complete,23/01/2012 08:47,23/01/2012 10:40
SPRNETREST-22,381262,SPRNETREST,New Feature,Resolved,Complete,06/01/2012 10:05,12/01/2012 18:47
SPRNETREST-21,381263,SPRNETREST,New Feature,Resolved,Complete,06/01/2012 09:57,12/01/2012 09:33
SPRNETREST-19,381265,SPRNETREST,New Feature,Resolved,Complete,17/12/2011 22:25,13/01/2012 01:21
SPRNETREST-18,381266,SPRNETREST,Improvement,Resolved,Complete,16/12/2011 22:57,17/12/2011 00:03
SPRNETREST-17,381267,SPRNETREST,New Feature,Resolved,Complete,15/12/2011 02:05,17/12/2011 22:21
SPRNETREST-16,381268,SPRNETREST,New Feature,Resolved,Complete,13/12/2011 22:52,14/12/2011 00:26
SPRNETREST-15,381269,SPRNETREST,Task,Resolved,Complete,12/12/2011 22:32,19/01/2012 03:55
SPRNETREST-14,381270,SPRNETREST,Task,Resolved,Complete,12/12/2011 17:45,12/12/2011 21:20
SPRNETREST-13,381271,SPRNETREST,Task,Resolved,Complete,12/12/2011 17:44,12/12/2011 22:43
SPRNETREST-12,381272,SPRNETREST,Task,Resolved,Complete,12/12/2011 17:41,13/12/2011 18:19
SPRNETREST-11,381273,SPRNETREST,Bug,Resolved,Complete,16/11/2011 16:44,16/11/2011 16:47
SPRNETREST-10,381274,SPRNETREST,Task,Resolved,Complete,31/10/2011 08:01,31/10/2011 08:18
SPRNETREST-9,381275,SPRNETREST,New Feature,Resolved,Complete,29/10/2011 02:44,31/10/2011 09:39
SPRNETREST-8,381276,SPRNETREST,Bug,Resolved,Complete,25/10/2011 14:50,27/10/2011 01:53
SPRNETREST-7,381277,SPRNETREST,Bug,Resolved,Complete,21/07/2011 22:27,21/07/2011 22:29
SPRNETREST-6,381278,SPRNETREST,New Feature,Resolved,Complete,21/07/2011 17:05,21/07/2011 17:27
SPRNETREST-5,381279,SPRNETREST,Task,Resolved,Complete,03/06/2011 03:16,03/06/2011 04:00
SPRNETREST-4,381280,SPRNETREST,Bug,Resolved,Complete,03/06/2011 02:58,03/06/2011 03:09
SPRNETREST-3,381281,SPRNETREST,Bug,Resolved,Complete,03/06/2011 01:23,03/06/2011 01:35
SPRNETREST-2,381282,SPRNETREST,Task,Resolved,Complete,05/05/2011 04:04,05/05/2011 04:10
SPRNETREST-1,381283,SPRNETREST,New Feature,Closed,Deferred,25/03/2011 23:43,16/11/2011 17:07
