Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
APOLLO-51,12359473,APOLLO,Bug,false,Open,,2006-12-28 07:24:48,
APOLLO-50,12352258,APOLLO,Improvement,false,Open,,2006-10-03 07:25:27,
APOLLO-49,12330335,APOLLO,Bug,false,Open,,2006-03-16 20:51:28,
APOLLO-48,12317714,APOLLO,Bug,false,Open,,2005-10-07 18:30:31,
APOLLO-47,12317625,APOLLO,Improvement,false,Open,,2005-10-05 20:18:43,
APOLLO-46,12317624,APOLLO,Improvement,false,Open,,2005-10-05 20:06:38,
APOLLO-45,12317530,APOLLO,Bug,false,Open,,2005-10-03 19:10:04,
APOLLO-44,12314858,APOLLO,Task,false,Open,,2005-09-13 06:02:36,
APOLLO-43,12313016,APOLLO,Bug,false,Open,,2005-08-04 11:55:36,
APOLLO-42,12312766,APOLLO,Bug,false,Open,,2005-07-29 14:03:09,
APOLLO-41,12311520,APOLLO,Bug,false,Closed,Fixed,2005-06-21 02:17:48,2005-07-21 06:43:53
APOLLO-40,12311455,APOLLO,Bug,false,Open,,2005-06-17 03:06:25,
APOLLO-39,12311183,APOLLO,Task,false,Closed,Fixed,2005-06-09 05:07:35,2005-07-21 05:51:08
APOLLO-38,12311129,APOLLO,Bug,false,Closed,Fixed,2005-06-07 23:36:35,2005-06-08 01:03:42
APOLLO-37,32831,APOLLO,Bug,false,Closed,Fixed,2005-05-24 00:28:04,2005-05-24 00:46:22
APOLLO-36,32698,APOLLO,Improvement,false,Open,,2005-05-19 03:04:35,
APOLLO-35,32697,APOLLO,Improvement,false,Open,,2005-05-19 03:00:58,
APOLLO-34,32696,APOLLO,New Feature,false,Open,,2005-05-19 02:58:27,
APOLLO-33,32695,APOLLO,New Feature,false,Open,,2005-05-19 02:55:27,
APOLLO-32,32694,APOLLO,New Feature,false,Open,,2005-05-19 02:53:22,
APOLLO-31,32690,APOLLO,New Feature,false,Open,,2005-05-19 02:49:25,
APOLLO-30,31906,APOLLO,New Feature,false,Closed,Fixed,2005-04-22 04:31:28,2005-04-26 00:06:25
APOLLO-29,31699,APOLLO,Bug,false,Closed,Fixed,2005-04-15 02:53:13,2005-04-15 04:13:06
APOLLO-28,31658,APOLLO,Bug,false,Closed,Fixed,2005-04-14 01:33:19,2005-05-17 00:35:20
APOLLO-27,31412,APOLLO,Task,false,Open,,2005-04-05 01:09:16,
APOLLO-26,31411,APOLLO,Task,false,Closed,Fixed,2005-04-05 01:05:00,2005-05-17 00:48:01
APOLLO-25,31410,APOLLO,Task,false,Closed,Fixed,2005-04-05 00:58:34,2005-05-17 00:42:37
APOLLO-24,31405,APOLLO,Task,false,Open,,2005-04-04 23:45:24,
APOLLO-23,31368,APOLLO,Improvement,false,Closed,Fixed,2005-04-02 09:00:55,2005-04-05 05:14:37
APOLLO-22,31153,APOLLO,Task,false,Open,,2005-03-26 03:55:56,
APOLLO-21,31115,APOLLO,Improvement,false,Closed,Fixed,2005-03-24 01:10:17,2005-04-15 00:26:41
APOLLO-20,30996,APOLLO,Improvement,false,Closed,Fixed,2005-03-18 04:37:58,2005-03-18 05:50:29
APOLLO-19,30912,APOLLO,Bug,false,Open,,2005-03-16 01:15:29,
APOLLO-18,30890,APOLLO,Task,false,Open,,2005-03-15 06:42:34,
APOLLO-17,30889,APOLLO,Task,false,Open,,2005-03-15 06:36:34,
APOLLO-16,30888,APOLLO,Task,false,Closed,Fixed,2005-03-15 06:31:03,2005-04-15 01:34:06
APOLLO-15,30881,APOLLO,New Feature,false,Open,,2005-03-15 04:22:10,
APOLLO-14,30880,APOLLO,New Feature,false,Open,,2005-03-15 04:18:39,
APOLLO-13,30864,APOLLO,Improvement,false,Open,,2005-03-15 01:47:39,
APOLLO-12,30748,APOLLO,Task,false,Closed,Fixed,2005-03-10 09:04:45,2005-07-21 05:47:24
APOLLO-11,30747,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 08:56:59,2005-05-17 02:18:53
APOLLO-10,30746,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 08:32:42,2005-04-15 01:17:37
APOLLO-9,30743,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 08:13:38,2005-04-13 23:48:48
APOLLO-8,30741,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 07:33:56,2005-04-27 23:08:20
APOLLO-7,30739,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 07:26:48,2005-04-14 03:10:52
APOLLO-6,30737,APOLLO,Task,false,Closed,Fixed,2005-03-10 06:53:02,2005-03-19 02:20:46
APOLLO-5,30735,APOLLO,Task,false,Open,,2005-03-10 06:39:48,
APOLLO-4,30733,APOLLO,Improvement,false,Closed,Fixed,2005-03-10 06:34:04,2005-04-13 23:54:49
APOLLO-3,30728,APOLLO,Task,false,Closed,Fixed,2005-03-10 04:35:52,2005-03-19 01:32:00
APOLLO-2,28722,APOLLO,Task,false,Closed,Fixed,2004-12-03 01:13:24,2005-04-28 03:04:15
APOLLO-1,28362,APOLLO,Task,false,Closed,Fixed,2004-11-11 22:52:20,2004-11-12 20:22:05
