Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
CLKE-47,12525236,CLKE,Bug,false,Open,,2011-09-29 19:17:18,
CLKE-46,12503210,CLKE,Improvement,false,Open,,2011-04-02 21:23:08,
CLKE-45,12502652,CLKE,Bug,false,Closed,Fixed,2011-03-29 05:02:50,2011-03-29 05:03:01
CLKE-44,12502651,CLKE,Bug,false,Closed,Fixed,2011-03-29 05:00:18,2011-03-29 05:00:40
CLKE-43,12502650,CLKE,Task,false,Closed,Fixed,2011-03-29 04:57:04,2011-03-29 04:57:28
CLKE-42,12464731,CLKE,Question,false,Closed,Invalid,2010-05-17 22:32:17,2010-05-18 10:26:41
CLKE-41,12459944,CLKE,Improvement,false,Closed,Fixed,2010-03-23 02:17:25,2010-03-23 02:18:26
CLKE-40,12459162,CLKE,Task,false,Closed,Fixed,2010-03-15 16:30:08,2010-07-04 07:01:19
CLKE-39,12458341,CLKE,Bug,false,Closed,Fixed,2010-03-06 05:59:38,2010-03-14 14:42:09
CLKE-38,12458340,CLKE,Bug,false,Closed,Fixed,2010-03-06 05:48:28,2010-03-14 12:49:08
CLKE-37,12456009,CLKE,New Feature,false,Open,,2010-02-11 12:43:45,
CLKE-36,12445810,CLKE,Task,false,Closed,Fixed,2010-01-18 11:38:33,2010-02-12 01:58:46
CLKE-35,12431431,CLKE,New Feature,false,Closed,Fixed,2009-07-25 15:47:55,2009-07-25 15:49:24
CLKE-34,12431430,CLKE,Improvement,false,Open,,2009-07-25 15:45:40,
CLKE-33,12430998,CLKE,New Feature,false,Open,,2009-07-21 06:42:04,
CLKE-32,12430948,CLKE,Task,false,Closed,Fixed,2009-07-20 17:32:32,2009-07-21 04:18:01
CLKE-31,12430934,CLKE,New Feature,false,Closed,Fixed,2009-07-20 14:37:14,2009-07-20 17:37:35
CLKE-30,12422647,CLKE,New Feature,false,Open,,2009-04-12 02:15:14,
CLKE-29,12417443,CLKE,Improvement,false,Open,,2009-01-25 15:48:52,
CLKE-28,12417441,CLKE,Task,false,Closed,Fixed,2009-01-25 15:45:41,2010-02-12 01:59:15
CLKE-27,12417444,CLKE,Improvement,false,Open,,2008-11-24 04:10:53,
CLKE-26,12417442,CLKE,Improvement,false,Closed,Fixed,2008-08-21 22:33:44,2009-01-25 15:46:01
CLKE-25,12417440,CLKE,Improvement,false,Closed,Fixed,2008-08-21 22:32:27,2009-01-25 13:52:26
CLKE-24,12417439,CLKE,Improvement,false,Closed,Fixed,2008-03-18 04:19:38,2009-07-21 06:35:23
CLKE-23,12417437,CLKE,Improvement,false,Closed,Fixed,2008-01-31 02:13:46,2008-03-18 04:18:07
CLKE-22,12417438,CLKE,Improvement,false,Closed,Fixed,2007-07-07 00:13:25,2007-09-18 06:59:18
CLKE-21,12417431,CLKE,Bug,false,Closed,Cannot Reproduce,2007-04-11 22:28:07,2007-09-18 07:01:20
CLKE-20,12417430,CLKE,Improvement,false,In Progress,,2007-03-23 19:51:08,
CLKE-19,12417435,CLKE,New Feature,false,Closed,Fixed,2007-03-23 09:53:28,2007-03-23 19:51:41
CLKE-18,12417432,CLKE,Improvement,false,Closed,Fixed,2007-01-18 00:22:09,2007-03-25 06:23:56
CLKE-17,12417436,CLKE,Improvement,false,Open,,2006-11-02 02:41:07,
CLKE-16,12417434,CLKE,Improvement,false,Closed,Fixed,2006-11-01 23:55:52,2006-11-02 02:42:23
CLKE-15,12417427,CLKE,Bug,false,Closed,Fixed,2006-10-31 22:05:41,2006-11-08 12:02:42
CLKE-14,12417428,CLKE,Bug,false,Closed,Fixed,2006-10-16 02:28:40,2006-10-23 19:30:26
CLKE-13,12417433,CLKE,Improvement,false,Closed,Fixed,2006-10-16 02:26:18,2006-10-23 18:48:04
CLKE-12,12417424,CLKE,Improvement,false,Closed,Fixed,2006-09-07 11:34:45,2006-10-06 09:13:02
CLKE-11,12417423,CLKE,New Feature,false,Closed,Fixed,2006-06-19 03:46:55,2006-07-08 11:13:22
CLKE-10,12417417,CLKE,New Feature,false,Closed,Fixed,2006-06-19 03:41:37,2006-06-20 05:05:52
CLKE-9,12417429,CLKE,New Feature,false,Closed,Fixed,2006-06-09 12:28:40,2006-06-15 18:51:41
CLKE-8,12417425,CLKE,Bug,false,Closed,Fixed,2006-03-24 12:46:19,2006-03-24 19:40:54
CLKE-7,12417426,CLKE,Improvement,false,Closed,Fixed,2006-03-24 12:42:36,2006-05-12 14:12:03
CLKE-6,12417420,CLKE,New Feature,false,In Progress,,2006-03-24 12:39:02,
CLKE-5,12417422,CLKE,Bug,false,Closed,Fixed,2006-03-22 04:27:37,2006-09-07 11:15:50
CLKE-4,12417419,CLKE,Improvement,false,Closed,Fixed,2006-03-15 15:06:05,2006-04-05 15:19:59
CLKE-3,12417421,CLKE,Improvement,false,Closed,Fixed,2006-03-13 13:43:12,2006-03-21 16:20:16
CLKE-2,12417418,CLKE,Improvement,false,Closed,Fixed,2006-03-13 13:37:16,2006-03-21 16:31:06
CLKE-1,12417445,CLKE,Improvement,false,Closed,Won't Fix,2006-03-13 04:41:08,2009-01-25 15:52:26
