Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
DI-39,13399635,DI,Task,false,Open,,2021-09-06 23:13:02,
DI-38,13399391,DI,Bug,false,Open,,2021-09-04 11:39:23,
DI-37,13398655,DI,Bug,false,Open,,2021-09-01 12:11:21,
DI-33,13266400,DI,Task,false,Closed,Fixed,2019-11-05 18:42:27,2019-11-25 23:38:52
DI-32,13266388,DI,Task,false,Closed,Fixed,2019-11-05 17:30:20,2019-11-25 23:37:43
DI-31,13266383,DI,Improvement,false,Closed,Fixed,2019-11-05 17:17:09,2019-11-25 23:39:16
DI-30,13262674,DI,Task,false,Resolved,Fixed,2019-10-16 17:08:10,2019-10-21 12:32:09
DI-29,13262498,DI,Task,false,Open,,2019-10-16 03:22:43,
DI-28,13257498,DI,New Feature,false,Closed,Fixed,2019-09-18 20:40:29,2019-09-29 18:12:52
DI-27,13253794,DI,New Feature,false,Closed,Fixed,2019-08-29 22:43:16,2019-09-23 18:22:53
DI-26,13248448,DI,Task,false,Resolved,Resolved,2019-08-01 23:17:02,2019-08-17 11:40:54
DI-25,13247973,DI,New Feature,false,Closed,Fixed,2019-07-31 00:44:03,2019-09-23 18:23:09
DI-24,13247693,DI,Task,false,Resolved,Fixed,2019-07-29 16:10:25,2019-10-16 16:54:36
DI-23,13247403,DI,Task,false,Closed,Done,2019-07-26 19:38:18,2021-02-07 19:14:51
DI-22,13247394,DI,Task,false,Resolved,Resolved,2019-07-26 18:38:14,2019-08-01 23:01:45
DI-21,13247376,DI,Task,false,Resolved,Fixed,2019-07-26 17:12:24,2019-07-29 13:47:12
DI-20,13247372,DI,Task,false,Resolved,Fixed,2019-07-26 17:06:03,2019-08-15 17:17:02
DI-19,13247369,DI,Task,false,Resolved,Resolved,2019-07-26 17:01:55,2019-08-19 20:20:12
DI-18,13247368,DI,Task,false,Resolved,Fixed,2019-07-26 16:55:10,2019-07-26 20:00:11
DI-17,13247353,DI,Task,false,Resolved,Fixed,2019-07-26 15:56:52,2019-07-26 16:52:40
DI-16,13246041,DI,Task,false,Closed,Fixed,2019-07-19 16:43:32,2019-09-23 18:23:47
DI-15,13246040,DI,New Feature,false,Closed,Fixed,2019-07-19 16:39:49,2019-09-23 18:24:51
DI-14,13246037,DI,Task,false,Resolved,Fixed,2019-07-19 16:32:20,2019-08-16 21:09:16
DI-13,13246036,DI,Task,false,Closed,Fixed,2019-07-19 16:30:49,2019-09-23 18:26:50
DI-12,13246033,DI,Task,false,Closed,Fixed,2019-07-19 16:26:15,2019-09-23 18:26:35
DI-11,13244780,DI,Task,false,Open,,2019-07-13 19:07:42,
DI-8,13237010,DI,Task,false,Resolved,Fixed,2019-06-01 01:48:56,2019-06-01 15:12:53
DI-7,13237008,DI,Wish,false,In Progress,,2019-06-01 01:22:03,
DI-6,13237007,DI,New Feature,false,Resolved,Fixed,2019-06-01 01:08:20,2019-07-31 00:40:06
DI-5,13237005,DI,New Feature,false,Resolved,Fixed,2019-06-01 01:05:39,2019-07-31 00:06:42
DI-3,13227917,DI,New Feature,false,Resolved,Fixed,2019-04-14 04:59:04,2019-04-16 21:34:36
DI-2,13226479,DI,New Feature,false,Open,,2019-04-06 02:28:56,
DI-1,13226478,DI,New Feature,false,Closed,Fixed,2019-04-06 02:25:31,2019-09-23 18:26:17
