Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
DIRMINA-1155,13420784,DIRMINA,Bug,false,Open,,2022-01-05 10:57:04,
DIRMINA-1154,13415852,DIRMINA,Bug,false,Open,,2021-12-07 15:43:26,
DIRMINA-1153,13415176,DIRMINA,Bug,false,Resolved,Won't Fix,2021-12-03 05:46:44,2021-12-03 12:08:42
DIRMINA-1152,13415056,DIRMINA,Bug,false,Open,,2021-12-02 13:47:16,
DIRMINA-1151,13409371,DIRMINA,Bug,false,Open,,2021-11-01 06:50:33,
DIRMINA-1150,13407717,DIRMINA,Bug,false,Closed,Not A Bug,2021-10-21 09:19:34,2021-10-21 18:24:47
DIRMINA-1149,13401628,DIRMINA,Bug,false,Closed,Not A Problem,2021-09-16 10:04:07,2021-09-17 02:57:56
DIRMINA-1148,13399554,DIRMINA,Bug,false,Resolved,Fixed,2021-09-06 10:07:16,2021-09-14 17:58:35
DIRMINA-1147,13393572,DIRMINA,Bug,false,Open,,2021-08-04 20:54:08,
DIRMINA-1146,13388510,DIRMINA,Bug,false,Open,,2021-07-09 01:39:21,
DIRMINA-1145,13386255,DIRMINA,Bug,false,Resolved,Fixed,2021-06-28 12:05:32,2021-08-05 16:32:07
DIRMINA-1144,13381547,DIRMINA,Bug,false,Open,,2021-06-01 20:34:15,
DIRMINA-1142,13378782,DIRMINA,Bug,false,Resolved,Fixed,2021-05-17 10:27:01,2021-07-31 07:02:26
DIRMINA-1141,13359818,DIRMINA,Improvement,false,Closed,Fixed,2021-02-20 19:12:18,2021-07-31 07:16:23
DIRMINA-1140,13359377,DIRMINA,Bug,false,Open,,2021-02-18 16:36:15,
DIRMINA-1139,13336790,DIRMINA,Bug,false,Resolved,Not A Problem,2020-10-22 19:25:53,2021-07-31 15:25:35
DIRMINA-1138,13334913,DIRMINA,Improvement,false,Open,,2020-10-12 02:32:07,
DIRMINA-1137,13333950,DIRMINA,Bug,false,Resolved,Not A Problem,2020-10-06 15:10:09,2021-07-31 15:17:55
DIRMINA-1136,13330177,DIRMINA,Test,false,Resolved,Invalid,2020-09-30 13:53:15,2020-09-30 13:58:18
DIRMINA-1135,13329619,DIRMINA,Bug,false,Open,,2020-09-27 11:18:08,
DIRMINA-1134,13329618,DIRMINA,Wish,false,Closed,Not A Bug,2020-09-27 11:14:04,2020-10-12 03:00:42
DIRMINA-1133,13328610,DIRMINA,Improvement,false,Resolved,Fixed,2020-09-21 17:17:40,2020-09-21 17:20:48
DIRMINA-1132,13326163,DIRMINA,Bug,false,In Progress,,2020-09-05 21:42:23,
DIRMINA-1131,13325583,DIRMINA,Task,false,Resolved,Won't Fix,2020-09-01 19:00:12,2021-07-31 07:24:30
DIRMINA-1130,13325322,DIRMINA,Bug,false,Resolved,Fixed,2020-08-31 10:45:10,2020-09-01 18:28:50
DIRMINA-1129,13325315,DIRMINA,Bug,false,Resolved,Fixed,2020-08-31 09:51:11,2020-09-01 18:32:23
DIRMINA-1128,13316630,DIRMINA,Wish,false,Resolved,Not A Problem,2020-07-14 07:23:22,2020-07-14 13:25:52
DIRMINA-1126,13303350,DIRMINA,Bug,false,Closed,Staged,2020-05-07 10:37:51,2020-05-07 13:36:54
DIRMINA-1125,13301959,DIRMINA,Improvement,false,Closed,Fixed,2020-04-30 02:39:29,2020-04-30 02:43:05
DIRMINA-1124,13300848,DIRMINA,Improvement,false,Resolved,Fixed,2020-04-24 17:49:03,2020-06-23 14:48:15
DIRMINA-1123,13298512,DIRMINA,Bug,false,Closed,Staged,2020-04-15 09:08:30,2020-04-16 00:51:58
DIRMINA-1122,13298510,DIRMINA,Improvement,false,Resolved,Won't Fix,2020-04-15 08:53:53,2021-07-31 15:10:18
DIRMINA-1121,13278860,DIRMINA,Bug,false,Resolved,Not A Problem,2020-01-11 12:41:19,2020-06-08 18:05:59
DIRMINA-1120,13278656,DIRMINA,Bug,false,Resolved,Not A Bug,2020-01-10 08:50:04,2020-06-08 16:57:38
DIRMINA-1119,13255543,DIRMINA,Bug,false,Open,,2019-09-09 04:43:47,
DIRMINA-1118,13250221,DIRMINA,Bug,false,Resolved,Fixed,2019-08-12 09:09:17,2021-07-31 07:58:01
DIRMINA-1117,13237982,DIRMINA,Bug,false,Resolved,Fixed,2019-06-06 15:19:03,2021-07-31 14:55:40
DIRMINA-1116,13237113,DIRMINA,Bug,false,Resolved,Cannot Reproduce,2019-06-02 18:44:22,2020-04-15 15:55:40
DIRMINA-1115,13236372,DIRMINA,Bug,false,Resolved,Fixed,2019-05-30 00:10:55,2019-05-30 11:48:37
DIRMINA-1114,13235377,DIRMINA,Bug,false,Resolved,Cannot Reproduce,2019-05-24 12:33:47,2020-04-15 14:46:02
DIRMINA-1113,13234833,DIRMINA,Bug,false,Open,,2019-05-22 08:19:55,
DIRMINA-1111,13233973,DIRMINA,Bug,false,Resolved,Fixed,2019-05-17 14:21:05,2019-05-25 06:12:52
DIRMINA-1110,13233496,DIRMINA,Improvement,false,Open,,2019-05-15 14:22:11,
DIRMINA-1109,13233489,DIRMINA,Improvement,false,Open,,2019-05-15 14:03:07,
DIRMINA-1108,13233487,DIRMINA,Improvement,false,Open,,2019-05-15 13:44:36,
DIRMINA-1107,13233012,DIRMINA,Bug,false,Resolved,Fixed,2019-05-13 15:18:37,2019-05-21 21:31:09
DIRMINA-1106,13228305,DIRMINA,Improvement,false,Resolved,Fixed,2019-04-16 09:37:56,2019-04-16 10:14:20
DIRMINA-1105,13227709,DIRMINA,Improvement,false,Resolved,Won't Do,2019-04-12 13:06:30,2021-08-05 17:16:14
DIRMINA-1104,13227683,DIRMINA,Bug,false,Closed,Fixed,2019-04-12 11:18:15,2019-05-04 17:16:34
DIRMINA-1103,13226096,DIRMINA,Improvement,false,Resolved,Fixed,2019-04-04 11:17:55,2019-05-04 22:07:29
DIRMINA-1102,13226059,DIRMINA,Bug,false,Resolved,Fixed,2019-04-04 07:30:28,2019-04-04 08:15:39
DIRMINA-1101,13223085,DIRMINA,Bug,false,Resolved,Fixed,2019-03-21 14:09:45,2019-05-04 22:09:14
DIRMINA-1100,13213566,DIRMINA,Improvement,false,Resolved,Duplicate,2019-02-03 12:05:00,2019-02-05 23:23:12
DIRMINA-1098,13204925,DIRMINA,Bug,false,Resolved,Fixed,2018-12-17 15:44:44,2019-02-01 18:08:46
