Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
GOSSIP-101,13117996,GOSSIP,New Feature,false,Open,,2017-11-13 16:21:16,
GOSSIP-100,13109580,GOSSIP,Improvement,false,Open,,2017-10-16 03:57:38,
GOSSIP-99,13103239,GOSSIP,Bug,false,Open,,2017-09-19 13:40:46,
GOSSIP-98,13098243,GOSSIP,Bug,false,Open,,2017-08-29 11:54:43,
GOSSIP-92,13084052,GOSSIP,Bug,false,Resolved,Fixed,2017-07-02 12:58:57,2017-07-06 00:38:49
GOSSIP-91,13082815,GOSSIP,Bug,false,Resolved,Fixed,2017-06-27 13:11:44,2017-06-28 12:59:19
GOSSIP-90,13082389,GOSSIP,Bug,false,Open,,2017-06-25 19:38:55,
GOSSIP-89,13082382,GOSSIP,Improvement,false,Resolved,Fixed,2017-06-25 16:57:47,2017-08-02 02:15:30
GOSSIP-88,13081448,GOSSIP,New Feature,false,Resolved,Fixed,2017-06-21 14:51:05,2017-08-01 01:29:53
GOSSIP-87,13078685,GOSSIP,Bug,false,Resolved,Fixed,2017-06-09 17:14:01,2017-08-09 01:25:06
GOSSIP-86,13077070,GOSSIP,New Feature,false,Resolved,Fixed,2017-06-03 14:13:01,2017-06-08 21:14:25
GOSSIP-85,13067969,GOSSIP,Improvement,false,Resolved,Fixed,2017-04-29 23:39:55,2017-05-06 15:52:55
GOSSIP-84,13066684,GOSSIP,Bug,false,Open,,2017-04-25 13:28:36,
GOSSIP-83,13065885,GOSSIP,Bug,false,Open,,2017-04-21 13:51:22,
GOSSIP-82,13065580,GOSSIP,Improvement,false,Open,,2017-04-20 15:36:13,
GOSSIP-81,13065574,GOSSIP,Improvement,false,Resolved,Fixed,2017-04-20 15:27:26,2017-04-26 19:02:39
GOSSIP-80,13064397,GOSSIP,Improvement,false,Resolved,Fixed,2017-04-17 13:22:29,2017-04-18 01:37:16
GOSSIP-79,13063644,GOSSIP,Improvement,false,Resolved,Fixed,2017-04-12 21:52:24,2017-04-21 13:59:43
GOSSIP-78,13063643,GOSSIP,Improvement,false,Resolved,Fixed,2017-04-12 21:50:38,2017-04-13 16:17:52
GOSSIP-77,13057408,GOSSIP,Improvement,false,Resolved,Fixed,2017-03-20 02:19:15,2017-03-22 02:52:49
GOSSIP-76,13057402,GOSSIP,New Feature,false,Open,,2017-03-20 01:47:34,
GOSSIP-75,13057362,GOSSIP,New Feature,false,Resolved,Fixed,2017-03-19 16:30:17,2017-09-03 18:33:57
GOSSIP-74,13055891,GOSSIP,Bug,false,Resolved,Fixed,2017-03-14 10:03:04,2017-03-20 02:22:27
GOSSIP-73,13050183,GOSSIP,New Feature,false,Resolved,Fixed,2017-03-10 23:56:49,2017-03-12 03:15:51
GOSSIP-72,13048608,GOSSIP,Bug,false,Resolved,Fixed,2017-03-06 18:59:11,2017-03-10 12:41:02
GOSSIP-71,13046862,GOSSIP,Bug,false,Resolved,Fixed,2017-02-28 04:53:29,2017-03-01 19:36:21
GOSSIP-70,13046497,GOSSIP,New Feature,false,Open,,2017-02-26 20:19:08,
GOSSIP-69,13046496,GOSSIP,New Feature,false,Open,,2017-02-26 20:05:49,
GOSSIP-68,13046495,GOSSIP,New Feature,false,Open,,2017-02-26 20:03:25,
GOSSIP-67,13046494,GOSSIP,New Feature,false,Open,,2017-02-26 19:59:10,
