Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
HISE-103,12519544,HISE,Bug,false,Resolved,Fixed,2011-08-21 16:41:29,2011-08-22 13:07:26
HISE-102,12501903,HISE,Bug,false,Open,,2011-03-20 21:05:32,
HISE-101,12501008,HISE,New Feature,false,Open,,2011-03-10 11:14:23,
HISE-100,12500627,HISE,New Feature,false,Open,,2011-03-07 13:45:00,
HISE-99,12478661,HISE,Improvement,false,Open,,2010-10-29 13:58:07,
HISE-98,12477131,HISE,Bug,false,Closed,Fixed,2010-10-12 12:53:48,2010-10-26 09:05:58
HISE-97,12476747,HISE,Improvement,false,Closed,Invalid,2010-10-07 07:50:54,2010-10-14 12:13:01
HISE-96,12475188,HISE,Test,false,Resolved,Fixed,2010-09-27 12:16:13,2010-09-30 04:39:14
HISE-95,12475122,HISE,Improvement,false,Open,,2010-09-26 04:17:20,
HISE-94,12475018,HISE,Improvement,false,Resolved,Fixed,2010-09-24 09:39:54,2010-09-24 16:28:20
HISE-93,12475012,HISE,Bug,false,Resolved,Fixed,2010-09-24 07:52:48,2010-09-24 16:23:58
HISE-92,12474923,HISE,Improvement,false,Resolved,Fixed,2010-09-23 11:42:44,2010-09-23 15:39:43
HISE-91,12474365,HISE,Question,false,Resolved,Fixed,2010-09-17 09:10:38,2010-09-25 22:10:58
HISE-90,12474186,HISE,Bug,false,Open,,2010-09-15 15:54:33,
HISE-89,12473968,HISE,New Feature,false,Open,,2010-09-13 11:12:06,
HISE-88,12473663,HISE,New Feature,false,Open,,2010-09-09 09:57:11,
HISE-87,12473351,HISE,Task,false,Open,,2010-09-05 22:36:56,
HISE-86,12472946,HISE,New Feature,false,Open,,2010-08-31 15:32:19,
HISE-85,12472945,HISE,New Feature,false,Open,,2010-08-31 14:46:26,
HISE-84,12472935,HISE,Bug,false,Open,,2010-08-31 12:23:43,
HISE-83,12472004,HISE,Improvement,false,Open,,2010-08-19 14:18:34,
HISE-82,12471888,HISE,Bug,false,Resolved,Fixed,2010-08-18 12:37:49,2010-08-24 15:52:03
HISE-81,12471700,HISE,New Feature,false,Resolved,Fixed,2010-08-16 14:19:00,2010-08-24 15:46:08
HISE-80,12471690,HISE,Bug,false,Resolved,Fixed,2010-08-16 13:30:33,2010-08-17 13:06:37
HISE-79,12471669,HISE,Improvement,false,Resolved,Fixed,2010-08-16 09:23:08,2010-08-24 15:50:18
HISE-78,12471521,HISE,Bug,false,Resolved,Fixed,2010-08-13 10:14:03,2010-08-26 15:32:25
HISE-77,12471509,HISE,Bug,false,Resolved,Fixed,2010-08-13 08:43:45,2010-08-24 15:46:27
HISE-76,12471425,HISE,Bug,false,Resolved,Fixed,2010-08-12 14:47:56,2010-08-24 15:55:04
HISE-75,12471424,HISE,Bug,false,Resolved,Fixed,2010-08-12 14:36:39,2010-08-24 15:53:17
HISE-74,12471406,HISE,Task,false,Resolved,Fixed,2010-08-12 12:21:01,2010-08-12 13:35:01
HISE-73,12471394,HISE,New Feature,false,Open,,2010-08-12 09:11:10,
HISE-72,12471308,HISE,Improvement,false,Resolved,Fixed,2010-08-11 15:13:54,2010-08-12 10:39:23
HISE-71,12471257,HISE,Task,false,Resolved,Fixed,2010-08-11 06:52:29,2010-08-11 06:53:38
HISE-70,12471256,HISE,Bug,false,Resolved,Fixed,2010-08-11 06:45:15,2010-08-12 09:00:00
HISE-69,12471188,HISE,Improvement,false,Resolved,Fixed,2010-08-10 13:12:19,2010-08-10 13:52:59
HISE-68,12471177,HISE,Task,false,Resolved,Fixed,2010-08-10 09:48:25,2010-08-11 13:12:47
HISE-67,12471097,HISE,Task,false,Resolved,Fixed,2010-08-09 09:07:48,2010-08-09 13:04:44
HISE-66,12471087,HISE,Improvement,false,Open,,2010-08-09 07:50:17,
HISE-65,12470909,HISE,Improvement,false,Resolved,Fixed,2010-08-05 15:06:38,2010-08-07 15:19:39
HISE-64,12470902,HISE,Improvement,false,Resolved,Fixed,2010-08-05 13:50:37,2010-08-09 11:24:00
HISE-63,12470886,HISE,New Feature,false,Resolved,Fixed,2010-08-05 09:52:35,2010-08-24 15:45:41
HISE-62,12470872,HISE,Bug,false,Resolved,Fixed,2010-08-05 06:54:26,2010-08-06 09:14:53
HISE-61,12470813,HISE,Improvement,false,Open,,2010-08-04 16:08:09,
HISE-60,12470802,HISE,Improvement,false,Resolved,Fixed,2010-08-04 12:30:34,2010-08-10 08:30:27
HISE-59,12470706,HISE,New Feature,false,Resolved,Fixed,2010-08-03 09:16:49,2010-08-12 12:22:49
HISE-58,12470704,HISE,Task,false,Resolved,Fixed,2010-08-03 09:08:24,2010-08-10 12:30:58
HISE-57,12470701,HISE,Improvement,false,Resolved,Fixed,2010-08-03 08:40:58,2010-08-05 10:07:43
HISE-56,12470008,HISE,Bug,false,Resolved,Fixed,2010-07-23 12:01:33,2010-07-23 14:56:51
