Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
JUNEAU-242,13329415,JUNEAU,New Feature,false,Closed,Fixed,2020-09-25 14:00:22,2020-09-25 14:01:31
JUNEAU-241,13310439,JUNEAU,Improvement,false,Open,,2020-06-09 16:53:02,
JUNEAU-240,13309955,JUNEAU,Improvement,false,Closed,Fixed,2020-06-07 16:45:02,2020-09-25 17:02:56
JUNEAU-239,13309510,JUNEAU,Improvement,false,Open,,2020-06-04 18:09:24,
JUNEAU-238,13309508,JUNEAU,Improvement,false,Open,,2020-06-04 17:53:42,
JUNEAU-237,13309507,JUNEAU,Improvement,false,Open,,2020-06-04 17:52:17,
JUNEAU-236,13307312,JUNEAU,Improvement,false,Closed,Fixed,2020-05-25 22:40:11,2020-05-25 22:40:59
JUNEAU-235,13307240,JUNEAU,Improvement,false,Closed,Fixed,2020-05-25 13:38:00,2020-05-25 22:39:13
JUNEAU-234,13306981,JUNEAU,Bug,false,Closed,Fixed,2020-05-23 19:55:01,2020-05-23 19:56:35
JUNEAU-233,13306980,JUNEAU,Bug,false,Closed,Fixed,2020-05-23 18:41:59,2020-05-23 19:34:58
JUNEAU-232,13306970,JUNEAU,Bug,false,Closed,Fixed,2020-05-23 14:31:52,2020-05-23 14:45:03
JUNEAU-231,13306493,JUNEAU,Improvement,false,Open,,2020-05-21 12:47:51,
JUNEAU-230,13304714,JUNEAU,Improvement,false,Open,,2020-05-13 16:19:01,
JUNEAU-229,13304691,JUNEAU,Improvement,false,Open,,2020-05-13 14:36:23,
JUNEAU-228,13304474,JUNEAU,Improvement,false,Closed,Fixed,2020-05-12 23:45:06,2020-05-12 23:46:17
JUNEAU-227,13304450,JUNEAU,Improvement,false,Closed,Fixed,2020-05-12 20:11:51,2020-05-12 23:46:24
JUNEAU-226,13304152,JUNEAU,Improvement,false,Open,,2020-05-11 15:49:11,
JUNEAU-225,13303957,JUNEAU,Improvement,false,Open,,2020-05-10 19:48:22,
JUNEAU-224,13303121,JUNEAU,Improvement,false,Open,,2020-05-06 14:13:10,
JUNEAU-223,13301083,JUNEAU,Improvement,false,Open,,2020-04-26 12:35:30,
JUNEAU-222,13301077,JUNEAU,Improvement,false,Open,,2020-04-26 12:18:29,
