Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MPLUGIN-386,13418227,MPLUGIN,Task,false,Closed,Fixed,2021-12-17 12:29:00,2022-01-04 08:08:18
MPLUGIN-385,13418030,MPLUGIN,Improvement,false,Open,,2021-12-16 16:13:28,
MPLUGIN-384,13415617,MPLUGIN,Bug,false,Open,,2021-12-06 15:19:24,
MPLUGIN-383,13414194,MPLUGIN,Bug,false,Closed,Fixed,2021-11-28 22:47:48,2021-11-29 23:39:54
MPLUGIN-382,13414114,MPLUGIN,Bug,false,Closed,Fixed,2021-11-27 17:10:18,2021-11-29 23:42:58
MPLUGIN-381,13413024,MPLUGIN,Dependency upgrade,false,Closed,Fixed,2021-11-21 15:08:47,2021-11-21 15:12:19
MPLUGIN-380,13412978,MPLUGIN,Improvement,false,Closed,Fixed,2021-11-20 21:50:24,2021-11-21 14:54:49
MPLUGIN-379,13412977,MPLUGIN,Bug,false,Closed,Fixed,2021-11-20 21:36:44,2021-11-21 14:37:32
MPLUGIN-378,13411626,MPLUGIN,Task,false,Open,,2021-11-13 15:22:48,
MPLUGIN-377,13406634,MPLUGIN,Task,false,Closed,Fixed,2021-10-14 19:33:57,2021-10-21 17:20:49
MPLUGIN-376,13406631,MPLUGIN,Task,false,Closed,Fixed,2021-10-14 19:32:12,2021-10-21 17:19:55
MPLUGIN-375,13404833,MPLUGIN,Improvement,false,Closed,Fixed,2021-10-04 18:03:40,2021-10-21 18:45:04
MPLUGIN-374,13404830,MPLUGIN,Improvement,false,Closed,Fixed,2021-10-04 17:58:32,2021-10-13 20:40:45
MPLUGIN-373,13376117,MPLUGIN,Bug,false,Closed,Fixed,2021-04-30 17:14:18,2021-11-21 15:12:32
MPLUGIN-372,13375586,MPLUGIN,Task,false,Closed,Fixed,2021-04-28 12:03:30,2021-08-09 12:28:04
MPLUGIN-371,13372702,MPLUGIN,New Feature,false,Closed,Duplicate,2021-04-15 17:34:17,2021-04-20 18:27:32
MPLUGIN-370,13359921,MPLUGIN,New Feature,false,Closed,Fixed,2021-02-21 18:30:13,2021-10-21 18:44:09
MPLUGIN-369,13341976,MPLUGIN,Bug,false,Closed,Fixed,2020-11-22 11:03:34,2020-11-24 20:51:36
MPLUGIN-368,13341344,MPLUGIN,Task,false,Closed,Fixed,2020-11-18 13:50:03,2020-11-21 18:42:32
MPLUGIN-367,13341340,MPLUGIN,Task,false,Closed,Fixed,2020-11-18 13:36:47,2020-11-22 08:27:32
MPLUGIN-366,13335152,MPLUGIN,Improvement,false,Closed,Duplicate,2020-10-13 07:54:14,2021-04-20 18:29:58
MPLUGIN-365,13320741,MPLUGIN,Improvement,false,Closed,Fixed,2020-08-03 20:42:13,2021-04-20 18:16:44
MPLUGIN-364,13320572,MPLUGIN,New Feature,false,Closed,Duplicate,2020-08-02 22:53:30,2020-08-03 20:06:39
MPLUGIN-363,13320535,MPLUGIN,Bug,false,Closed,Fixed,2020-08-02 07:56:17,2020-08-02 19:06:48
MPLUGIN-361,13297169,MPLUGIN,Improvement,false,Closed,Fixed,2020-04-08 18:11:55,2020-06-06 07:33:57
MPLUGIN-360,13296112,MPLUGIN,Bug,false,Closed,Fixed,2020-04-03 20:27:11,2021-04-20 18:09:13
MPLUGIN-359,13287099,MPLUGIN,Dependency upgrade,false,Closed,Fixed,2020-02-23 19:54:53,2020-06-06 07:57:02
MPLUGIN-358,13284229,MPLUGIN,Bug,false,Closed,Fixed,2020-02-10 09:14:37,2020-03-28 11:03:51
MPLUGIN-357,13278875,MPLUGIN,Improvement,false,Closed,Fixed,2020-01-11 17:16:56,2020-08-02 19:35:19
MPLUGIN-356,13269742,MPLUGIN,Bug,false,Closed,Incomplete,2019-11-21 06:52:30,2020-08-02 19:28:13
MPLUGIN-355,13260353,MPLUGIN,Dependency upgrade,false,Closed,Fixed,2019-10-03 18:21:02,2019-10-05 18:33:13
MPLUGIN-354,13260011,MPLUGIN,Improvement,false,Closed,Duplicate,2019-10-01 23:30:20,2019-10-01 23:38:23
MPLUGIN-353,13256221,MPLUGIN,Improvement,false,Closed,Fixed,2019-09-11 23:21:42,2019-10-02 17:34:11
MPLUGIN-352,13239365,MPLUGIN,New Feature,false,Open,,2019-06-13 20:13:26,
MPLUGIN-351,13239077,MPLUGIN,Improvement,false,Closed,Fixed,2019-06-12 15:56:41,2021-09-26 22:51:42
MPLUGIN-350,13231130,MPLUGIN,New Feature,false,Open,,2019-05-01 19:27:25,
MPLUGIN-349,13209191,MPLUGIN,New Feature,false,Reopened,,2019-01-12 16:03:19,
MPLUGIN-348,13209120,MPLUGIN,Bug,false,Closed,Fixed,2019-01-12 00:20:45,2021-04-20 21:45:10
MPLUGIN-347,13206296,MPLUGIN,New Feature,false,Closed,Invalid,2018-12-24 13:00:17,2019-04-05 22:08:33
MPLUGIN-346,13206014,MPLUGIN,Bug,false,Closed,Fixed,2018-12-21 16:41:08,2018-12-21 20:48:34
