Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MSCMPUB-47,13339292,MSCMPUB,Improvement,false,Closed,Fixed,2020-11-07 08:05:50,2020-12-14 21:37:53
MSCMPUB-46,13306975,MSCMPUB,Task,false,Closed,Fixed,2020-05-23 16:32:18,2020-05-23 17:07:41
MSCMPUB-45,13297163,MSCMPUB,Improvement,false,Closed,Fixed,2020-04-08 18:05:34,2020-05-23 15:45:48
MSCMPUB-44,13234106,MSCMPUB,Dependency upgrade,false,Closed,Done,2019-05-18 07:34:44,2019-05-18 13:33:29
MSCMPUB-43,13234105,MSCMPUB,Dependency upgrade,false,Closed,Done,2019-05-18 07:32:34,2019-05-18 13:09:49
MSCMPUB-42,13229277,MSCMPUB,Bug,false,Closed,Fixed,2019-04-21 11:54:24,2019-04-22 20:21:04
MSCMPUB-41,13217582,MSCMPUB,New Feature,false,Closed,Fixed,2019-02-23 09:45:06,2019-07-24 21:14:43
MSCMPUB-40,13214044,MSCMPUB,New Feature,false,Closed,Fixed,2019-02-06 00:09:35,2019-02-23 11:20:49
MSCMPUB-39,13196050,MSCMPUB,Dependency upgrade,false,Closed,Fixed,2018-11-03 12:50:58,2019-04-22 18:25:54
MSCMPUB-38,13174021,MSCMPUB,Dependency upgrade,false,Closed,Delivered,2018-07-24 07:21:27,2018-12-09 12:17:55
MSCMPUB-37,13166563,MSCMPUB,Dependency upgrade,false,Closed,Fixed,2018-06-16 20:21:34,2018-06-16 20:28:20
MSCMPUB-36,13138310,MSCMPUB,Dependency upgrade,false,Closed,Fixed,2018-02-13 19:21:05,2019-04-22 20:23:20
MSCMPUB-35,13127039,MSCMPUB,Improvement,false,Closed,Fixed,2017-12-24 18:13:49,2018-01-07 14:29:21
MSCMPUB-34,13127038,MSCMPUB,Task,false,Closed,Fixed,2017-12-24 18:03:10,2017-12-24 18:03:21
MSCMPUB-33,13117754,MSCMPUB,Improvement,false,Closed,Fixed,2017-11-11 21:33:40,2017-11-12 10:17:40
MSCMPUB-32,13117752,MSCMPUB,Improvement,false,Closed,Fixed,2017-11-11 20:58:01,2017-11-11 22:45:16
MSCMPUB-31,13044174,MSCMPUB,Bug,false,Closed,Invalid,2017-02-18 02:47:05,2017-02-18 20:24:05
MSCMPUB-30,13043117,MSCMPUB,Bug,false,Closed,Auto Closed,2017-02-14 23:30:18,2020-12-22 13:54:42
MSCMPUB-29,13043115,MSCMPUB,Bug,false,Closed,Fixed,2017-02-14 23:27:30,2017-02-25 14:53:18
MSCMPUB-27,13005753,MSCMPUB,New Feature,false,Closed,Duplicate,2016-09-18 12:49:13,2020-05-23 15:48:19
MSCMPUB-26,12988030,MSCMPUB,Improvement,false,Closed,Fixed,2016-07-09 11:47:04,2016-07-09 11:47:48
MSCMPUB-25,12986181,MSCMPUB,Improvement,false,Closed,Fixed,2016-07-01 13:34:50,2016-07-09 11:43:46
MSCMPUB-24,12975809,MSCMPUB,Improvement,false,Closed,Fixed,2016-06-05 14:05:34,2016-06-05 14:06:12
MSCMPUB-23,12975805,MSCMPUB,Improvement,false,Closed,Fixed,2016-06-05 13:41:08,2018-01-25 23:00:27
MSCMPUB-22,12975804,MSCMPUB,Improvement,false,Closed,Fixed,2016-06-05 13:38:22,2016-06-05 13:39:10
MSCMPUB-21,12972520,MSCMPUB,Improvement,false,Closed,Fixed,2016-05-24 21:17:39,2016-05-24 21:18:36
MSCMPUB-20,12895497,MSCMPUB,Bug,false,Closed,Duplicate,2015-09-22 15:47:36,2019-12-23 01:09:41
MSCMPUB-19,12807922,MSCMPUB,Bug,false,Closed,Fixed,2015-02-17 10:24:35,2015-09-20 14:39:03
MSCMPUB-18,12807926,MSCMPUB,Improvement,false,Closed,Auto Closed,2014-11-21 15:49:20,2020-12-22 13:54:55
MSCMPUB-16,12807911,MSCMPUB,Improvement,false,Closed,Fixed,2014-08-13 10:50:26,2014-08-13 10:51:39
MSCMPUB-15,12807923,MSCMPUB,Improvement,false,Closed,Fixed,2014-05-04 03:32:29,2014-05-04 03:37:01
