Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
VYSPER-352,13277187,VYSPER,Dependency upgrade,false,Open,,2020-01-02 11:15:18,
VYSPER-351,12979865,VYSPER,Bug,false,Open,,2016-06-16 15:58:39,
VYSPER-350,12953908,VYSPER,Question,false,Open,,2016-03-28 06:57:15,
VYSPER-349,12840814,VYSPER,Bug,false,Open,,2015-06-26 11:56:18,
VYSPER-348,12828357,VYSPER,Bug,false,Resolved,Fixed,2015-05-08 12:56:25,2015-05-08 15:32:36
VYSPER-347,12656578,VYSPER,New Feature,false,Resolved,Fixed,2013-07-08 09:47:13,2013-07-08 09:52:01
VYSPER-346,12656397,VYSPER,Bug,false,Resolved,Fixed,2013-07-05 16:44:55,2013-07-08 15:13:37
VYSPER-345,12656163,VYSPER,Improvement,false,Resolved,Fixed,2013-07-04 08:41:11,2013-07-08 09:57:11
VYSPER-344,12655575,VYSPER,Bug,false,Resolved,Fixed,2013-07-01 10:45:07,2013-07-02 15:00:29
VYSPER-343,12654177,VYSPER,Bug,false,Closed,Fixed,2013-06-21 15:17:23,2013-06-21 15:47:19
VYSPER-342,12653162,VYSPER,Bug,false,Resolved,Fixed,2013-06-17 09:45:58,2013-06-17 12:51:10
VYSPER-341,12650538,VYSPER,Bug,false,Resolved,Fixed,2013-06-02 21:46:57,2013-06-03 18:25:10
VYSPER-340,12634094,VYSPER,Question,false,Open,,2013-02-26 10:15:03,
VYSPER-339,12630720,VYSPER,Improvement,false,Open,,2013-02-04 18:29:50,
VYSPER-338,12629006,VYSPER,Bug,false,Open,,2013-01-24 06:52:52,
VYSPER-337,12624428,VYSPER,Improvement,false,Open,,2012-12-18 08:27:17,
VYSPER-336,12617583,VYSPER,Bug,false,Resolved,Fixed,2012-11-26 09:51:59,2013-06-07 21:26:53
VYSPER-335,12617083,VYSPER,Bug,false,Resolved,Fixed,2012-11-21 10:25:20,2012-11-21 11:06:40
VYSPER-334,12616887,VYSPER,Bug,false,Resolved,Fixed,2012-11-20 06:20:22,2012-11-20 08:05:05
VYSPER-333,12616885,VYSPER,Bug,false,Open,,2012-11-20 05:49:47,
VYSPER-332,12614473,VYSPER,Bug,false,Open,,2012-11-02 06:36:50,
VYSPER-331,12614068,VYSPER,Improvement,false,Open,,2012-10-30 18:52:13,
