Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
SCALE-63,1831023,SCALE,Bug,false,Gathering Impact,,2021-11-08 00:39:20,
SCALE-62,1829778,SCALE,Suggestion,false,Gathering Interest,,2021-11-04 11:51:58,
SCALE-61,1767877,SCALE,Bug,false,Needs Triage,,2021-06-18 00:51:29,
SCALE-58,1764554,SCALE,Bug,false,Short Term Backlog,,2021-05-31 18:21:34,
SCALE-57,1738364,SCALE,Bug,false,Closed,Won't Do,2021-03-18 20:51:56,2021-06-15 04:50:06
SCALE-56,1719687,SCALE,Bug,false,Closed,Fixed,2021-02-19 05:05:13,2021-04-20 04:01:40
SCALE-55,1719524,SCALE,Suggestion,false,Gathering Interest,,2021-02-18 15:00:31,
SCALE-54,1713552,SCALE,Suggestion,false,Gathering Interest,,2021-02-04 12:02:07,
SCALE-53,1714088,SCALE,Suggestion,false,Gathering Interest,,2021-02-05 14:51:02,
SCALE-52,1714073,SCALE,Bug,false,Closed,Won't Fix,2021-02-05 13:19:12,2021-06-15 04:00:43
SCALE-51,1714047,SCALE,Bug,false,Closed,Fixed,2021-02-05 10:21:01,2021-02-16 00:19:31
SCALE-49,1704668,SCALE,Bug,false,Closed,Won't Fix,2021-01-20 06:24:07,2021-03-09 06:18:41
SCALE-48,1704453,SCALE,Suggestion,false,Gathering Interest,,2021-01-19 17:24:51,
SCALE-47,1696402,SCALE,Suggestion,false,Closed,Fixed,2020-12-23 10:38:11,2021-01-21 01:52:17
SCALE-46,1693963,SCALE,Bug,false,Gathering Impact,,2020-12-16 04:08:59,
SCALE-45,1693962,SCALE,Bug,false,Gathering Impact,,2020-12-16 03:56:09,
SCALE-44,1688394,SCALE,Suggestion,false,Closed,Fixed,2020-12-03 11:21:44,2021-03-09 03:20:34
SCALE-43,1688263,SCALE,Suggestion,false,Gathering Interest,,2020-12-03 01:19:40,
SCALE-42,1688324,SCALE,Suggestion,false,Gathering Interest,,2020-12-03 00:43:36,
SCALE-41,1687636,SCALE,Bug,false,Closed,Fixed,2020-12-01 17:25:52,2021-03-09 03:08:32
SCALE-40,1685236,SCALE,Suggestion,false,Closed,Done,2020-11-25 11:46:54,2021-02-14 23:57:19
SCALE-39,1684934,SCALE,Suggestion,false,Gathering Interest,,2020-11-25 04:32:54,
SCALE-38,1675181,SCALE,Suggestion,false,Gathering Interest,,2020-11-09 21:42:05,
SCALE-37,1653486,SCALE,Suggestion,false,Gathering Interest,,2020-10-09 19:37:03,
SCALE-36,1652633,SCALE,Suggestion,false,Gathering Interest,,2020-10-08 16:00:04,
SCALE-35,1646423,SCALE,Suggestion,false,Closed,Fixed,2020-09-30 20:04:49,2021-03-09 03:19:49
SCALE-34,1634863,SCALE,Suggestion,false,Closed,Fixed,2020-09-15 22:30:20,2021-03-09 03:19:11
SCALE-33,1622832,SCALE,Suggestion,false,Closed,Fixed,2020-08-28 15:03:21,2020-09-11 12:37:11
SCALE-32,1613142,SCALE,Suggestion,false,Gathering Interest,,2020-08-14 20:23:57,
SCALE-31,1612847,SCALE,Bug,false,Closed,Fixed,2020-08-14 13:33:23,2020-09-01 06:32:19
SCALE-30,1605195,SCALE,Suggestion,false,Gathering Interest,,2020-08-04 07:57:55,
SCALE-29,1605192,SCALE,Suggestion,false,Gathering Interest,,2020-08-04 07:54:29,
SCALE-28,1605188,SCALE,Suggestion,false,Gathering Interest,,2020-08-04 07:49:57,
SCALE-27,1605186,SCALE,Suggestion,false,Gathering Interest,,2020-08-04 07:45:21,
SCALE-26,1605185,SCALE,Suggestion,false,Gathering Interest,,2020-08-04 07:44:40,
SCALE-25,1602650,SCALE,Bug,false,Closed,Not a bug,2020-07-30 08:31:42,2021-03-09 03:22:23
SCALE-24,1600743,SCALE,Suggestion,false,Gathering Interest,,2020-07-28 06:33:13,
SCALE-23,1593988,SCALE,Suggestion,false,Closed,Fixed,2020-07-17 05:38:05,2020-09-22 06:42:05
SCALE-22,1593986,SCALE,Suggestion,false,Gathering Interest,,2020-07-17 05:11:56,
SCALE-21,1576309,SCALE,Bug,false,Closed,Fixed,2020-06-23 04:05:55,2021-03-09 03:09:22
SCALE-20,1557978,SCALE,Bug,false,Gathering Impact,,2020-05-29 21:46:41,
SCALE-19,1557977,SCALE,Bug,false,Gathering Impact,,2020-05-29 21:43:17,
SCALE-18,1557443,SCALE,Bug,false,Closed,Fixed,2020-05-29 07:14:15,2020-06-01 05:06:38
SCALE-17,1552830,SCALE,Suggestion,false,Gathering Interest,,2020-05-22 10:12:13,
SCALE-16,1538804,SCALE,Bug,false,Closed,Fixed,2020-05-05 20:57:55,2020-05-06 09:24:08
SCALE-15,1536276,SCALE,Bug,false,Closed,Cannot Reproduce,2020-05-01 08:28:12,2020-06-23 03:53:55
SCALE-14,1503270,SCALE,Suggestion,false,Closed,Done,2020-03-13 14:40:00,2020-05-01 06:19:12
SCALE-13,1516309,SCALE,Suggestion,false,Closed,Done,2020-04-07 13:14:51,2020-04-14 01:55:31
SCALE-12,1516150,SCALE,Suggestion,false,Under Consideration,,2020-04-07 09:25:51,
SCALE-11,1459515,SCALE,Suggestion,false,Closed,Won't Do,2019-12-16 13:03:50,2021-08-10 03:45:01
SCALE-10,1488787,SCALE,Suggestion,false,Closed,Fixed,2020-02-18 20:08:26,2021-03-09 03:18:32
SCALE-8,1447452,SCALE,Suggestion,false,Closed,Fixed,2019-11-21 05:39:10,2019-12-08 22:52:21
SCALE-6,1442860,SCALE,Bug,false,Closed,Fixed,2019-11-14 03:57:42,2019-11-18 04:11:57
SCALE-5,1435938,SCALE,Suggestion,false,Closed,Answered,2019-11-04 07:26:04,2019-11-19 22:04:15
SCALE-4,1432903,SCALE,Bug,false,Closed,Fixed,2019-10-29 08:24:26,2020-03-23 05:07:23
SCALE-3,1412366,SCALE,Bug,false,Closed,Not a bug,2019-09-27 13:21:01,2019-11-05 06:57:02
SCALE-2,1288160,SCALE,Bug,false,Closed,Fixed,2019-07-31 05:38:22,2020-02-11 02:48:56
SCALE-1,1423023,SCALE,Bug,false,Closed,Not a bug,2019-10-15 05:16:22,2019-10-31 22:13:01
