Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
ACEJS-164,332564,ACEJS,Improvement,false,Triage,,2021-02-08 18:07:59,
ACEJS-160,325461,ACEJS,Bug,false,Closed,Fixed,2020-11-19 17:04:48,2020-11-19 22:21:12
ACEJS-159,325206,ACEJS,Improvement,false,Triage,,2020-11-17 14:09:04,
ACEJS-157,322907,ACEJS,Improvement,false,Triage,,2020-11-02 05:49:55,
ACEJS-156,312380,ACEJS,New Feature,false,Closed,Fixed,2020-08-13 00:33:00,2020-08-14 00:01:29
ACEJS-155,297942,ACEJS,Initiative,false,Closed,Not a bug,2020-05-07 19:12:22,2020-08-10 02:51:02
ACEJS-154,295177,ACEJS,Support Request,false,Closed,Invalid,2020-03-25 19:21:06,2020-08-10 02:50:12
ACEJS-149,286358,ACEJS,Bug,false,Closed,Duplicate,2019-11-07 09:13:17,2020-08-10 02:46:44
ACEJS-148,284506,ACEJS,Bug,false,Triage,,2019-10-07 00:11:55,
ACEJS-147,283923,ACEJS,Improvement,false,Closed,Fixed,2019-09-25 01:26:30,2021-01-05 00:37:40
ACEJS-146,283184,ACEJS,Bug,false,Closed,Fixed,2019-09-09 22:07:47,2019-09-25 00:05:54
ACEJS-145,281897,ACEJS,Improvement,false,Closed,Obsolete,2019-08-17 14:35:35,2020-08-10 02:39:11
ACEJS-144,280957,ACEJS,Improvement,false,New,,2019-07-30 02:03:19,
ACEJS-142,280524,ACEJS,Bug,false,Triage,,2019-07-23 06:54:59,
ACEJS-141,280471,ACEJS,New Feature,false,Closed,Handled by Support,2019-07-22 20:49:50,2020-08-10 02:42:51
ACEJS-140,279996,ACEJS,Improvement,false,Closed,Fixed,2019-07-12 18:11:05,2019-07-25 20:43:49
ACEJS-139,279995,ACEJS,Bug,false,Closed,Fixed,2019-07-12 18:09:32,2019-07-24 19:36:39
ACEJS-138,278383,ACEJS,Improvement,false,Closed,Done,2019-06-10 01:35:18,2020-08-10 02:42:05
ACEJS-137,278302,ACEJS,Improvement,false,Under Review,,2019-06-06 12:35:49,
ACEJS-136,278071,ACEJS,Bug,false,Closed,Fixed,2019-06-03 00:28:02,2019-06-03 21:20:22
ACEJS-135,275783,ACEJS,Bug,false,Closed,Handled by Support,2019-04-19 09:01:03,2020-08-10 02:29:25
