Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
LESS-53,326550,LESS,Task,false,Closed,Fixed,2020-12-02 06:30:27,2021-05-09 05:50:46
LESS-52,295641,LESS,Improvement,false,Closed,Declined,2020-04-01 12:15:49,2020-04-01 12:35:38
LESS-51,243301,LESS,Improvement,false,Closed,Invalid,2017-11-03 04:44:07,2017-11-03 04:48:12
LESS-49,139753,LESS,Task,false,Closed,Fixed,2016-05-18 05:07:01,2017-02-06 04:55:09
LESS-47,136028,LESS,Improvement,false,Not Being Considered,,2016-03-30 19:10:31,
LESS-46,133285,LESS,New Feature,false,Closed,Fixed,2016-02-01 17:24:37,2016-02-02 23:45:15
LESS-45,133163,LESS,Task,false,Closed,Fixed,2016-01-28 17:03:46,2016-01-28 17:45:16
LESS-44,132623,LESS,Improvement,false,Closed,Fixed,2016-01-17 18:23:06,2016-01-26 18:14:09
LESS-43,132477,LESS,Improvement,false,Closed,Fixed,2016-01-13 00:41:16,2016-01-26 18:14:17
LESS-42,132475,LESS,Task,false,Closed,Fixed,2016-01-12 23:54:10,2016-01-13 01:33:26
LESS-41,127551,LESS,Bug,false,Closed,Fixed,2015-09-15 02:40:13,2015-09-15 18:36:30
LESS-40,122117,LESS,Bug,false,Closed,Obsolete,2015-06-17 12:33:03,2015-06-17 12:45:18
LESS-39,118224,LESS,Improvement,false,Closed,Fixed,2015-05-11 20:00:01,2015-05-11 22:11:51
LESS-38,117610,LESS,New Feature,false,Closed,Fixed,2015-05-05 05:29:02,2015-05-07 00:34:40
LESS-37,114936,LESS,New Feature,false,Closed,Fixed,2015-04-09 19:43:12,2015-04-09 19:54:33
LESS-36,114111,LESS,Bug,false,Closed,Fixed,2015-04-02 06:01:29,2015-04-09 19:45:44
LESS-35,113001,LESS,Bug,false,Closed,Fixed,2015-03-04 16:47:21,2015-03-08 20:33:45
LESS-34,112442,LESS,Task,false,Closed,Fixed,2015-02-23 20:17:47,2015-04-09 19:45:45
LESS-33,109453,LESS,Bug,false,Closed,Fixed,2014-12-16 21:25:23,2014-12-18 18:28:38
LESS-31,105158,LESS,Improvement,false,Closed,Fixed,2014-10-15 05:01:49,2014-10-20 02:58:01
LESS-30,98334,LESS,Improvement,false,Closed,Won't Fix,2014-08-03 19:00:00,2021-09-22 01:34:11
LESS-29,97367,LESS,Bug,false,Closed,Fixed,2014-07-23 02:13:03,2014-07-25 00:39:47
LESS-28,93440,LESS,Bug,false,Closed,Fixed,2014-05-19 23:43:05,2014-05-20 21:15:28
LESS-27,91312,LESS,Improvement,false,Closed,Fixed,2014-04-10 03:32:41,2014-04-10 04:56:56
LESS-26,91036,LESS,Improvement,false,Closed,Fixed,2014-04-03 23:16:47,2014-04-03 23:32:37
LESS-25,90942,LESS,Improvement,false,Closed,Fixed,2014-04-02 03:30:44,2014-04-22 00:05:16
LESS-24,90912,LESS,Bug,false,Closed,Fixed,2014-04-01 04:31:31,2014-04-01 18:03:21
LESS-23,90911,LESS,Bug,false,Closed,Fixed,2014-04-01 03:10:27,2014-04-01 15:45:29
LESS-22,90894,LESS,Bug,false,Closed,Fixed,2014-03-31 19:47:04,2014-04-01 22:35:31
LESS-20,90845,LESS,Bug,false,Closed,Won't Fix,2014-03-31 02:17:16,2019-07-01 06:49:32
LESS-19,90827,LESS,Bug,false,Closed,Duplicate,2014-03-30 19:12:47,2014-03-30 19:41:27
LESS-18,90812,LESS,Improvement,false,Closed,Fixed,2014-03-28 06:34:15,2014-05-20 21:18:14
LESS-17,90645,LESS,Improvement,false,Closed,Fixed,2014-03-27 22:03:48,2014-03-27 22:27:20
LESS-16,90640,LESS,Bug,false,Closed,Fixed,2014-03-27 19:21:02,2014-03-27 22:16:59
LESS-15,90218,LESS,New Feature,false,Closed,Fixed,2014-03-23 23:45:20,2014-12-09 17:26:53
LESS-14,90215,LESS,Bug,false,Closed,Fixed,2014-03-23 22:40:00,2014-03-24 21:26:12
LESS-13,90076,LESS,Improvement,false,Closed,Fixed,2014-03-21 01:30:27,2014-03-23 23:09:51
LESS-12,89912,LESS,New Feature,false,Closed,Won't Do,2014-03-18 17:47:21,2019-07-01 06:52:59
LESS-11,89736,LESS,Bug,false,Closed,Fixed,2014-03-16 17:21:30,2014-03-21 01:28:38
LESS-10,89735,LESS,Bug,false,Closed,Invalid,2014-03-16 17:04:46,2014-03-21 01:29:03
LESS-9,89734,LESS,Bug,false,Closed,Invalid,2014-03-16 16:56:50,2014-03-16 17:27:15
LESS-8,89727,LESS,New Feature,false,Closed,Fixed,2014-03-15 07:26:17,2014-03-21 01:08:14
LESS-7,89725,LESS,Bug,false,Closed,Fixed,2014-03-14 19:41:31,2014-03-24 21:27:13
LESS-6,89710,LESS,New Feature,false,Closed,Fixed,2014-03-14 07:17:17,2014-03-24 21:27:18
LESS-4,85415,LESS,New Feature,false,Closed,Fixed,2013-12-22 16:41:42,2014-02-26 21:51:13
LESS-3,82985,LESS,Improvement,false,Closed,Fixed,2013-11-06 00:55:47,2013-11-06 19:27:39
LESS-2,75774,LESS,New Feature,false,Closed,Fixed,2013-05-07 20:29:28,2014-03-24 21:27:24
LESS-1,75462,LESS,New Feature,false,Closed,Fixed,2013-04-25 21:19:39,2013-12-22 16:40:33
