Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MPJC-51,302661,MPJC,Task,false,To Do,,2020-07-05 17:21:00,
MPJC-50,301184,MPJC,Task,false,To Do,,2020-06-17 23:55:48,
MPJC-49,301009,MPJC,New Feature,false,To Do,,2020-06-16 09:49:18,
MPJC-48,298350,MPJC,Bug,false,To Do,,2020-05-13 23:51:20,
MPJC-47,298138,MPJC,Bug,false,To Do,,2020-05-11 21:04:28,
MPJC-46,289415,MPJC,Task,false,Done,Done,2019-12-23 18:13:07,2020-04-13 03:06:27
MPJC-45,284654,MPJC,Task,false,To Do,,2019-10-08 11:12:39,
MPJC-44,277795,MPJC,Bug,false,To Do,,2019-05-28 10:24:54,
MPJC-43,275190,MPJC,Bug,false,Done,Done,2019-04-10 02:09:22,2019-06-04 05:11:17
MPJC-42,273705,MPJC,New Feature,false,To Do,,2019-03-14 12:48:06,
MPJC-41,273233,MPJC,Bug,false,Done,Done,2019-03-07 21:40:38,2020-01-08 23:27:02
MPJC-40,271669,MPJC,Task,false,To Do,,2019-02-08 09:27:17,
MPJC-39,269802,MPJC,Bug,false,To Do,,2019-01-05 12:04:52,
MPJC-36,265829,MPJC,Task,false,Done,Done,2018-10-21 19:59:11,2018-10-23 16:00:33
MPJC-35,263753,MPJC,Task,false,In Progress,,2018-09-13 23:21:59,
MPJC-34,261856,MPJC,Task,false,To Do,,2018-08-14 16:42:22,
MPJC-33,261595,MPJC,Task,false,Done,Done,2018-08-09 12:11:46,2018-10-08 16:27:26
MPJC-28,250786,MPJC,Task,false,Done,Done,2018-02-18 18:21:29,2020-05-17 19:48:36
MPJC-27,250662,MPJC,Improvement,false,Done,Done,2018-02-14 23:01:21,2018-02-18 17:17:37
MPJC-25,238655,MPJC,Bug,false,Done,Done,2017-09-18 16:53:05,2017-09-18 17:14:38
MPJC-24,231867,MPJC,Bug,false,To Do,,2017-08-21 14:51:23,
MPJC-22,226006,MPJC,Bug,false,To Do,,2017-07-24 15:31:20,
MPJC-21,225726,MPJC,Task,false,To Do,,2017-07-23 21:00:16,
MPJC-19,210669,MPJC,Task,false,To Do,,2017-05-30 06:30:36,
MPJC-14,203730,MPJC,Task,false,Done,Done,2017-04-26 17:54:59,2017-05-01 13:47:51
MPJC-13,202633,MPJC,Improvement,false,To Do,,2017-04-14 10:43:59,
MPJC-10,176158,MPJC,Improvement,false,Done,Done,2016-10-26 21:54:51,2016-11-14 20:05:25
MPJC-9,174086,MPJC,Improvement,false,To Do,,2016-10-13 21:49:27,
MPJC-8,163248,MPJC,Bug,false,Done,Done,2016-09-03 09:13:45,2016-11-14 19:49:13
MPJC-5,154725,MPJC,Improvement,false,Done,Done,2016-07-06 03:25:16,2016-07-26 17:47:37
MPJC-4,152510,MPJC,Bug,false,Done,Done,2016-06-17 10:39:35,2016-06-17 18:36:21
MPJC-3,144136,MPJC,Bug,false,Done,Done,2016-05-24 14:31:09,2016-05-24 17:55:53
MPJC-2,144095,MPJC,Improvement,false,Done,Done,2016-05-24 14:09:33,2016-05-24 17:55:22
MPJC-1,137775,MPJC,Task,false,Done,Done,2016-04-28 16:35:50,2016-05-24 14:04:11
