Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
SELENIUM-297,282266,SELENIUM,Improvement,false,Under Review,,2019-08-25 21:53:34,
SELENIUM-296,279972,SELENIUM,Bug,false,Closed,Won't Do,2019-07-12 05:36:04,2021-11-25 00:00:20
SELENIUM-295,279970,SELENIUM,Improvement,false,Closed,Fixed,2019-07-12 04:56:00,2019-07-14 19:52:26
SELENIUM-294,276966,SELENIUM,Improvement,false,Closed,Won't Do,2019-05-13 10:47:02,2021-11-25 00:00:28
SELENIUM-293,273610,SELENIUM,Improvement,false,Resolved,Fixed,2019-03-13 15:25:40,2019-03-26 11:06:33
SELENIUM-292,256047,SELENIUM,Improvement,false,Closed,Won't Do,2018-05-14 01:03:27,2021-11-25 00:00:25
SELENIUM-291,249802,SELENIUM,Task,false,Resolved,Fixed,2018-01-30 17:38:36,2018-01-30 21:27:38
SELENIUM-290,249225,SELENIUM,Task,false,Resolved,Fixed,2018-01-21 22:47:00,2018-01-22 23:23:54
SELENIUM-289,216779,SELENIUM,Task,false,Resolved,Fixed,2017-06-20 07:30:12,2017-07-21 01:27:09
SELENIUM-288,216443,SELENIUM,Task,false,Closed,Fixed,2017-06-19 03:47:42,2019-03-26 10:44:18
SELENIUM-287,211604,SELENIUM,Bug,false,Closed,Won't Do,2017-06-01 01:11:18,2021-11-25 00:00:31
SELENIUM-286,208414,SELENIUM,Story,false,Closed,Fixed,2017-05-18 02:16:59,2019-03-26 10:44:38
SELENIUM-284,206834,SELENIUM,New Feature,false,Closed,Won't Do,2017-05-09 19:11:10,2021-11-25 00:00:18
SELENIUM-283,195105,SELENIUM,Improvement,false,Resolved,Fixed,2017-03-03 10:22:10,2017-04-27 10:15:09
SELENIUM-282,150549,SELENIUM,Bug,false,Closed,Won't Do,2016-06-07 09:38:15,2021-11-25 00:00:20
SELENIUM-281,133113,SELENIUM,Bug,false,Closed,Won't Do,2016-01-27 15:03:53,2021-11-25 00:00:37
SELENIUM-280,132514,SELENIUM,Bug,false,Closed,Won't Do,2016-01-13 19:07:58,2021-11-25 00:00:21
