Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MIG-1005,14417424,MIG,Story,false,Backlog,,2022-01-04 13:35:24,
MIG-1003,14398850,MIG,Story,false,Backlog,,2021-12-19 12:04:48,
MIG-1002,14396760,MIG,Story,false,Backlog,,2021-12-16 21:32:06,
MIG-1001,14396759,MIG,Story,false,Backlog,,2021-12-16 21:31:07,
MIG-1000,14396756,MIG,Story,false,In Progress,,2021-12-16 21:30:05,
MIG-999,14396755,MIG,Story,false,Backlog,,2021-12-16 21:28:47,
MIG-998,14396754,MIG,Spike,false,In Progress,,2021-12-16 21:25:10,
MIG-997,14396753,MIG,Story,false,Backlog,,2021-12-16 21:23:49,
MIG-996,14396752,MIG,Story,false,In Progress,,2021-12-16 21:22:10,
MIG-995,14396729,MIG,Task,false,In Progress,,2021-12-16 20:13:17,
MIG-994,14396724,MIG,Bug,false,In Progress,,2021-12-16 19:51:27,
MIG-993,14396722,MIG,Story,false,Backlog,,2021-12-16 19:50:07,
MIG-992,14396720,MIG,Story,false,Backlog,,2021-12-16 19:47:52,
MIG-991,14392365,MIG,Story,false,Backlog,,2021-12-14 20:35:27,
MIG-990,14381694,MIG,Story,false,Backlog,,2021-12-08 21:37:06,
MIG-989,14381688,MIG,Story,false,Backlog,,2021-12-08 21:31:47,
MIG-988,14381686,MIG,Story,false,Backlog,,2021-12-08 21:27:47,
MIG-987,14381682,MIG,Story,false,Backlog,,2021-12-08 21:25:23,
MIG-986,14381680,MIG,Story,false,Backlog,,2021-12-08 21:22:24,
MIG-985,14381679,MIG,Story,false,Backlog,,2021-12-08 21:20:24,
MIG-984,14381678,MIG,Story,false,Backlog,,2021-12-08 21:18:09,
MIG-983,14380602,MIG,Task,false,In Progress,,2021-12-08 14:20:33,
MIG-982,14379232,MIG,Story,false,In Progress,,2021-12-07 18:54:42,
MIG-981,14378592,MIG,Task,false,Backlog,,2021-12-07 15:08:30,
MIG-980,14377079,MIG,Story,false,Selected for Development,,2021-12-06 18:10:14,
MIG-979,14377077,MIG,Story,false,Selected for Development,,2021-12-06 18:06:49,
MIG-978,14377072,MIG,Story,false,Selected for Development,,2021-12-06 18:02:47,
MIG-975,14374283,MIG,Story,false,Backlog,,2021-12-03 15:24:55,
MIG-972,14372846,MIG,Story,false,Done,Done,2021-12-02 18:44:05,2021-12-06 14:26:37
MIG-969,14371682,MIG,Spike,false,Backlog,,2021-12-02 14:25:47,
MIG-968,14366505,MIG,Story,false,Backlog,,2021-11-30 13:16:29,
MIG-967,14364868,MIG,Spike,false,Backlog,,2021-11-29 15:35:22,
MIG-966,14364864,MIG,Story,false,Backlog,,2021-11-29 15:33:14,
MIG-965,14356745,MIG,Spike,false,Backlog,,2021-11-22 21:17:31,
MIG-964,14356740,MIG,Spike,false,Backlog,,2021-11-22 21:05:48,
MIG-963,14356720,MIG,Task,false,Backlog,,2021-11-22 20:28:44,
MIG-962,14356098,MIG,Story,false,In Progress,,2021-11-22 16:47:14,
MIG-961,14356083,MIG,Story,false,Backlog,,2021-11-22 16:25:22,
MIG-960,14356081,MIG,Story,false,Backlog,,2021-11-22 16:19:54,
MIG-959,14356077,MIG,Story,false,Backlog,,2021-11-22 16:14:47,
MIG-958,14355052,MIG,Task,false,Backlog,,2021-11-22 08:44:24,
MIG-954,14353594,MIG,Story,false,Backlog,,2021-11-19 18:10:17,
MIG-953,14353593,MIG,Story,false,Backlog,,2021-11-19 18:09:12,
MIG-952,14353592,MIG,Story,false,In Progress,,2021-11-19 18:08:09,
MIG-944,14347560,MIG,Story,false,Backlog,,2021-11-16 15:57:42,
MIG-943,14347528,MIG,Story,false,Backlog,,2021-11-16 15:37:29,
MIG-942,14345870,MIG,Story,false,Done,Done,2021-11-15 18:41:56,2021-12-16 20:08:53
MIG-939,14336959,MIG,Story,false,Backlog,,2021-11-10 03:09:32,
MIG-938,14328079,MIG,Story,false,Backlog,,2021-11-03 21:51:14,
MIG-937,14328078,MIG,Story,false,Selected for Development,,2021-11-03 21:45:25,
MIG-936,14328077,MIG,Story,false,Done,Done,2021-11-03 21:31:32,2021-11-22 17:54:03
MIG-935,14328071,MIG,Story,false,QE,,2021-11-03 21:07:47,
MIG-922,14324232,MIG,Story,false,Done,Done,2021-11-02 17:29:02,2021-12-01 16:09:56
MIG-921,14324231,MIG,Story,false,Selected for Development,,2021-11-02 17:27:29,
MIG-910,14319537,MIG,Story,false,Backlog,,2021-10-29 14:51:52,
MIG-903,14315021,MIG,Task,false,Done,Done,2021-10-27 06:45:06,2021-10-29 11:37:06
MIG-894,14302427,MIG,Story,false,Backlog,,2021-10-18 20:40:02,
MIG-893,14301828,MIG,Story,false,Backlog,,2021-10-18 16:23:54,
MIG-887,14295490,MIG,Story,false,Backlog,,2021-10-13 14:47:04,
MIG-886,14295474,MIG,Story,false,In Progress,,2021-10-13 14:33:46,
MIG-884,14295468,MIG,Story,false,Selected for Development,,2021-10-13 14:31:37,
MIG-883,14295464,MIG,Story,false,QE,,2021-10-13 14:29:33,
MIG-877,14292927,MIG,Task,false,Backlog,,2021-10-12 09:04:50,
MIG-876,14286184,MIG,Story,false,Backlog,,2021-10-07 13:46:19,
MIG-875,14286177,MIG,Bug,false,Backlog,,2021-10-07 13:39:48,
MIG-874,14286173,MIG,Bug,false,Selected for Development,,2021-10-07 13:36:24,
MIG-873,14285351,MIG,Story,false,Done,Done,2021-10-06 21:05:38,2021-11-15 16:54:52
MIG-866,14280589,MIG,Story,false,Backlog,,2021-10-04 19:22:00,
MIG-865,14280562,MIG,Story,false,Backlog,,2021-10-04 19:18:53,
MIG-864,14280560,MIG,Story,false,QE,,2021-10-04 19:17:16,
