Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
WFTC-95,13418454,WFTC,Enhancement,false,Open,,2021-07-20 15:45:27,
WFTC-93,13380391,WFTC,Bug,false,Resolved,Done,2021-06-11 14:53:58,2021-06-14 18:34:45
WFTC-92,13340189,WFTC,Enhancement,false,Resolved,Done,2021-05-03 12:29:44,2021-06-10 20:47:13
WFTC-90,13289917,WFTC,Bug,false,Resolved,Done,2021-03-15 13:00:05,2021-03-24 03:04:24
WFTC-89,13280534,WFTC,Bug,false,Closed,Not a Bug,2021-03-03 23:45:16,2021-03-10 08:03:37
WFTC-87,12988577,WFTC,Enhancement,false,Open,,2020-08-03 10:01:41,
WFTC-86,12982762,WFTC,Bug,false,Resolved,Done,2020-07-28 11:31:00,2020-08-04 05:42:01
WFTC-85,12952220,WFTC,Bug,false,Resolved,Done,2020-06-08 18:21:24,2020-06-23 06:54:47
WFTC-84,12943264,WFTC,Enhancement,false,Open,,2020-05-17 13:38:11,
WFTC-83,12940056,WFTC,Bug,false,Closed,Done,2020-05-08 07:51:22,2020-05-16 07:32:23
WFTC-82,12938726,WFTC,Bug,false,Resolved,Done,2020-05-06 02:37:35,2020-05-07 07:08:51
WFTC-81,12909090,WFTC,Bug,false,Resolved,Done,2020-02-14 08:33:05,2020-03-24 05:41:08
WFTC-79,12836737,WFTC,Component Upgrade,false,Resolved,Rejected,2019-11-05 09:34:30,2019-11-05 19:00:24
WFTC-78,12836602,WFTC,Bug,false,Resolved,Done,2019-11-04 19:32:43,2019-11-04 19:53:15
WFTC-77,12831636,WFTC,Bug,false,Resolved,Done,2019-10-02 19:36:29,2019-12-19 08:49:21
WFTC-76,12825235,WFTC,Component Upgrade,false,Closed,Rejected,2019-08-29 06:07:59,2019-08-29 06:08:37
WFTC-75,12824387,WFTC,Bug,false,Resolved,Done,2019-08-23 10:33:10,2019-08-29 05:57:12
WFTC-74,12823512,WFTC,Enhancement,false,Open,,2019-08-19 07:23:43,
WFTC-73,12819669,WFTC,Enhancement,false,Resolved,Done,2019-07-24 16:36:31,2019-07-28 04:58:58
WFTC-72,12819665,WFTC,Enhancement,false,Resolved,Done,2019-07-24 16:15:34,2019-07-28 04:59:21
WFTC-71,12816922,WFTC,Bug,false,Resolved,Done,2019-07-04 13:43:21,2019-07-10 16:10:20
WFTC-70,12816727,WFTC,Bug,false,Resolved,Done,2019-07-03 13:23:51,2019-07-08 07:33:01
WFTC-69,12816261,WFTC,Bug,false,Resolved,Done,2019-07-01 18:22:55,2019-07-28 06:47:10
WFTC-68,12815963,WFTC,Bug,false,Resolved,Done,2019-06-28 14:49:14,2019-07-10 16:14:18
WFTC-67,12811617,WFTC,Bug,false,Resolved,Done,2019-06-06 06:08:41,2019-06-13 11:10:54
WFTC-66,12810739,WFTC,Bug,false,Resolved,Done,2019-06-03 16:37:56,2019-06-03 16:40:06
WFTC-65,12810313,WFTC,Bug,false,Resolved,Done,2019-05-31 08:25:53,2019-06-13 11:09:36
WFTC-64,12808571,WFTC,Bug,false,Resolved,Done,2019-05-22 15:58:54,2019-06-17 21:08:21
WFTC-63,12802403,WFTC,Enhancement,false,Open,,2019-04-12 10:26:14,
WFTC-62,12801173,WFTC,Bug,false,Resolved,Done,2019-04-05 10:09:18,2019-06-17 21:07:34
WFTC-61,12800709,WFTC,Bug,false,Resolved,Done,2019-04-03 09:21:34,2019-04-18 06:23:19
WFTC-60,12790719,WFTC,Bug,false,Resolved,Done,2019-02-05 11:52:58,2019-02-07 05:48:23
WFTC-58,12788569,WFTC,Bug,false,Resolved,Done,2019-01-22 07:01:27,2019-02-08 05:22:01
WFTC-57,12788427,WFTC,Bug,false,Open,,2019-01-21 20:30:31,
WFTC-56,12788426,WFTC,Bug,false,Closed,Duplicate Issue,2019-01-21 20:24:02,2019-02-06 03:44:55
WFTC-55,12785971,WFTC,Enhancement,false,Resolved,Done,2019-01-03 11:12:08,2019-01-08 04:29:24
WFTC-54,12785623,WFTC,Bug,false,Resolved,Done,2018-12-23 01:39:39,2019-01-03 03:47:13
WFTC-53,12779867,WFTC,Bug,false,Resolved,Done,2018-11-18 21:21:18,2020-02-05 04:52:47
WFTC-52,12753570,WFTC,Bug,false,Resolved,Done,2018-06-05 14:49:00,2018-06-08 10:53:08
WFTC-51,12752068,WFTC,Bug,false,Resolved,Done,2018-05-25 09:08:09,2018-05-25 10:44:58
WFTC-50,12750316,WFTC,Task,false,Resolved,Done,2018-05-15 13:13:04,2018-05-24 13:20:43
WFTC-49,12747420,WFTC,Bug,false,Resolved,Done,2018-04-26 15:48:42,2018-05-03 15:30:34
WFTC-48,12746868,WFTC,Bug,false,Resolved,Done,2018-04-24 14:20:21,2018-05-01 17:27:05
WFTC-47,12745046,WFTC,Enhancement,false,Pull Request Sent,,2018-04-13 15:56:31,
WFTC-46,12745045,WFTC,Enhancement,false,Pull Request Sent,,2018-04-13 15:54:49,
WFTC-45,12743122,WFTC,Enhancement,false,Resolved,Done,2018-04-05 09:28:49,2018-04-09 09:18:27
WFTC-44,12742932,WFTC,Enhancement,false,Resolved,Done,2018-04-04 12:31:38,2018-04-05 09:51:58
WFTC-43,12734591,WFTC,Bug,false,Resolved,Won't Fix,2018-02-15 10:31:15,2018-03-05 09:33:04
WFTC-42,12727820,WFTC,Task,false,Open,,2018-01-12 09:22:46,
