Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
CFCA-247,554805,CFCA,,software,Open Bug,Bug,12/09/2018 17:21,
CFCA-246,553284,CFCA,,software,Resolved,Task,05/09/2018 11:03,06/09/2018 15:51
CFCA-245,550817,CFCA,,software,Closed,Bug,23/08/2018 11:13,
CFCA-244,548726,CFCA,,software,Resolved,Task,10/08/2018 17:31,23/08/2018 12:13
CFCA-243,548725,CFCA,,software,Resolved,Bug,10/08/2018 17:09,
CFCA-242,548724,CFCA,,software,Closed,Bug,10/08/2018 17:05,
CFCA-241,548723,CFCA,,software,Closed,Bug,10/08/2018 17:01,
CFCA-240,548720,CFCA,,software,Closed,Bug,10/08/2018 16:45,
CFCA-239,548719,CFCA,,software,Resolved,Bug,10/08/2018 16:27,
CFCA-238,547572,CFCA,,software,Closed,Bug,07/08/2018 17:00,
CFCA-237,547571,CFCA,,software,Closed,Bug,07/08/2018 16:58,
CFCA-236,547208,CFCA,,software,Resolved,Task,06/08/2018 14:35,10/08/2018 10:15
CFCA-235,542745,CFCA,,software,Closed,Task,18/07/2018 13:13,08/08/2018 14:47
CFCA-234,542744,CFCA,,software,Closed,Task,18/07/2018 13:13,08/08/2018 10:08
CFCA-233,540757,CFCA,,software,Resolved,Task,11/07/2018 10:11,10/08/2018 10:15
CFCA-232,540753,CFCA,,software,Resolved,Task,11/07/2018 10:06,10/08/2018 10:15
CFCA-231,540746,CFCA,,software,Resolved,Task,11/07/2018 09:54,10/08/2018 10:15
CFCA-230,540741,CFCA,,software,Resolved,Task,11/07/2018 09:37,10/08/2018 10:15
CFCA-229,540739,CFCA,,software,Resolved,Task,11/07/2018 09:26,10/08/2018 10:14
CFCA-228,529392,CFCA,,software,In review,Task,23/05/2018 17:56,
CFCA-227,525658,CFCA,,software,Closed,Task,09/05/2018 09:20,22/05/2018 13:39
CFCA-226,499155,CFCA,,software,Resolved,Bug,01/02/2018 16:44,
CFCA-225,497598,CFCA,,software,New Bug,Bug,29/01/2018 09:04,
CFCA-224,494201,CFCA,,software,Resolved,Bug,12/01/2018 12:50,
