Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
DFTWO-649,129404,DFTWO,,software,Open,Bug,17/01/2013 15:48,
DFTWO-648,129403,DFTWO,,software,Resolved,Bug,17/01/2013 15:43,25/01/2013 14:08
DFTWO-647,129397,DFTWO,,software,Resolved,Bug,17/01/2013 15:31,25/01/2013 14:11
DFTWO-646,129353,DFTWO,,software,Open,Task,17/01/2013 12:12,
DFTWO-645,129351,DFTWO,,software,Open,Task,17/01/2013 12:09,
DFTWO-644,126113,DFTWO,,software,Open,Task,06/12/2012 12:54,
DFTWO-643,125713,DFTWO,,software,Open,Task,03/12/2012 12:20,
DFTWO-642,125693,DFTWO,,software,Resolved,Task,03/12/2012 11:36,03/12/2012 11:36
DFTWO-641,125329,DFTWO,,software,Closed,Task,29/11/2012 09:56,11/12/2012 10:41
DFTWO-640,123625,DFTWO,,software,Resolved,Task,14/11/2012 09:26,14/11/2012 23:25
DFTWO-639,123601,DFTWO,,software,Resolved,Task,13/11/2012 16:28,15/11/2012 14:02
DFTWO-638,123427,DFTWO,,software,Resolved,Task,12/11/2012 11:19,12/11/2012 22:04
DFTWO-637,123068,DFTWO,,software,Open,Task,07/11/2012 21:10,
DFTWO-636,123054,DFTWO,,software,Resolved,Task,07/11/2012 17:45,08/11/2012 20:48
DFTWO-635,123053,DFTWO,,software,Resolved,Task,07/11/2012 17:42,07/11/2012 23:26
DFTWO-634,122510,DFTWO,,software,Resolved,Task,03/11/2012 13:48,07/11/2012 23:01
DFTWO-633,122506,DFTWO,,software,Resolved,Task,03/11/2012 12:36,03/11/2012 16:10
DFTWO-632,122505,DFTWO,,software,Resolved,Task,03/11/2012 12:34,03/11/2012 13:30
DFTWO-631,122504,DFTWO,,software,Resolved,Task,03/11/2012 12:32,03/11/2012 15:52
DFTWO-630,122503,DFTWO,,software,Resolved,Task,03/11/2012 12:31,04/11/2012 14:43
DFTWO-629,122466,DFTWO,,software,Resolved,Task,01/11/2012 12:17,01/11/2012 12:23
DFTWO-628,122465,DFTWO,,software,Resolved,Task,01/11/2012 12:16,03/11/2012 15:52
DFTWO-627,121845,DFTWO,,software,Resolved,Task,29/10/2012 11:04,06/11/2012 15:44
DFTWO-626,121838,DFTWO,,software,Resolved,Task,29/10/2012 10:54,29/10/2012 21:09
DFTWO-625,121763,DFTWO,,software,Resolved,Task,27/10/2012 15:52,30/10/2012 23:41
DFTWO-624,121762,DFTWO,,software,Open,Task,27/10/2012 15:45,
DFTWO-623,121761,DFTWO,,software,Resolved,Task,27/10/2012 15:44,01/11/2012 12:30
DFTWO-622,121760,DFTWO,,software,Open,Task,27/10/2012 15:43,
DFTWO-621,121759,DFTWO,,software,Resolved,Task,27/10/2012 15:43,28/01/2013 12:46
DFTWO-620,121758,DFTWO,,software,Resolved,Task,27/10/2012 15:42,01/11/2012 12:53
DFTWO-619,121757,DFTWO,,software,Resolved,Task,27/10/2012 15:41,07/11/2012 23:26
DFTWO-618,121756,DFTWO,,software,Resolved,Task,27/10/2012 15:40,14/11/2012 22:53
DFTWO-617,121755,DFTWO,,software,Resolved,Bug,27/10/2012 15:23,07/11/2012 21:29
