Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
GOODIPHONE-141,156760,GOODIPHONE,,software,Open,Task,09/01/2014 15:52,
GOODIPHONE-140,156424,GOODIPHONE,,software,Open,Task,31/12/2013 12:38,
GOODIPHONE-139,153073,GOODIPHONE,,software,Resolved,Task,13/11/2013 18:18,13/11/2013 18:20
GOODIPHONE-138,152252,GOODIPHONE,,software,Resolved,Task,31/10/2013 13:47,31/10/2013 13:52
GOODIPHONE-137,151425,GOODIPHONE,,software,Open,Task,23/10/2013 10:29,
GOODIPHONE-136,149941,GOODIPHONE,,software,In progress,Task,06/10/2013 22:10,
GOODIPHONE-135,149616,GOODIPHONE,,software,Open,Task,02/10/2013 11:06,
GOODIPHONE-134,149419,GOODIPHONE,,software,Resolved,Task,30/09/2013 13:06,30/09/2013 13:11
GOODIPHONE-133,148024,GOODIPHONE,,software,Open,Task,13/09/2013 16:41,
GOODIPHONE-132,147095,GOODIPHONE,,software,Closed,Task,30/08/2013 14:35,30/08/2013 14:40
GOODIPHONE-131,145096,GOODIPHONE,,software,Resolved,Task,30/07/2013 14:24,06/10/2013 22:14
GOODIPHONE-130,142668,GOODIPHONE,,software,Resolved,Task,28/06/2013 13:41,06/10/2013 22:14
GOODIPHONE-129,142411,GOODIPHONE,,software,Open,Task,25/06/2013 16:07,
GOODIPHONE-128,140769,GOODIPHONE,,software,Resolved,Task,03/06/2013 13:28,03/06/2013 13:41
GOODIPHONE-127,140742,GOODIPHONE,,software,Resolved,Task,03/06/2013 12:09,06/10/2013 22:04
GOODIPHONE-126,140256,GOODIPHONE,,software,Open,Task,27/05/2013 10:56,
GOODIPHONE-125,138801,GOODIPHONE,,software,Resolved,Task,06/05/2013 08:39,06/10/2013 22:15
GOODIPHONE-124,138478,GOODIPHONE,,software,Resolved,Task,25/04/2013 13:51,06/10/2013 22:05
GOODIPHONE-123,138468,GOODIPHONE,,software,Resolved,Task,25/04/2013 12:23,06/10/2013 22:15
GOODIPHONE-122,136405,GOODIPHONE,,software,Resolved,Task,03/04/2013 12:09,06/10/2013 22:15
GOODIPHONE-121,136035,GOODIPHONE,,software,Open,Task,28/03/2013 10:51,
GOODIPHONE-120,133264,GOODIPHONE,,software,Resolved,Task,28/02/2013 16:07,06/10/2013 22:15
GOODIPHONE-119,133217,GOODIPHONE,,software,Resolved,Task,28/02/2013 13:39,06/10/2013 22:11
GOODIPHONE-118,133190,GOODIPHONE,,software,Open,Task,28/02/2013 12:19,
GOODIPHONE-117,133188,GOODIPHONE,,software,Open,Task,28/02/2013 12:15,
GOODIPHONE-115,133151,GOODIPHONE,,software,Resolved,Bug,28/02/2013 09:47,06/10/2013 22:16
GOODIPHONE-114,130881,GOODIPHONE,,software,Resolved,Task,31/01/2013 17:35,06/10/2013 22:05
GOODIPHONE-113,130880,GOODIPHONE,,software,Open,Task,31/01/2013 17:34,
GOODIPHONE-112,130298,GOODIPHONE,,software,Resolved,Task,28/01/2013 12:31,03/06/2013 13:42
GOODIPHONE-111,128054,GOODIPHONE,,software,Open,Task,07/01/2013 11:16,
GOODIPHONE-110,127816,GOODIPHONE,,software,In progress,Training (technical),02/01/2013 15:24,
GOODIPHONE-109,127418,GOODIPHONE,,software,Resolved,Task,20/12/2012 15:27,03/06/2013 13:43
GOODIPHONE-108,126993,GOODIPHONE,,software,Resolved,Training (technical),17/12/2012 13:44,06/12/2013 14:57
GOODIPHONE-107,124005,GOODIPHONE,,software,Open,Task,16/11/2012 15:22,
GOODIPHONE-106,122253,GOODIPHONE,,software,Open,Task,30/10/2012 16:46,
GOODIPHONE-105,122251,GOODIPHONE,,software,Resolved,Task,30/10/2012 16:43,25/04/2013 13:49
GOODIPHONE-104,115993,GOODIPHONE,,software,Open,Task,24/09/2012 12:02,
