Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
SCNIT-249,79141,SCNIT,,software,Open,Bug,05/10/2011 14:35,
SCNIT-248,78972,SCNIT,,software,Closed,Bug,04/10/2011 11:53,04/10/2011 15:14
SCNIT-247,78751,SCNIT,,software,Closed,Bug,30/09/2011 16:21,05/10/2011 13:46
SCNIT-246,78089,SCNIT,,software,Open,Bug,26/09/2011 12:18,
SCNIT-245,77223,SCNIT,,software,Closed,Bug,16/09/2011 14:52,05/10/2011 14:42
SCNIT-244,77212,SCNIT,,software,Resolved,Bug,16/09/2011 13:59,23/09/2011 15:33
SCNIT-243,77126,SCNIT,,software,Closed,Bug,16/09/2011 12:15,28/09/2011 10:19
SCNIT-242,77103,SCNIT,,software,Closed,Bug,16/09/2011 10:02,22/09/2011 12:46
SCNIT-241,76978,SCNIT,,software,Closed,Bug,14/09/2011 17:25,22/09/2011 14:37
SCNIT-240,76856,SCNIT,,software,Resolved,Bug,13/09/2011 15:22,04/10/2011 09:18
SCNIT-239,76855,SCNIT,,software,Resolved,Bug,13/09/2011 15:16,22/09/2011 14:37
SCNIT-238,76833,SCNIT,,software,Resolved,Bug,13/09/2011 13:34,26/09/2011 12:38
SCNIT-237,76786,SCNIT,,software,Resolved,Bug,13/09/2011 10:56,19/09/2011 11:28
SCNIT-236,74782,SCNIT,,software,Resolved,Task,29/08/2011 11:20,30/08/2011 13:03
SCNIT-235,74781,SCNIT,,software,Resolved,Task,29/08/2011 11:19,30/08/2011 16:22
SCNIT-234,74780,SCNIT,,software,Resolved,Task,29/08/2011 11:19,30/08/2011 12:39
SCNIT-233,74779,SCNIT,,software,Resolved,Task,29/08/2011 11:19,30/08/2011 10:59
SCNIT-232,74777,SCNIT,,software,Closed,Task,29/08/2011 11:17,04/10/2011 15:02
SCNIT-231,74776,SCNIT,,software,Resolved,Task,29/08/2011 11:16,29/08/2011 14:57
SCNIT-230,74775,SCNIT,,software,Resolved,Task,29/08/2011 11:16,14/09/2011 08:34
SCNIT-229,74774,SCNIT,,software,Resolved,Task,29/08/2011 11:15,19/09/2011 16:27
SCNIT-228,74162,SCNIT,,software,Resolved,Task,22/08/2011 16:24,22/08/2011 16:30
SCNIT-227,73928,SCNIT,,software,Resolved,Task,19/08/2011 10:23,19/08/2011 10:24
SCNIT-226,73748,SCNIT,,software,Resolved,Bug,17/08/2011 12:50,17/08/2011 12:58
SCNIT-225,73624,SCNIT,,software,Resolved,Bug,16/08/2011 10:50,16/08/2011 16:32
SCNIT-224,73564,SCNIT,,software,Open,Task,12/08/2011 15:34,
SCNIT-223,73310,SCNIT,,software,Resolved,Bug,11/08/2011 09:57,19/08/2011 13:07
SCNIT-222,73015,SCNIT,,software,Resolved,Task,08/08/2011 16:04,09/08/2011 16:31
SCNIT-221,72919,SCNIT,,software,Resolved,Task,08/08/2011 10:21,08/08/2011 15:55
SCNIT-220,72840,SCNIT,,software,Resolved,Task,05/08/2011 13:17,08/08/2011 10:20
SCNIT-219,72791,SCNIT,,software,Resolved,Task,04/08/2011 13:38,05/08/2011 15:09
SCNIT-218,72775,SCNIT,,software,Resolved,Bug,04/08/2011 11:46,19/08/2011 10:59
SCNIT-217,72461,SCNIT,,software,Resolved,Task,01/08/2011 13:01,01/08/2011 16:03
SCNIT-216,72460,SCNIT,,software,Resolved,Task,01/08/2011 12:59,01/08/2011 14:04
SCNIT-215,71644,SCNIT,,software,Resolved,Improvement,20/07/2011 11:49,04/08/2011 13:18
SCNIT-214,67812,SCNIT,,software,Resolved,Task,18/07/2011 13:37,18/07/2011 14:47
SCNIT-213,67730,SCNIT,,software,Resolved,Improvement,15/07/2011 12:23,20/07/2011 10:45
SCNIT-212,67708,SCNIT,,software,Resolved,Task,15/07/2011 10:40,20/07/2011 14:09
SCNIT-211,63747,SCNIT,,software,Resolved,Task,11/07/2011 16:18,12/07/2011 14:23
SCNIT-210,63266,SCNIT,,software,Resolved,Task,05/07/2011 12:10,05/07/2011 14:49
SCNIT-209,63245,SCNIT,,software,Resolved,Task,05/07/2011 10:42,05/07/2011 10:43
SCNIT-208,63181,SCNIT,,software,Resolved,Task,04/07/2011 14:28,05/07/2011 08:36
SCNIT-207,63119,SCNIT,,software,Open,Question,04/07/2011 11:27,
SCNIT-206,63117,SCNIT,,software,Open,Question,04/07/2011 11:25,
SCNIT-205,63116,SCNIT,,software,Resolved,Bug,04/07/2011 11:24,14/07/2011 13:58
SCNIT-204,63115,SCNIT,,software,Resolved,Bug,04/07/2011 11:23,04/08/2011 13:34
SCNIT-203,63114,SCNIT,,software,Resolved,Bug,04/07/2011 11:22,14/07/2011 10:30
SCNIT-202,63113,SCNIT,,software,Resolved,Bug,04/07/2011 11:22,14/07/2011 13:21
SCNIT-201,63112,SCNIT,,software,Resolved,Bug,04/07/2011 11:18,19/07/2011 13:06
