Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
VIACOMATV-183,522626,VIACOMATV,,software,Done,Improvement,24/04/2018 13:36,25/04/2018 09:44
VIACOMATV-182,520283,VIACOMATV,,software,Done,Bug,16/04/2018 11:11,20/04/2018 13:11
VIACOMATV-181,520091,VIACOMATV,,software,Done,Bug,13/04/2018 14:44,16/04/2018 11:05
VIACOMATV-180,520087,VIACOMATV,,software,Done,Bug,13/04/2018 14:40,16/04/2018 11:05
VIACOMATV-179,519841,VIACOMATV,,software,Done,New Feature,13/04/2018 09:33,17/04/2018 12:48
VIACOMATV-178,517108,VIACOMATV,,software,Done,Improvement,05/04/2018 13:24,24/04/2018 12:03
VIACOMATV-177,516710,VIACOMATV,,software,Done,Bug,04/04/2018 13:13,13/04/2018 13:46
VIACOMATV-176,516703,VIACOMATV,,software,Done,Bug,04/04/2018 13:08,04/04/2018 13:59
VIACOMATV-175,516659,VIACOMATV,,software,Done,Task,04/04/2018 12:37,20/04/2018 09:48
VIACOMATV-174,516575,VIACOMATV,,software,To Do,Task,04/04/2018 11:11,
VIACOMATV-173,516343,VIACOMATV,,software,To Do,New Feature,03/04/2018 16:26,
VIACOMATV-172,516332,VIACOMATV,,software,To Do,Task,03/04/2018 16:07,
VIACOMATV-171,516330,VIACOMATV,,software,Done,Task,03/04/2018 16:07,05/04/2018 13:26
VIACOMATV-170,516202,VIACOMATV,,software,Done,Improvement,03/04/2018 12:25,03/04/2018 14:19
VIACOMATV-169,516187,VIACOMATV,,software,To Do,Improvement,03/04/2018 11:57,
VIACOMATV-168,516180,VIACOMATV,,software,Done,Bug,03/04/2018 11:40,03/04/2018 11:51
VIACOMATV-167,516152,VIACOMATV,,software,Done,Task,03/04/2018 11:07,04/04/2018 11:14
VIACOMATV-166,515650,VIACOMATV,,software,Done,Bug,30/03/2018 10:36,03/04/2018 17:52
VIACOMATV-165,514928,VIACOMATV,,software,Done,Bug,28/03/2018 11:28,29/03/2018 13:49
VIACOMATV-164,514891,VIACOMATV,,software,Done,Bug,28/03/2018 10:47,04/04/2018 13:25
VIACOMATV-163,514879,VIACOMATV,,software,Done,Bug,28/03/2018 10:28,30/03/2018 10:37
VIACOMATV-162,514873,VIACOMATV,,software,Done,Bug,28/03/2018 10:14,30/03/2018 10:25
VIACOMATV-161,514858,VIACOMATV,,software,Done,Bug,28/03/2018 09:45,30/03/2018 10:41
VIACOMATV-160,514734,VIACOMATV,,software,Done,Bug,27/03/2018 15:03,30/03/2018 10:38
VIACOMATV-159,514632,VIACOMATV,,software,Done,Bug,27/03/2018 12:28,28/03/2018 10:15
VIACOMATV-158,513626,VIACOMATV,,software,Done,Bug,22/03/2018 13:13,27/03/2018 11:34
VIACOMATV-157,513586,VIACOMATV,,software,Done,Bug,22/03/2018 12:13,20/04/2018 13:11
VIACOMATV-156,513583,VIACOMATV,,software,Done,Bug,22/03/2018 12:10,04/04/2018 12:56
VIACOMATV-155,513529,VIACOMATV,,software,Done,Bug,22/03/2018 10:21,22/03/2018 13:36
VIACOMATV-154,513527,VIACOMATV,,software,Done,Bug,22/03/2018 10:18,22/03/2018 12:08
VIACOMATV-153,513525,VIACOMATV,,software,Done,Bug,22/03/2018 10:10,30/03/2018 10:40
VIACOMATV-152,513246,VIACOMATV,,software,Done,Bug,21/03/2018 12:25,22/03/2018 13:37
VIACOMATV-151,512527,VIACOMATV,,software,Done,Bug,19/03/2018 13:30,22/03/2018 12:13
VIACOMATV-150,512375,VIACOMATV,,software,Done,Bug,19/03/2018 10:19,19/03/2018 10:23
VIACOMATV-149,512123,VIACOMATV,,software,In review,Task,16/03/2018 10:42,
VIACOMATV-148,511744,VIACOMATV,,software,Done,Bug,15/03/2018 15:11,22/03/2018 10:21
VIACOMATV-147,511077,VIACOMATV,,software,Done,Bug,13/03/2018 14:09,15/03/2018 08:57
VIACOMATV-146,511075,VIACOMATV,,software,Done,Bug,13/03/2018 14:05,19/03/2018 13:31
VIACOMATV-145,511060,VIACOMATV,,software,Done,Bug,13/03/2018 13:50,15/03/2018 08:59
VIACOMATV-144,510973,VIACOMATV,,software,Done,Bug,13/03/2018 11:53,15/03/2018 09:00
VIACOMATV-143,510960,VIACOMATV,,software,Done,Bug,13/03/2018 11:38,21/03/2018 11:15
VIACOMATV-142,510953,VIACOMATV,,software,Done,Bug,13/03/2018 11:21,15/03/2018 08:58
VIACOMATV-141,510685,VIACOMATV,,software,Done,Bug,12/03/2018 14:16,21/03/2018 14:15
VIACOMATV-140,509388,VIACOMATV,,software,Done,Task,08/03/2018 10:48,27/03/2018 14:30
VIACOMATV-139,509386,VIACOMATV,,software,Done,Improvement,08/03/2018 10:38,03/04/2018 16:58
VIACOMATV-138,509050,VIACOMATV,,software,Done,Sub-task,07/03/2018 12:08,19/04/2018 11:04
VIACOMATV-137,508252,VIACOMATV,,software,Done,Bug,05/03/2018 10:46,22/03/2018 12:06
