Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
ZFARMSUPP-142,73394,ZFARMSUPP,,software,Open,Test,11/08/2011 16:28,
ZFARMSUPP-141,60478,ZFARMSUPP,,software,Resolved,Bug,25/06/2011 01:19,28/06/2011 16:02
ZFARMSUPP-140,60477,ZFARMSUPP,,software,Resolved,Bug,25/06/2011 01:11,27/06/2011 11:43
ZFARMSUPP-139,60476,ZFARMSUPP,,software,Resolved,Bug,25/06/2011 01:09,28/06/2011 17:00
ZFARMSUPP-138,59722,ZFARMSUPP,,software,Open,Bug,15/06/2011 01:54,
ZFARMSUPP-137,59721,ZFARMSUPP,,software,Resolved,Bug,15/06/2011 01:39,15/06/2011 11:07
ZFARMSUPP-136,59720,ZFARMSUPP,,software,Resolved,Bug,15/06/2011 01:35,15/06/2011 11:07
ZFARMSUPP-135,59719,ZFARMSUPP,,software,Resolved,Bug,15/06/2011 01:32,15/06/2011 11:07
ZFARMSUPP-134,59262,ZFARMSUPP,,software,Resolved,Bug,09/06/2011 01:49,09/06/2011 16:51
ZFARMSUPP-133,59261,ZFARMSUPP,,software,Resolved,Bug,08/06/2011 23:19,09/06/2011 16:52
ZFARMSUPP-132,58646,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:28,07/06/2011 12:04
ZFARMSUPP-131,58645,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:27,07/06/2011 12:05
ZFARMSUPP-130,58644,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:22,07/06/2011 12:03
ZFARMSUPP-129,58643,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:19,07/06/2011 12:03
ZFARMSUPP-128,58642,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:09,07/06/2011 12:09
ZFARMSUPP-127,58641,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 03:07,07/06/2011 12:05
ZFARMSUPP-126,58640,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 02:49,07/06/2011 11:59
ZFARMSUPP-125,58639,ZFARMSUPP,,software,Resolved,Bug,03/06/2011 01:45,09/06/2011 16:52
ZFARMSUPP-124,57662,ZFARMSUPP,,software,Resolved,Bug,24/05/2011 14:11,24/05/2011 19:19
ZFARMSUPP-123,57654,ZFARMSUPP,,software,Resolved,Bug,24/05/2011 13:53,27/05/2011 10:33
ZFARMSUPP-122,57476,ZFARMSUPP,,software,Resolved,Bug,21/05/2011 03:22,24/05/2011 19:20
ZFARMSUPP-121,57475,ZFARMSUPP,,software,Resolved,Bug,21/05/2011 01:54,24/05/2011 12:59
ZFARMSUPP-120,57029,ZFARMSUPP,,software,Resolved,Bug,16/05/2011 16:35,17/05/2011 12:38
ZFARMSUPP-119,57027,ZFARMSUPP,,software,Resolved,Bug,16/05/2011 16:26,24/05/2011 19:13
ZFARMSUPP-118,56684,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 03:28,13/05/2011 13:10
ZFARMSUPP-117,56682,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:26,13/05/2011 13:10
ZFARMSUPP-116,56681,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:24,12/05/2011 16:35
ZFARMSUPP-115,56680,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:19,12/05/2011 18:19
ZFARMSUPP-114,56679,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:17,16/05/2011 14:53
ZFARMSUPP-113,56678,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:04,12/05/2011 14:22
ZFARMSUPP-112,56677,ZFARMSUPP,,software,Resolved,Bug,11/05/2011 01:01,16/05/2011 14:54
