Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AA-2072,Story,Backlog,AA,Automation Analytics,software,,16/06/2022 23:13,
AA-2066,Task,Closed,AA,Automation Analytics,software,Duplicate,22/07/2024 14:33,22/07/2024 15:14
AA-2065,Task,Closed,AA,Automation Analytics,software,Duplicate,22/07/2024 13:33,22/07/2024 14:12
AA-1990,Bug,Closed,AA,Automation Analytics,software,Done,29/02/2024 11:48,01/03/2024 04:48
AA-1958,Task,Closed,AA,Automation Analytics,software,Duplicate,09/01/2024 13:18,22/01/2024 15:56
AA-1957,Task,Closed,AA,Automation Analytics,software,Done,21/12/2023 08:21,19/03/2024 14:42
AA-1943,Task,Closed,AA,Automation Analytics,software,Done,02/12/2023 00:06,28/02/2024 12:24
AA-1941,Task,Closed,AA,Automation Analytics,software,Done,28/11/2023 12:24,04/12/2023 13:11
AA-1940,Task,Closed,AA,Automation Analytics,software,Done,21/11/2023 12:00,04/03/2024 16:24
AA-1921,Bug,Closed,AA,Automation Analytics,software,Done,07/11/2023 16:04,22/11/2023 09:10
AA-1918,Task,Closed,AA,Automation Analytics,software,Done,04/11/2023 15:14,17/01/2024 17:16
AA-1917,Task,Closed,AA,Automation Analytics,software,Done,04/11/2023 15:14,17/01/2024 17:16
AA-1908,Task,Closed,AA,Automation Analytics,software,Done,30/10/2023 15:58,01/11/2023 09:46
AA-1907,Bug,Closed,AA,Automation Analytics,software,Done,30/10/2023 14:45,30/10/2023 16:04
AA-1906,Task,Closed,AA,Automation Analytics,software,Done,30/10/2023 13:24,02/11/2023 09:37
AA-1905,Task,Closed,AA,Automation Analytics,software,Done,30/10/2023 12:12,07/11/2023 08:23
AA-1896,Story,Closed,AA,Automation Analytics,software,Done,19/10/2023 14:22,26/10/2023 12:13
AA-1895,Story,Closed,AA,Automation Analytics,software,Done,19/10/2023 13:22,26/10/2023 12:13
AA-1894,Bug,Closed,AA,Automation Analytics,software,Done,19/10/2023 12:50,02/11/2023 10:36
AA-1893,Bug,Closed,AA,Automation Analytics,software,Done,19/10/2023 11:17,19/10/2023 13:48
AA-1884,Story,Closed,AA,Automation Analytics,software,Done,11/10/2023 19:22,07/12/2023 16:27
AA-1880,Story,Closed,AA,Automation Analytics,software,Done,11/10/2023 08:40,26/10/2023 07:12
AA-1878,Task,Closed,AA,Automation Analytics,software,Done,09/10/2023 09:16,31/10/2023 12:18
