Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
AESH-508,Bug,Resolved,AESH,Aesh,software,Done,03/10/2023 16:23,06/12/2023 09:35
AESH-507,Component Upgrade,Open,AESH,Aesh,software,,04/08/2022 13:23,
AESH-506,Feature Request,Open,AESH,Aesh,software,,08/03/2021 08:21,
AESH-505,Bug,Resolved,AESH,Aesh,software,Done,10/02/2021 11:43,19/02/2021 05:15
AESH-504,Enhancement,Resolved,AESH,Aesh,software,Done,02/07/2019 09:06,02/07/2019 10:06
AESH-503,Bug,Resolved,AESH,Aesh,software,Done,01/04/2019 06:52,04/04/2019 17:08
AESH-502,Bug,Resolved,AESH,Aesh,software,Done,27/02/2019 22:31,28/02/2019 08:04
AESH-501,Feature Request,Resolved,AESH,Aesh,software,Done,13/02/2019 10:39,09/04/2019 08:19
AESH-500,Enhancement,Resolved,AESH,Aesh,software,Done,11/02/2019 09:23,04/04/2019 17:05
AESH-499,Bug,Resolved,AESH,Aesh,software,Done,06/12/2018 04:02,15/01/2019 10:04
AESH-498,Task,Resolved,AESH,Aesh,software,Done,05/12/2018 04:27,15/01/2019 10:03
AESH-497,Bug,Resolved,AESH,Aesh,software,Duplicate,30/11/2018 04:56,18/12/2018 13:23
AESH-496,Enhancement,Open,AESH,Aesh,software,,28/11/2018 10:16,
AESH-495,Bug,Resolved,AESH,Aesh,software,Done,05/11/2018 13:06,06/11/2018 08:41
AESH-494,Bug,Resolved,AESH,Aesh,software,Done,19/10/2018 06:30,05/11/2018 08:44
AESH-493,Bug,Resolved,AESH,Aesh,software,Done,15/10/2018 15:20,16/10/2018 11:20
AESH-492,Feature Request,Resolved,AESH,Aesh,software,Done,11/10/2018 07:49,11/10/2018 07:56
AESH-491,Bug,Resolved,AESH,Aesh,software,Done,08/10/2018 04:54,11/10/2018 07:53
AESH-490,Bug,Resolved,AESH,Aesh,software,Done,01/10/2018 06:20,01/11/2018 10:12
AESH-489,Bug,Resolved,AESH,Aesh,software,Done,28/09/2018 05:10,11/10/2018 07:54
AESH-488,Bug,Open,AESH,Aesh,software,,17/09/2018 07:56,
AESH-487,Bug,Resolved,AESH,Aesh,software,Done,07/09/2018 07:18,01/11/2018 10:12
AESH-486,Feature Request,Resolved,AESH,Aesh,software,Done,07/09/2018 03:55,11/09/2018 04:44
AESH-485,Feature Request,Resolved,AESH,Aesh,software,Done,03/09/2018 08:57,11/09/2018 04:44
AESH-484,Bug,Resolved,AESH,Aesh,software,Done,30/08/2018 12:10,16/10/2018 11:41
AESH-483,Bug,Resolved,AESH,Aesh,software,Done,30/08/2018 11:49,11/09/2018 04:44
AESH-482,Bug,Resolved,AESH,Aesh,software,Done,23/08/2018 10:23,13/09/2018 07:12
AESH-481,Enhancement,Open,AESH,Aesh,software,,23/08/2018 09:30,
AESH-480,Bug,Resolved,AESH,Aesh,software,Done,23/08/2018 06:28,13/09/2018 07:55
AESH-479,Bug,Resolved,AESH,Aesh,software,Done,24/07/2018 07:26,24/07/2018 16:01
AESH-478,Bug,Resolved,AESH,Aesh,software,Done,17/07/2018 04:44,29/08/2018 10:14
AESH-477,Bug,Resolved,AESH,Aesh,software,Done,25/06/2018 11:07,26/06/2018 09:49
AESH-476,Bug,Resolved,AESH,Aesh,software,Done,20/06/2018 09:49,26/06/2018 05:30
AESH-475,Bug,Resolved,AESH,Aesh,software,Done,15/06/2018 15:45,22/06/2018 08:17
AESH-474,Enhancement,Resolved,AESH,Aesh,software,Done,11/06/2018 06:39,26/06/2018 09:50
AESH-473,Task,Resolved,AESH,Aesh,software,Done,08/06/2018 16:18,26/06/2018 05:31
AESH-472,Bug,Resolved,AESH,Aesh,software,Done,06/06/2018 15:08,08/06/2018 13:47
AESH-471,Bug,Resolved,AESH,Aesh,software,Duplicate,06/06/2018 07:48,06/06/2018 15:07
AESH-470,Bug,Open,AESH,Aesh,software,,05/06/2018 16:36,
AESH-469,Bug,Resolved,AESH,Aesh,software,Done,05/06/2018 13:08,26/06/2018 09:50
AESH-468,Bug,Resolved,AESH,Aesh,software,Done,04/06/2018 16:23,05/06/2018 13:07
AESH-467,Bug,Open,AESH,Aesh,software,,01/06/2018 04:59,
AESH-466,Bug,Resolved,AESH,Aesh,software,Done,30/05/2018 13:37,31/05/2018 06:44
AESH-465,Bug,Resolved,AESH,Aesh,software,Done,14/05/2018 05:32,15/05/2018 15:48
AESH-464,Task,Resolved,AESH,Aesh,software,Done,30/04/2018 05:55,30/04/2018 05:57
AESH-463,Bug,Resolved,AESH,Aesh,software,Won't Do,27/04/2018 12:02,26/06/2018 09:53
AESH-462,Bug,Resolved,AESH,Aesh,software,Done,26/04/2018 11:55,30/04/2018 05:49
AESH-461,Bug,Resolved,AESH,Aesh,software,Done,23/04/2018 08:17,26/06/2018 09:55
AESH-460,Bug,Resolved,AESH,Aesh,software,Done,07/03/2018 06:21,27/03/2018 11:09
AESH-459,Enhancement,Resolved,AESH,Aesh,software,Done,22/02/2018 09:15,27/03/2018 11:08
AESH-458,Bug,Resolved,AESH,Aesh,software,Done,19/02/2018 10:17,27/03/2018 11:09
AESH-457,Bug,Resolved,AESH,Aesh,software,Done,19/02/2018 10:12,27/03/2018 11:08
AESH-456,Bug,Resolved,AESH,Aesh,software,Done,17/02/2018 09:10,08/03/2018 09:02
AESH-455,Bug,Resolved,AESH,Aesh,software,Done,16/02/2018 13:06,27/03/2018 11:08
