Issue key,Issue Type,Status,Project key,Project name,Project type,Resolution,Created,Resolved
USHIFT-4871,Task,To Do,USHIFT,MicroShift,software,,12/11/2024 09:19,
USHIFT-4870,Task,To Do,USHIFT,MicroShift,software,,12/11/2024 09:19,
USHIFT-4869,Story,To Do,USHIFT,MicroShift,software,,12/11/2024 09:00,
USHIFT-4868,Story,To Do,USHIFT,MicroShift,software,,12/11/2024 08:22,
USHIFT-4865,Story,To Do,USHIFT,MicroShift,software,,11/11/2024 15:51,
USHIFT-4864,Spike,To Do,USHIFT,MicroShift,software,,11/11/2024 13:26,
USHIFT-4759,Bug,Closed,USHIFT,MicroShift,software,Duplicate,08/11/2024 15:35,08/11/2024 15:46
USHIFT-4758,Bug,Closed,USHIFT,MicroShift,software,Done,08/11/2024 07:33,08/11/2024 10:31
USHIFT-4757,Bug,Closed,USHIFT,MicroShift,software,Done,07/11/2024 11:02,08/11/2024 13:40
USHIFT-4753,Task,To Do,USHIFT,MicroShift,software,,07/11/2024 09:43,
USHIFT-4752,Story,Closed,USHIFT,MicroShift,software,Done,07/11/2024 06:04,12/11/2024 10:19
USHIFT-4746,Task,Closed,USHIFT,MicroShift,software,Done,06/11/2024 11:26,12/11/2024 08:50
USHIFT-4744,Bug,Closed,USHIFT,MicroShift,software,Done,04/11/2024 09:07,07/11/2024 07:49
USHIFT-4743,Task,Code Review,USHIFT,MicroShift,software,,04/11/2024 08:44,
USHIFT-4742,Story,To Do,USHIFT,MicroShift,software,,04/11/2024 07:51,
USHIFT-4741,Story,To Do,USHIFT,MicroShift,software,,03/11/2024 06:50,
USHIFT-4740,Bug,Closed,USHIFT,MicroShift,software,Done,03/11/2024 05:22,06/11/2024 14:57
USHIFT-4737,Story,To Do,USHIFT,MicroShift,software,,01/11/2024 11:30,
USHIFT-4727,Bug,Closed,USHIFT,MicroShift,software,Done,31/10/2024 10:57,11/11/2024 16:02
USHIFT-4726,Story,To Do,USHIFT,MicroShift,software,,31/10/2024 06:24,
USHIFT-4725,Story,To Do,USHIFT,MicroShift,software,,31/10/2024 06:21,
USHIFT-4724,Bug,Closed,USHIFT,MicroShift,software,Done,30/10/2024 06:02,30/10/2024 13:49
USHIFT-4723,Story,To Do,USHIFT,MicroShift,software,,29/10/2024 12:08,
USHIFT-4721,Story,To Do,USHIFT,MicroShift,software,,29/10/2024 09:31,
USHIFT-4720,Story,Code Review,USHIFT,MicroShift,software,,29/10/2024 06:21,
USHIFT-4717,Task,Closed,USHIFT,MicroShift,software,Duplicate,25/10/2024 09:29,25/10/2024 09:29
USHIFT-4715,Task,Closed,USHIFT,MicroShift,software,Done,24/10/2024 17:21,25/10/2024 15:51
USHIFT-4714,Bug,Closed,USHIFT,MicroShift,software,Done,24/10/2024 12:01,25/10/2024 10:42
USHIFT-4712,Bug,Closed,USHIFT,MicroShift,software,Done,23/10/2024 13:08,25/10/2024 07:18
USHIFT-4708,Bug,Closed,USHIFT,MicroShift,software,Done,21/10/2024 12:09,22/10/2024 07:29
USHIFT-4705,Task,Closed,USHIFT,MicroShift,software,Done,21/10/2024 08:32,28/10/2024 07:52
USHIFT-4704,Story,Closed,USHIFT,MicroShift,software,Done,20/10/2024 15:55,21/10/2024 13:47
USHIFT-4702,Bug,Closed,USHIFT,MicroShift,software,Done,18/10/2024 09:33,22/10/2024 07:34
USHIFT-4701,Task,Closed,USHIFT,MicroShift,software,Done,18/10/2024 06:48,18/10/2024 13:39
USHIFT-4696,Task,To Do,USHIFT,MicroShift,software,,17/10/2024 08:32,
USHIFT-4695,Task,To Do,USHIFT,MicroShift,software,,16/10/2024 17:50,
USHIFT-4694,Story,Closed,USHIFT,MicroShift,software,Done,16/10/2024 10:08,21/10/2024 11:56
USHIFT-4693,Task,To Do,USHIFT,MicroShift,software,,15/10/2024 21:39,
USHIFT-4690,Story,To Do,USHIFT,MicroShift,software,,15/10/2024 01:19,
USHIFT-4689,Story,To Do,USHIFT,MicroShift,software,,15/10/2024 01:19,
USHIFT-4688,Story,To Do,USHIFT,MicroShift,software,,15/10/2024 01:19,
USHIFT-4685,Task,Closed,USHIFT,MicroShift,software,Done,14/10/2024 10:26,15/10/2024 12:32
USHIFT-4684,Bug,Closed,USHIFT,MicroShift,software,Done,14/10/2024 05:13,14/10/2024 16:06
USHIFT-4575,Task,Closed,USHIFT,MicroShift,software,Done,10/10/2024 11:59,25/10/2024 14:21
USHIFT-4574,Task,To Do,USHIFT,MicroShift,software,,10/10/2024 11:49,
USHIFT-4573,Task,Closed,USHIFT,MicroShift,software,Done,10/10/2024 09:49,16/10/2024 08:27
USHIFT-4570,Task,Closed,USHIFT,MicroShift,software,Done,08/10/2024 14:18,09/10/2024 16:57
USHIFT-4568,Task,Closed,USHIFT,MicroShift,software,Done,08/10/2024 12:27,11/10/2024 07:24
USHIFT-4567,Task,Closed,USHIFT,MicroShift,software,Done,08/10/2024 08:44,15/10/2024 12:32
USHIFT-4566,Story,To Do,USHIFT,MicroShift,software,,08/10/2024 06:31,
USHIFT-4565,Task,Closed,USHIFT,MicroShift,software,Done,07/10/2024 15:21,24/10/2024 17:20
USHIFT-4561,Task,Closed,USHIFT,MicroShift,software,Done,04/10/2024 09:37,07/10/2024 07:12
USHIFT-4551,Task,Closed,USHIFT,MicroShift,software,Done,30/09/2024 10:19,04/10/2024 09:36
USHIFT-4550,Task,Closed,USHIFT,MicroShift,software,Obsolete,30/09/2024 09:19,08/11/2024 08:30
USHIFT-4548,Task,To Do,USHIFT,MicroShift,software,,30/09/2024 07:39,
USHIFT-4547,Bug,Closed,USHIFT,MicroShift,software,Done,30/09/2024 05:58,07/10/2024 16:52
USHIFT-4546,Story,To Do,USHIFT,MicroShift,software,,29/09/2024 23:10,
USHIFT-4545,Story,To Do,USHIFT,MicroShift,software,,29/09/2024 23:10,
USHIFT-4544,Story,To Do,USHIFT,MicroShift,software,,29/09/2024 23:10,
USHIFT-4543,Story,To Do,USHIFT,MicroShift,software,,29/09/2024 23:10,
USHIFT-4538,Task,Closed,USHIFT,MicroShift,software,Done,26/09/2024 06:19,31/10/2024 14:11
