 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,1.26,0.0,0.0,0.0,0.0,0.0,0.0
08:00 - 09:00,0.42,0.0,0.0,0.0,1.68,0.0,0.0
09:00 - 10:00,2.52,1.26,2.52,0.42,0.42,0.0,0.0
10:00 - 11:00,2.1,2.52,8.4,2.1,3.36,0.0,0.0
11:00 - 12:00,1.68,2.94,6.3,2.52,0.42,0.0,0.0
12:00 - 13:00,0.0,2.52,5.04,0.0,1.26,0.0,0.0
13:00 - 14:00,2.52,0.42,1.26,0.42,0.42,0.0,0.0
14:00 - 15:00,2.52,0.84,0.0,2.94,2.94,0.0,0.0
15:00 - 16:00,1.26,3.78,1.26,2.94,3.78,0.0,0.0
16:00 - 17:00,0.0,0.42,0.0,2.94,5.04,0.0,0.0
17:00 - 18:00,1.68,2.1,1.68,2.94,2.94,0.0,0.0
18:00 - 19:00,0.0,0.42,0.0,0.0,0.0,0.0,0.0
19:00 - 20:00,0.0,0.0,0.84,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
