Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
FSSECSUP-99,204486,FSSECSUP,,software,Resolved,Sub-task,18/08/2015 13:54,21/08/2015 15:17
FSSECSUP-98,204289,FSSECSUP,,software,Resolved,Sub-task,17/08/2015 08:31,18/08/2015 13:53
FSSECSUP-97,204288,FSSECSUP,,software,Resolved,Sub-task,17/08/2015 08:29,21/08/2015 15:17
FSSECSUP-96,204220,FSSECSUP,,software,Resolved,Sub-task,13/08/2015 14:18,17/08/2015 08:28
FSSECSUP-95,203745,FSSECSUP,,software,Resolved,Sub-task,07/08/2015 10:38,07/08/2015 13:03
FSSECSUP-94,203730,FSSECSUP,,software,Resolved,Sub-task,07/08/2015 09:00,13/08/2015 14:18
FSSECSUP-93,203681,FSSECSUP,,software,Resolved,Sub-task,06/08/2015 14:47,12/08/2015 11:23
FSSECSUP-92,203387,FSSECSUP,,software,Resolved,Sub-task,05/08/2015 14:21,12/08/2015 10:19
FSSECSUP-91,203386,FSSECSUP,,software,Resolved,Sub-task,05/08/2015 14:21,12/08/2015 10:19
FSSECSUP-90,203193,FSSECSUP,,software,Resolved,Sub-task,03/08/2015 15:21,06/08/2015 09:02
FSSECSUP-89,202974,FSSECSUP,,software,Resolved,Sub-task,31/07/2015 11:27,06/08/2015 09:02
FSSECSUP-88,202871,FSSECSUP,,software,Resolved,Sub-task,30/07/2015 12:01,11/08/2015 14:33
FSSECSUP-87,202664,FSSECSUP,,software,Resolved,Sub-task,28/07/2015 10:46,28/07/2015 14:07
FSSECSUP-86,202561,FSSECSUP,,software,Resolved,Sub-task,27/07/2015 08:02,27/07/2015 12:07
FSSECSUP-85,202530,FSSECSUP,,software,Resolved,Sub-task,24/07/2015 15:02,27/07/2015 11:46
FSSECSUP-84,202528,FSSECSUP,,software,Resolved,Sub-task,24/07/2015 14:56,27/07/2015 14:15
FSSECSUP-83,202343,FSSECSUP,,software,Resolved,Sub-task,22/07/2015 09:17,18/08/2015 13:53
