 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,0,0,0,0,0,0,0
08:00 - 09:00,2,10,2,3,5,0,0
09:00 - 10:00,7,4,8,4,10,0,0
10:00 - 11:00,5,9,8,4,6,0,0
11:00 - 12:00,7,9,9,13,8,0,0
12:00 - 13:00,4,6,4,6,11,0,0
13:00 - 14:00,16,11,5,4,5,0,0
14:00 - 15:00,5,7,10,8,8,0,0
15:00 - 16:00,7,11,15,17,7,0,0
16:00 - 17:00,20,3,3,16,4,0,0
17:00 - 18:00,0,7,4,1,1,0,0
18:00 - 19:00,0,5,2,3,1,0,0
19:00 - 20:00,4,2,3,3,1,0,0
20:00 - 21:00,5,3,3,2,2,1,0
21:00 - 22:00,1,0,0,2,5,0,0
22:00 - 23:00,0,0,0,0,0,0,1
23:00 - 00:00,0,0,0,0,0,0,0
