 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,2,5,1,0,0,0,1
01:00 - 02:00,1,0,0,0,1,0,0
02:00 - 03:00,0,0,0,0,3,0,1
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,2,0,0
05:00 - 06:00,5,0,0,0,2,0,2
06:00 - 07:00,0,0,0,0,0,0,1
07:00 - 08:00,1,0,1,0,0,0,0
08:00 - 09:00,4,1,4,1,2,0,0
09:00 - 10:00,9,5,2,8,5,0,1
10:00 - 11:00,4,5,10,7,4,0,2
11:00 - 12:00,8,10,3,13,6,0,0
12:00 - 13:00,4,9,1,3,8,0,2
13:00 - 14:00,7,7,11,4,39,0,0
14:00 - 15:00,5,21,7,10,11,0,0
15:00 - 16:00,6,26,3,14,4,4,1
16:00 - 17:00,8,9,13,9,16,1,2
17:00 - 18:00,7,3,23,5,4,1,0
18:00 - 19:00,3,5,1,1,2,6,2
19:00 - 20:00,0,0,1,3,0,2,1
20:00 - 21:00,0,0,0,2,0,1,3
21:00 - 22:00,3,1,0,1,0,1,0
22:00 - 23:00,0,0,2,2,2,1,1
23:00 - 00:00,4,3,0,1,0,0,1
