Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
GOODIMNG-202,51184,GOODIMNG,,software,Resolved,Task,21/02/2011 08:44,21/02/2011 10:22
GOODIMNG-201,49787,GOODIMNG,,software,Resolved,Sub-task,31/01/2011 09:59,31/01/2011 11:34
GOODIMNG-200,49671,GOODIMNG,,software,Resolved,Sub-task,28/01/2011 10:01,02/02/2011 09:13
GOODIMNG-199,49670,GOODIMNG,,software,Resolved,Sub-task,28/01/2011 09:59,23/02/2011 13:17
GOODIMNG-198,49668,GOODIMNG,,software,Resolved,Sub-task,28/01/2011 09:56,31/01/2011 11:37
GOODIMNG-197,49602,GOODIMNG,,software,Resolved,Sub-task,27/01/2011 09:25,21/02/2011 12:57
GOODIMNG-196,49601,GOODIMNG,,software,Resolved,Sub-task,27/01/2011 09:23,31/01/2011 11:37
GOODIMNG-195,49600,GOODIMNG,,software,Resolved,Sub-task,27/01/2011 09:22,07/02/2011 10:03
GOODIMNG-194,49325,GOODIMNG,,software,Resolved,Task,22/01/2011 14:01,22/01/2011 15:06
GOODIMNG-193,49273,GOODIMNG,,software,Resolved,Sub-task,21/01/2011 10:03,07/02/2011 10:02
GOODIMNG-192,49186,GOODIMNG,,software,Resolved,Task,20/01/2011 09:54,20/01/2011 17:06
GOODIMNG-191,49182,GOODIMNG,,software,Resolved,Sub-task,20/01/2011 08:34,20/01/2011 09:11
GOODIMNG-190,49005,GOODIMNG,,software,Closed,Sub-task,17/01/2011 16:21,07/02/2011 09:57
GOODIMNG-189,48400,GOODIMNG,,software,Resolved,Sub-task,10/01/2011 09:36,24/01/2011 14:21
GOODIMNG-188,48330,GOODIMNG,,software,Resolved,Task,07/01/2011 14:44,24/01/2011 14:27
GOODIMNG-187,48328,GOODIMNG,,software,Resolved,Bug,07/01/2011 14:42,10/01/2011 14:47
GOODIMNG-186,48300,GOODIMNG,,software,Resolved,Sub-task,07/01/2011 10:18,27/01/2011 15:48
GOODIMNG-185,48266,GOODIMNG,,software,Resolved,Task,05/01/2011 17:03,05/01/2011 17:03
GOODIMNG-184,48238,GOODIMNG,,software,Resolved,Sub-task,05/01/2011 13:17,11/01/2011 11:03
GOODIMNG-183,48236,GOODIMNG,,software,Resolved,Sub-task,05/01/2011 13:14,10/01/2011 14:49
GOODIMNG-182,48234,GOODIMNG,,software,Closed,Sub-task,05/01/2011 13:06,10/01/2011 14:50
GOODIMNG-181,48204,GOODIMNG,,software,Resolved,Task,05/01/2011 11:16,10/01/2011 09:34
