Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
PMUAPP-719,393431,PMUAPP,,software,Done,Task,15/02/2017 10:26,15/02/2017 10:27
PMUAPP-718,389854,PMUAPP,,software,Done,Task,02/02/2017 16:07,07/02/2017 13:32
PMUAPP-717,389429,PMUAPP,,software,Done,Improvement,01/02/2017 14:38,01/02/2017 14:38
PMUAPP-716,387209,PMUAPP,,software,QA Validating,Task,30/01/2017 21:06,
PMUAPP-715,356400,PMUAPP,,software,Code Review,Bug,16/12/2016 11:32,
PMUAPP-714,354333,PMUAPP,,software,To Do,Bug,15/12/2016 10:11,
PMUAPP-713,354331,PMUAPP,,software,In progress,Bug,15/12/2016 10:05,
PMUAPP-712,354092,PMUAPP,,software,QA Validating,Task,14/12/2016 11:56,
PMUAPP-711,354062,PMUAPP,,software,QA Validating,Task,14/12/2016 11:20,
PMUAPP-710,354019,PMUAPP,,software,QA Validating,Task,14/12/2016 10:30,
PMUAPP-709,353848,PMUAPP,,software,Code Review,Bug,13/12/2016 13:54,
PMUAPP-708,353824,PMUAPP,,software,Done,Task,13/12/2016 13:26,13/12/2016 13:49
PMUAPP-707,346666,PMUAPP,,software,Done,Task,13/12/2016 10:45,13/12/2016 11:05
PMUAPP-706,346321,PMUAPP,,software,QA Validating,Task,12/12/2016 14:49,
PMUAPP-705,339257,PMUAPP,,software,Done,Task,12/12/2016 11:50,12/12/2016 13:16
PMUAPP-704,339231,PMUAPP,,software,Done,Task,12/12/2016 11:09,12/12/2016 12:37
PMUAPP-703,339211,PMUAPP,,software,Done,Task,12/12/2016 10:48,12/12/2016 14:40
PMUAPP-702,336235,PMUAPP,,software,Done,Bug,08/12/2016 09:43,12/12/2016 13:16
PMUAPP-701,336234,PMUAPP,,software,In progress,Bug,08/12/2016 09:40,
PMUAPP-700,336218,PMUAPP,,software,In progress,Bug,08/12/2016 08:19,
PMUAPP-699,335569,PMUAPP,,software,Done,Bug,05/12/2016 14:06,12/12/2016 15:04
PMUAPP-698,329853,PMUAPP,,software,Blocked,Bug,02/12/2016 10:09,
PMUAPP-697,329584,PMUAPP,,software,Done,Bug,01/12/2016 11:57,12/12/2016 15:04
PMUAPP-696,329568,PMUAPP,,software,Done,Task,01/12/2016 11:40,12/12/2016 12:44
PMUAPP-695,329567,PMUAPP,,software,Done,Bug,01/12/2016 11:39,01/12/2016 14:08
PMUAPP-694,329565,PMUAPP,,software,Done,Task,01/12/2016 11:39,12/12/2016 13:16
PMUAPP-693,329541,PMUAPP,,software,Done,Bug,01/12/2016 11:08,01/12/2016 14:08
PMUAPP-692,329042,PMUAPP,,software,Code Review,Task,30/11/2016 10:11,
PMUAPP-691,328849,PMUAPP,,software,To Do,Task,29/11/2016 14:17,
PMUAPP-690,328686,PMUAPP,,software,Done,Task,29/11/2016 10:28,30/11/2016 13:29
PMUAPP-689,328685,PMUAPP,,software,Done,Task,29/11/2016 10:25,29/11/2016 23:27
PMUAPP-688,325822,PMUAPP,,software,Done,Task,25/11/2016 13:34,30/11/2016 13:36
PMUAPP-687,323902,PMUAPP,,software,Done,Task,24/11/2016 11:32,01/12/2016 14:08
PMUAPP-686,323876,PMUAPP,,software,Done,Task,24/11/2016 10:24,24/11/2016 10:26
PMUAPP-685,323875,PMUAPP,,software,Done,Task,24/11/2016 10:24,30/11/2016 15:12
PMUAPP-684,323874,PMUAPP,,software,Done,Task,24/11/2016 10:23,01/12/2016 14:08
PMUAPP-683,323873,PMUAPP,,software,Done,Task,24/11/2016 10:23,01/12/2016 14:08
PMUAPP-682,323868,PMUAPP,,software,Done,Task,24/11/2016 10:16,25/11/2016 12:49
PMUAPP-681,323867,PMUAPP,,software,Done,Task,24/11/2016 10:16,25/11/2016 12:55
PMUAPP-680,323864,PMUAPP,,software,Done,Task,24/11/2016 10:13,25/11/2016 12:55
PMUAPP-679,323863,PMUAPP,,software,Done,Task,24/11/2016 10:13,25/11/2016 12:55
PMUAPP-678,323805,PMUAPP,,software,Done,New Feature,23/11/2016 23:11,30/11/2016 13:38
PMUAPP-677,322246,PMUAPP,,software,Done,New Feature,22/11/2016 21:52,12/12/2016 13:16
PMUAPP-676,322245,PMUAPP,,software,Done,New Feature,22/11/2016 21:52,12/12/2016 13:16
PMUAPP-675,322076,PMUAPP,,software,Done,Bug,22/11/2016 10:39,22/11/2016 14:48
PMUAPP-674,321923,PMUAPP,,software,Done,Bug,21/11/2016 13:51,22/11/2016 09:27
PMUAPP-673,321693,PMUAPP,,software,Done,Task,18/11/2016 15:43,25/11/2016 12:49
PMUAPP-672,321287,PMUAPP,,software,Done,Bug,17/11/2016 13:10,23/11/2016 13:01
PMUAPP-671,321286,PMUAPP,,software,To Do,Bug,17/11/2016 13:05,
PMUAPP-670,321217,PMUAPP,,software,Done,Bug,17/11/2016 11:13,18/11/2016 13:14
PMUAPP-669,318065,PMUAPP,,software,Done,Bug,14/11/2016 13:19,23/11/2016 13:02
PMUAPP-668,315923,PMUAPP,,software,Done,Bug,03/11/2016 15:12,23/11/2016 13:01
PMUAPP-667,315882,PMUAPP,,software,Done,Bug,03/11/2016 14:09,22/11/2016 10:58
PMUAPP-666,315557,PMUAPP,,software,Done,Task,02/11/2016 13:40,24/11/2016 06:50
PMUAPP-665,314994,PMUAPP,,software,Done,Bug,28/10/2016 14:38,04/11/2016 07:34
PMUAPP-664,314829,PMUAPP,,software,Done,Task,28/10/2016 09:48,22/11/2016 10:59
