 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0,0,0,0,0,0,0
01:00 - 02:00,0,0,0,0,0,0,0
02:00 - 03:00,0,0,0,0,0,0,0
03:00 - 04:00,0,0,0,0,0,0,0
04:00 - 05:00,0,0,0,0,0,0,0
05:00 - 06:00,0,0,0,0,0,0,0
06:00 - 07:00,0,0,0,0,0,0,0
07:00 - 08:00,3,2,2,0,4,0,0
08:00 - 09:00,16,15,23,6,13,0,0
09:00 - 10:00,17,22,25,9,22,0,0
10:00 - 11:00,16,11,16,15,12,0,0
11:00 - 12:00,18,22,23,24,15,0,0
12:00 - 13:00,13,23,21,25,21,0,0
13:00 - 14:00,30,23,30,12,15,0,0
14:00 - 15:00,15,19,31,17,21,0,0
15:00 - 16:00,9,2,9,16,10,0,0
16:00 - 17:00,3,4,6,9,1,0,0
17:00 - 18:00,0,1,1,3,0,0,0
18:00 - 19:00,0,4,0,5,0,0,0
19:00 - 20:00,0,0,0,0,0,0,0
20:00 - 21:00,0,0,0,0,0,0,0
21:00 - 22:00,0,0,0,0,0,0,0
22:00 - 23:00,0,0,0,0,0,0,0
23:00 - 00:00,0,0,0,0,0,0,0
