 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.0,0.78,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.26,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.13,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.13,0.39,0.0,0.0,0.0
08:00 - 09:00,0.91,1.29,0.78,0.65,2.98,0.0,0.0
09:00 - 10:00,1.16,3.36,1.42,3.49,2.07,0.0,0.0
10:00 - 11:00,2.2,3.1,2.72,1.94,2.33,0.0,0.0
11:00 - 12:00,3.88,2.98,1.16,3.23,3.23,0.0,0.0
12:00 - 13:00,1.94,3.23,1.29,3.62,1.81,0.0,0.0
13:00 - 14:00,1.55,2.33,0.91,1.03,2.46,0.0,0.0
14:00 - 15:00,2.07,1.94,1.29,3.49,2.33,0.0,0.0
15:00 - 16:00,1.55,2.2,1.68,1.42,2.46,0.0,0.0
16:00 - 17:00,0.39,0.52,0.91,1.68,1.94,0.0,0.39
17:00 - 18:00,0.39,0.91,0.78,0.65,0.65,0.0,0.0
18:00 - 19:00,0.13,0.65,0.39,0.26,0.0,0.13,0.0
19:00 - 20:00,0.0,0.65,0.0,0.13,0.0,0.26,0.0
20:00 - 21:00,0.0,0.13,0.0,0.13,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22:00 - 23:00,0.0,0.26,0.26,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.26,0.0,0.0,0.0,0.0,0.0
