 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,3,1,0,0,1,0,0
01:00 - 02:00,2,0,1,1,10,3,1
02:00 - 03:00,11,22,2,1,5,6,0
03:00 - 04:00,16,8,8,12,11,0,0
04:00 - 05:00,10,2,5,1,12,0,0
05:00 - 06:00,0,1,1,0,0,0,0
06:00 - 07:00,0,2,4,0,0,0,0
07:00 - 08:00,0,0,2,1,2,0,0
08:00 - 09:00,7,7,11,7,1,0,0
09:00 - 10:00,11,7,22,17,10,0,0
10:00 - 11:00,15,2,34,19,10,0,0
11:00 - 12:00,4,2,14,9,10,0,0
12:00 - 13:00,12,13,11,24,11,0,0
13:00 - 14:00,18,26,10,13,7,0,0
14:00 - 15:00,7,14,19,34,15,0,1
15:00 - 16:00,9,9,15,8,5,0,0
16:00 - 17:00,6,6,8,15,2,0,1
17:00 - 18:00,1,1,8,4,1,0,0
18:00 - 19:00,1,2,0,2,5,0,0
19:00 - 20:00,2,0,2,1,3,1,4
20:00 - 21:00,1,3,2,1,0,0,1
21:00 - 22:00,0,1,4,4,1,0,0
22:00 - 23:00,0,8,0,4,0,0,0
23:00 - 00:00,0,2,0,2,0,0,2
