Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
PSDTWO-154,505967,PSDTWO,,software,In progress,New Feature,26/02/2018 16:28,
PSDTWO-153,505892,PSDTWO,,software,To Do,Bug,26/02/2018 14:31,
PSDTWO-152,503371,PSDTWO,,software,To Do,Story,16/02/2018 13:14,
PSDTWO-149,503213,PSDTWO,,software,To Do,Story,15/02/2018 16:57,
PSDTWO-148,503211,PSDTWO,,software,To Do,Story,15/02/2018 16:55,
PSDTWO-147,503210,PSDTWO,,software,To Do,Story,15/02/2018 16:52,
PSDTWO-146,503197,PSDTWO,,software,To Do,Story,15/02/2018 16:11,
PSDTWO-145,503190,PSDTWO,,software,To Do,Epic,15/02/2018 16:07,
PSDTWO-144,503187,PSDTWO,,software,To Do,Story,15/02/2018 16:05,
PSDTWO-143,503181,PSDTWO,,software,To Do,Story,15/02/2018 16:03,
PSDTWO-142,503178,PSDTWO,,software,To Do,Story,15/02/2018 15:57,
PSDTWO-141,503166,PSDTWO,,software,To Do,Story,15/02/2018 15:27,
PSDTWO-140,503158,PSDTWO,,software,To Do,Epic,15/02/2018 15:16,
PSDTWO-139,503143,PSDTWO,,software,To Do,Story,15/02/2018 14:32,
PSDTWO-138,503131,PSDTWO,,software,To Do,Story,15/02/2018 14:15,
PSDTWO-137,503127,PSDTWO,,software,To Do,Story,15/02/2018 14:11,
PSDTWO-136,503118,PSDTWO,,software,To Do,Story,15/02/2018 14:01,
PSDTWO-135,503116,PSDTWO,,software,To Do,Story,15/02/2018 13:59,
PSDTWO-134,503114,PSDTWO,,software,To Do,Story,15/02/2018 13:56,
PSDTWO-133,503095,PSDTWO,,software,To Do,Story,15/02/2018 13:38,
PSDTWO-132,503084,PSDTWO,,software,To Do,Story,15/02/2018 12:59,
PSDTWO-131,503080,PSDTWO,,software,To Do,Epic,15/02/2018 12:41,
PSDTWO-130,503079,PSDTWO,,software,To Do,Story,15/02/2018 12:36,
PSDTWO-129,503071,PSDTWO,,software,To Do,Story,15/02/2018 12:29,
PSDTWO-128,503068,PSDTWO,,software,To Do,Story,15/02/2018 12:27,
PSDTWO-127,503064,PSDTWO,,software,To Do,Story,15/02/2018 12:23,
PSDTWO-126,503061,PSDTWO,,software,To Do,Story,15/02/2018 12:20,
PSDTWO-125,503051,PSDTWO,,software,To Do,Story,15/02/2018 12:06,
PSDTWO-124,502789,PSDTWO,,software,To Do,Epic,14/02/2018 12:16,
PSDTWO-121,492722,PSDTWO,,software,To Do,New Feature,08/01/2018 16:07,
PSDTWO-120,490399,PSDTWO,,software,To Do,Task,22/12/2017 15:44,
PSDTWO-119,490397,PSDTWO,,software,To Do,Task,22/12/2017 15:42,
PSDTWO-118,490394,PSDTWO,,software,To Do,Task,22/12/2017 15:36,
PSDTWO-117,490391,PSDTWO,,software,To Do,Task,22/12/2017 15:34,
PSDTWO-116,490374,PSDTWO,,software,To Do,Sub-task,22/12/2017 14:48,
PSDTWO-115,490368,PSDTWO,,software,To Do,Sub-task,22/12/2017 14:44,
PSDTWO-114,490365,PSDTWO,,software,To Do,Sub-task,22/12/2017 14:37,
