 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.0,0.0,0.35,0.0,0.0
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06:00 - 07:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07:00 - 08:00,0.0,0.0,0.35,0.0,0.0,0.0,0.0
08:00 - 09:00,1.05,0.7,0.35,1.05,1.74,0.0,0.0
09:00 - 10:00,1.39,1.05,2.09,1.05,0.7,0.0,0.0
10:00 - 11:00,1.74,1.05,0.7,1.74,2.79,0.0,0.0
11:00 - 12:00,2.44,1.39,1.05,1.39,3.14,0.0,0.0
12:00 - 13:00,1.74,2.79,2.09,1.05,0.35,0.0,0.0
13:00 - 14:00,1.05,2.44,2.79,3.83,3.14,0.0,0.0
14:00 - 15:00,12.2,2.09,3.14,1.39,3.14,0.0,0.0
15:00 - 16:00,4.18,3.14,6.27,0.7,1.39,0.0,0.0
16:00 - 17:00,1.05,0.35,3.83,0.35,1.39,0.0,0.0
17:00 - 18:00,1.39,0.35,1.39,0.35,0.7,0.0,0.0
18:00 - 19:00,0.0,0.0,0.0,0.0,0.35,0.0,0.0
19:00 - 20:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20:00 - 21:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21:00 - 22:00,0.0,0.0,0.0,0.0,0.0,0.0,0.35
22:00 - 23:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23:00 - 00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
