Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
RESMOB-164,702458,RESMOB,,software,To Do,Task,15/01/2021 10:03,
RESMOB-163,702451,RESMOB,,software,In progress,Story,15/01/2021 09:45,
RESMOB-162,700231,RESMOB,,software,Done,Task,17/12/2020 11:42,17/12/2020 13:29
RESMOB-161,689037,RESMOB,,software,Done,Bug,15/09/2020 10:11,24/09/2020 11:07
RESMOB-160,683596,RESMOB,,software,Done,Bug,21/07/2020 16:10,23/07/2020 09:13
RESMOB-159,683491,RESMOB,,software,To Do,Task,21/07/2020 07:15,
RESMOB-158,683490,RESMOB,,software,Done,Task,21/07/2020 07:03,04/12/2020 12:28
RESMOB-157,683413,RESMOB,,software,Done,Bug,20/07/2020 14:54,20/07/2020 15:33
RESMOB-156,683412,RESMOB,,software,To Do,Bug,20/07/2020 14:53,
RESMOB-155,681951,RESMOB,,software,Done,Bug,08/07/2020 10:32,15/09/2020 11:06
RESMOB-154,681950,RESMOB,,software,To Do,Bug,08/07/2020 10:29,
RESMOB-153,681083,RESMOB,,software,Done,Bug,01/07/2020 12:30,03/07/2020 15:29
RESMOB-152,680235,RESMOB,,software,Done,Bug,24/06/2020 14:24,03/07/2020 15:29
RESMOB-151,680234,RESMOB,,software,To Do,Task,24/06/2020 14:23,
RESMOB-150,680110,RESMOB,,software,To Do,Story,23/06/2020 13:39,
RESMOB-149,680107,RESMOB,,software,To Do,Bug,23/06/2020 13:37,
RESMOB-148,680106,RESMOB,,software,To Do,Bug,23/06/2020 13:34,
RESMOB-147,680105,RESMOB,,software,Done,Story,23/06/2020 13:33,15/07/2020 14:45
RESMOB-146,680104,RESMOB,,software,To Do,Story,23/06/2020 13:30,
RESMOB-145,680102,RESMOB,,software,Done,Story,23/06/2020 13:27,23/06/2020 13:42
RESMOB-144,680095,RESMOB,,software,To Do,Story,23/06/2020 13:21,
RESMOB-143,680094,RESMOB,,software,Done,Bug,23/06/2020 13:16,06/07/2020 15:29
RESMOB-142,680065,RESMOB,,software,In progress,Story,23/06/2020 11:31,
RESMOB-141,680063,RESMOB,,software,Done,Bug,23/06/2020 11:29,06/07/2020 15:30
