 ,Mon,Tue,Wed,Thu,Fri,Sat,Sun
00:00 - 01:00,0.0,0.0,0.17,0.02,0.02,0.0,0.03
01:00 - 02:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02:00 - 03:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03:00 - 04:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04:00 - 05:00,0.0,0.0,0.02,0.0,0.0,0.0,0.0
05:00 - 06:00,0.0,0.0,0.02,0.0,0.0,0.0,0.0
06:00 - 07:00,0.07,0.17,0.03,0.0,0.0,0.0,0.0
07:00 - 08:00,0.47,0.29,0.41,0.2,0.17,0.0,0.0
08:00 - 09:00,0.66,0.56,1.24,0.61,0.7,0.0,0.0
09:00 - 10:00,5.78,1.51,2.73,1.71,1.9,0.0,0.0
10:00 - 11:00,1.87,2.44,1.61,1.78,1.9,0.0,0.0
11:00 - 12:00,2.05,2.63,1.56,2.29,2.32,0.0,0.02
12:00 - 13:00,1.83,2.29,1.66,1.73,1.75,0.0,0.02
13:00 - 14:00,1.46,2.15,1.81,1.68,1.78,0.02,0.0
14:00 - 15:00,2.48,2.92,2.51,2.26,2.14,0.0,0.02
15:00 - 16:00,1.8,2.58,2.12,1.83,1.87,0.08,0.02
16:00 - 17:00,1.7,1.87,1.36,1.37,2.76,0.07,0.0
17:00 - 18:00,0.61,1.05,0.66,0.59,0.41,0.12,0.14
18:00 - 19:00,0.22,0.59,0.76,0.46,0.05,0.03,0.05
19:00 - 20:00,0.14,0.53,0.17,0.17,0.03,0.0,0.1
20:00 - 21:00,0.17,0.31,0.17,0.19,0.02,0.0,0.1
21:00 - 22:00,0.27,0.56,0.03,0.05,0.0,0.03,0.07
22:00 - 23:00,0.15,0.31,0.05,0.14,0.0,0.08,0.07
23:00 - 00:00,0.02,0.34,0.05,0.03,0.0,0.0,0.03
