Issue key,Issue id,Project key,,Project type,Status,Issue Type,Created,Resolved
TSSA-488,471349,TSSA,,software,Open,Story,18/10/2017 15:39,
TSSA-487,469924,TSSA,,software,Open,Story,13/10/2017 15:09,
TSSA-486,469106,TSSA,,software,Open,Story,11/10/2017 13:31,
TSSA-485,468710,TSSA,,software,Ready for Development,Bug,10/10/2017 15:28,
TSSA-484,467406,TSSA,,software,Open,Story,05/10/2017 15:19,
TSSA-483,467364,TSSA,,software,Open,Story,05/10/2017 13:46,
TSSA-482,467254,TSSA,,software,Open,Story,05/10/2017 11:23,
TSSA-481,465359,TSSA,,software,Open,Story,29/09/2017 08:48,
TSSA-480,463917,TSSA,,software,Ready for Development,Bug,25/09/2017 16:42,
TSSA-479,463861,TSSA,,software,Open,Story,25/09/2017 15:36,
TSSA-478,463687,TSSA,,software,Open,Story,25/09/2017 11:28,
TSSA-477,462809,TSSA,,software,Ready for Development,Task,20/09/2017 14:31,
TSSA-476,462749,TSSA,,software,Ready for Review,Task,20/09/2017 13:24,
TSSA-475,460253,TSSA,,software,Ready for Development,Task,11/09/2017 17:28,
TSSA-474,453997,TSSA,,software,Ready,Decision,21/08/2017 13:03,
TSSA-473,452222,TSSA,,software,Ready for Development,Bug,11/08/2017 09:27,
TSSA-472,452215,TSSA,,software,Tested,Bug,11/08/2017 08:47,
TSSA-471,451764,TSSA,,software,Ready for Development,Bug,09/08/2017 15:54,
TSSA-470,451762,TSSA,,software,Open,Decision,09/08/2017 15:43,
TSSA-469,451724,TSSA,,software,Ready for Development,Bug,09/08/2017 13:32,
TSSA-468,451712,TSSA,,software,Rejected,Bug,09/08/2017 13:20,
TSSA-467,451707,TSSA,,software,Tested,Bug,09/08/2017 12:55,
TSSA-466,451703,TSSA,,software,Ready for Development,Bug,09/08/2017 12:45,
TSSA-465,451689,TSSA,,software,Ready for Development,Bug,09/08/2017 12:38,
TSSA-464,451684,TSSA,,software,Ready for Development,Bug,09/08/2017 12:21,
TSSA-463,451605,TSSA,,software,Tested,Bug,09/08/2017 09:51,
TSSA-462,451598,TSSA,,software,Open,Decision,09/08/2017 09:30,
TSSA-461,451368,TSSA,,software,Tested,Bug,08/08/2017 12:12,
TSSA-460,451365,TSSA,,software,Ready for Development,Bug,08/08/2017 12:07,
TSSA-459,451361,TSSA,,software,Tested,Bug,08/08/2017 12:05,
TSSA-458,451343,TSSA,,software,Tested,Bug,08/08/2017 11:42,
TSSA-457,451320,TSSA,,software,Tested,Bug,08/08/2017 11:05,
TSSA-456,451316,TSSA,,software,Ready for Development,Bug,08/08/2017 10:56,
TSSA-455,451312,TSSA,,software,Tested,Bug,08/08/2017 10:50,
TSSA-454,451303,TSSA,,software,Tested,Bug,08/08/2017 10:43,
TSSA-453,451301,TSSA,,software,Tested,Bug,08/08/2017 10:39,
TSSA-452,451298,TSSA,,software,Tested,Bug,08/08/2017 10:33,
TSSA-451,450946,TSSA,,software,Ready for Development,Sub-Task,07/08/2017 09:47,
TSSA-450,450945,TSSA,,software,Tested,Sub-task,07/08/2017 09:47,
TSSA-449,450606,TSSA,,software,Done,Bug,04/08/2017 09:39,
TSSA-448,449691,TSSA,,software,Done,Bug,02/08/2017 09:20,
TSSA-447,449197,TSSA,,software,Done,Decision,01/08/2017 08:36,
TSSA-446,448610,TSSA,,software,Ready for Development,Bug,31/07/2017 10:46,
TSSA-445,447799,TSSA,,software,Tested,Bug,27/07/2017 10:21,
TSSA-444,447680,TSSA,,software,Ready for Development,Bug,26/07/2017 15:50,
TSSA-443,447603,TSSA,,software,Ready for Development,Bug,26/07/2017 15:07,
TSSA-442,446967,TSSA,,software,Done,Decision,25/07/2017 09:44,
TSSA-441,446635,TSSA,,software,Done,Sub-task,24/07/2017 10:24,
TSSA-440,446634,TSSA,,software,Done,Sub-task,24/07/2017 10:23,
TSSA-439,446560,TSSA,,software,Done,Decision,24/07/2017 08:53,
TSSA-438,446390,TSSA,,software,Ready for Development,Sub-Task,21/07/2017 12:50,
TSSA-437,446389,TSSA,,software,In progress,Sub-Task,21/07/2017 12:50,
TSSA-436,446376,TSSA,,software,Ready,Decision,21/07/2017 12:06,
TSSA-435,446375,TSSA,,software,Done,Task,21/07/2017 12:02,
TSSA-434,446374,TSSA,,software,Done,Task,21/07/2017 12:01,
TSSA-433,446349,TSSA,,software,Open,Story,21/07/2017 11:22,
TSSA-432,446346,TSSA,,software,Open,Story,21/07/2017 11:17,
