Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
BUILDR-736,13183974,BUILDR,Bug,false,Open,,2018-09-10 08:53:33,
BUILDR-735,13168018,BUILDR,Bug,false,Open,,2018-06-25 11:26:56,
BUILDR-734,13167611,BUILDR,Bug,false,Open,,2018-06-22 10:06:05,
BUILDR-733,13109911,BUILDR,Bug,false,Closed,Fixed,2017-10-17 08:31:54,2017-10-17 21:52:33
BUILDR-732,13093547,BUILDR,Dependency upgrade,false,Closed,Fixed,2017-08-09 17:29:54,2017-09-09 11:19:08
BUILDR-731,13060031,BUILDR,Improvement,false,Closed,Fixed,2017-03-29 13:02:54,2017-04-02 23:36:13
BUILDR-730,13025509,BUILDR,New Feature,false,Open,,2016-12-05 05:50:29,
BUILDR-729,13025508,BUILDR,New Feature,false,Resolved,Fixed,2016-12-05 05:48:06,2017-02-14 07:13:18
BUILDR-728,13015418,BUILDR,Bug,false,Resolved,Fixed,2016-10-26 13:36:10,2016-11-01 05:29:14
BUILDR-727,13013766,BUILDR,Bug,false,Resolved,Cannot Reproduce,2016-10-20 06:45:35,2016-11-21 05:07:18
BUILDR-726,13011707,BUILDR,Bug,false,Open,,2016-10-12 16:25:29,
BUILDR-725,13005606,BUILDR,Improvement,false,Resolved,Fixed,2016-09-17 05:36:36,2016-11-01 05:31:42
BUILDR-724,13005603,BUILDR,Improvement,false,Resolved,Fixed,2016-09-17 05:11:38,2016-11-01 07:29:33
BUILDR-723,13004940,BUILDR,Bug,false,Resolved,Fixed,2016-09-14 16:25:20,2016-09-17 05:33:08
BUILDR-722,13003447,BUILDR,Task,false,Resolved,Fixed,2016-09-08 05:09:57,2016-09-09 07:14:31
BUILDR-721,13003446,BUILDR,Improvement,false,Resolved,Fixed,2016-09-08 05:07:32,2016-11-21 04:52:39
BUILDR-720,13003444,BUILDR,Task,false,Resolved,Fixed,2016-09-08 05:06:15,2016-11-21 05:06:02
BUILDR-719,13000857,BUILDR,Improvement,false,Resolved,Fixed,2016-08-29 06:10:35,2016-11-21 05:02:17
BUILDR-718,13000521,BUILDR,Task,false,Resolved,Fixed,2016-08-26 21:47:22,2016-11-01 06:52:41
BUILDR-716,12999750,BUILDR,Task,false,Open,,2016-08-24 18:47:54,
BUILDR-715,12999748,BUILDR,Task,false,Resolved,Fixed,2016-08-24 18:45:43,2017-02-14 07:43:46
BUILDR-714,12999503,BUILDR,Bug,false,Resolved,Fixed,2016-08-24 05:24:11,2017-02-14 07:29:12
BUILDR-713,12986686,BUILDR,Bug,false,Resolved,Not A Problem,2016-07-04 22:55:46,2016-08-17 06:48:42
BUILDR-712,12952992,BUILDR,Improvement,false,Resolved,Fixed,2016-03-23 21:35:15,2016-03-29 06:26:34
BUILDR-711,12920903,BUILDR,Question,false,Resolved,Invalid,2015-12-10 22:24:08,2016-08-15 07:19:12
BUILDR-710,12919517,BUILDR,Bug,false,Open,,2015-12-06 16:22:47,
BUILDR-709,12916437,BUILDR,Bug,false,Closed,Fixed,2015-11-26 12:45:50,2015-11-26 22:44:56
BUILDR-708,12846961,BUILDR,Bug,false,Closed,Not A Problem,2015-07-22 18:12:43,2016-03-24 22:03:18
BUILDR-707,12835769,BUILDR,Question,false,Closed,Fixed,2015-06-05 16:22:04,2016-03-24 22:05:21
