Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
DOXIASITETOOLS-238,13419178,DOXIASITETOOLS,New Feature,false,Closed,Fixed,2021-12-23 10:18:23,2021-12-24 19:08:32
DOXIASITETOOLS-237,13416900,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-12-12 15:52:01,2021-12-12 16:55:01
DOXIASITETOOLS-236,13414181,DOXIASITETOOLS,Task,false,Closed,Fixed,2021-11-28 18:40:21,2021-11-28 18:54:02
DOXIASITETOOLS-235,13414180,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-11-28 18:35:58,2021-12-10 20:37:20
DOXIASITETOOLS-234,13410381,DOXIASITETOOLS,Improvement,false,Closed,Fixed,2021-11-06 10:44:21,2021-11-06 14:56:54
DOXIASITETOOLS-233,13385680,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-06-24 16:35:34,2021-06-25 08:07:37
DOXIASITETOOLS-232,13385679,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-06-24 16:34:27,2021-06-24 16:35:10
DOXIASITETOOLS-231,13385677,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-06-24 16:25:10,2021-06-24 16:26:23
DOXIASITETOOLS-230,13382141,DOXIASITETOOLS,Dependency upgrade,false,Reopened,,2021-06-04 12:55:42,
DOXIASITETOOLS-229,13380970,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2021-05-28 12:07:32,2021-07-01 06:18:58
DOXIASITETOOLS-228,13376302,DOXIASITETOOLS,Improvement,false,Closed,Fixed,2021-05-02 21:36:15,2021-06-24 15:42:03
DOXIASITETOOLS-227,13311362,DOXIASITETOOLS,Bug,false,Closed,Fixed,2020-06-14 21:00:33,2020-12-29 16:16:08
DOXIASITETOOLS-226,13335945,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2020-10-18 17:59:52,2020-10-19 16:21:51
DOXIASITETOOLS-225,13313758,DOXIASITETOOLS,Improvement,false,Open,,2020-06-27 14:00:52,
DOXIASITETOOLS-224,13290426,DOXIASITETOOLS,Dependency upgrade,false,Open,,2020-03-08 22:16:51,
DOXIASITETOOLS-223,13286460,DOXIASITETOOLS,Dependency upgrade,false,Closed,Fixed,2020-02-20 12:34:16,2021-06-27 07:49:33
DOXIASITETOOLS-222,13286299,DOXIASITETOOLS,Bug,false,Closed,Cannot Reproduce,2020-02-19 18:29:54,2020-02-20 12:34:33
DOXIASITETOOLS-221,13286297,DOXIASITETOOLS,Bug,false,Closed,Fixed,2020-02-19 18:28:12,2021-06-04 17:09:38
DOXIASITETOOLS-220,13286224,DOXIASITETOOLS,Bug,false,Closed,Invalid,2020-02-19 12:04:57,2020-02-19 12:08:34
