Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
EDGENT-451,13219233,EDGENT,New Feature,false,Open,,2019-03-04 08:08:23,
EDGENT-450,13163691,EDGENT,New Feature,false,Open,,2018-06-03 18:51:59,
EDGENT-449,13154213,EDGENT,Task,false,Open,,2018-04-21 08:40:23,
EDGENT-448,13142317,EDGENT,Wish,false,Open,,2018-03-04 06:37:08,
EDGENT-447,13141244,EDGENT,New Feature,false,Open,,2018-02-27 14:50:43,
EDGENT-446,13138589,EDGENT,Task,false,Open,,2018-02-14 21:29:04,
EDGENT-445,13134874,EDGENT,Test,false,Resolved,Fixed,2018-01-30 20:02:11,2018-01-30 20:48:56
EDGENT-444,13134492,EDGENT,Task,false,Open,,2018-01-29 16:44:10,
EDGENT-443,13124743,EDGENT,Bug,false,Closed,Fixed,2017-12-13 17:22:59,2018-01-02 18:22:22
EDGENT-442,13124733,EDGENT,Bug,false,Closed,Fixed,2017-12-13 16:52:22,2018-01-02 18:22:37
EDGENT-441,13124012,EDGENT,Test,false,Closed,Fixed,2017-12-10 17:49:43,2017-12-11 02:05:13
EDGENT-440,13124010,EDGENT,Task,false,In Progress,,2017-12-10 17:43:19,
EDGENT-439,13123579,EDGENT,Bug,false,Resolved,Fixed,2017-12-07 23:12:59,2017-12-11 02:04:37
EDGENT-438,13119786,EDGENT,Test,false,Closed,Fixed,2017-11-20 22:20:08,2018-01-02 18:24:12
EDGENT-437,13119731,EDGENT,Wish,false,Open,,2017-11-20 17:51:25,
EDGENT-436,13112336,EDGENT,Task,false,Closed,Fixed,2017-10-26 16:32:21,2018-01-02 18:24:38
EDGENT-435,13112334,EDGENT,Bug,false,Closed,Fixed,2017-10-26 16:26:21,2018-01-02 19:34:36
EDGENT-434,13112332,EDGENT,Task,false,Closed,Fixed,2017-10-26 16:23:37,2018-01-02 18:25:08
EDGENT-433,13112329,EDGENT,Task,false,Closed,Fixed,2017-10-26 16:18:54,2018-01-02 18:25:38
EDGENT-432,13112328,EDGENT,Task,false,Closed,Fixed,2017-10-26 16:14:23,2018-01-02 18:26:00
EDGENT-431,13103665,EDGENT,Task,false,Closed,Fixed,2017-09-20 16:48:43,2018-01-02 18:26:21
EDGENT-430,13103169,EDGENT,Improvement,false,Closed,Not A Problem,2017-09-19 07:42:27,2017-09-20 06:31:19
EDGENT-429,13098623,EDGENT,Bug,false,Closed,Fixed,2017-08-30 18:31:13,2018-01-02 18:27:38
EDGENT-428,13088451,EDGENT,New Feature,false,Closed,Fixed,2017-07-19 16:00:24,2017-08-04 18:47:26
EDGENT-427,13084927,EDGENT,Improvement,false,Open,,2017-07-05 18:46:15,
EDGENT-426,13084924,EDGENT,Improvement,false,Open,,2017-07-05 18:40:31,
EDGENT-425,13082640,EDGENT,Improvement,false,Open,,2017-06-26 21:32:45,
EDGENT-424,13081893,EDGENT,Task,false,Closed,Fixed,2017-06-22 20:08:25,2017-06-26 12:26:05
EDGENT-423,13080829,EDGENT,Bug,false,Closed,Fixed,2017-06-19 13:19:41,2018-01-02 18:27:55
EDGENT-422,13080202,EDGENT,Test,false,Closed,Fixed,2017-06-15 20:12:15,2017-06-20 18:49:40
EDGENT-421,13080194,EDGENT,Task,false,Closed,Fixed,2017-06-15 19:34:37,2017-06-20 18:50:11
EDGENT-420,13079236,EDGENT,Task,false,Open,,2017-06-12 15:10:59,
EDGENT-419,13078703,EDGENT,Task,false,Closed,Fixed,2017-06-09 17:45:50,2017-06-12 13:17:04
EDGENT-418,13075861,EDGENT,Bug,false,Closed,Fixed,2017-05-30 15:23:25,2018-01-02 18:21:56
EDGENT-417,13074920,EDGENT,Task,false,Closed,Fixed,2017-05-25 17:43:58,2017-05-30 15:10:17
EDGENT-416,13074595,EDGENT,Bug,false,Open,,2017-05-24 18:03:46,
EDGENT-415,13074295,EDGENT,Improvement,false,Open,,2017-05-23 18:56:31,
EDGENT-414,13072991,EDGENT,Improvement,false,Open,,2017-05-18 02:57:55,
EDGENT-413,13072990,EDGENT,Improvement,false,Closed,Fixed,2017-05-18 02:53:39,2018-01-02 18:28:44
EDGENT-412,13072989,EDGENT,Improvement,false,Open,,2017-05-18 02:51:13,
EDGENT-411,13070843,EDGENT,Improvement,false,Open,,2017-05-10 15:06:33,
EDGENT-410,13066747,EDGENT,Task,false,Closed,Resolved,2017-04-25 16:48:55,2017-04-25 17:03:25
EDGENT-409,13065219,EDGENT,New Feature,false,Closed,Fixed,2017-04-19 21:12:25,2017-04-21 20:57:19
EDGENT-408,13065205,EDGENT,Test,false,Closed,Fixed,2017-04-19 19:58:00,2017-04-19 21:15:58
EDGENT-407,13063803,EDGENT,Wish,false,Closed,Fixed,2017-04-13 14:19:03,2017-04-19 20:20:02
EDGENT-406,13060481,EDGENT,Improvement,false,Closed,Fixed,2017-03-30 20:26:16,2017-03-31 17:15:50
EDGENT-405,13060379,EDGENT,Improvement,false,Closed,Fixed,2017-03-30 14:22:20,2017-03-30 20:31:07
EDGENT-404,13060153,EDGENT,Bug,false,Open,,2017-03-29 21:08:56,
EDGENT-403,13060032,EDGENT,Wish,false,Open,,2017-03-29 13:03:07,
EDGENT-402,13059749,EDGENT,Bug,false,Open,,2017-03-28 14:27:22,
EDGENT-401,13058980,EDGENT,Improvement,false,Closed,Fixed,2017-03-24 18:31:12,2017-03-27 20:57:45
EDGENT-400,13058563,EDGENT,Bug,false,Open,,2017-03-23 11:44:38,
EDGENT-399,13057538,EDGENT,Bug,false,Closed,Fixed,2017-03-20 14:18:41,2017-03-20 20:14:02
EDGENT-398,13056811,EDGENT,Test,false,Closed,Cannot Reproduce,2017-03-16 22:05:17,2018-01-02 20:08:35
EDGENT-397,13056066,EDGENT,New Feature,false,Open,,2017-03-14 20:16:17,
EDGENT-396,13056041,EDGENT,Bug,false,Closed,Fixed,2017-03-14 19:02:33,2017-03-15 13:24:52
EDGENT-395,13055949,EDGENT,Bug,false,Open,,2017-03-14 14:26:58,
EDGENT-394,13055722,EDGENT,Wish,false,Open,,2017-03-13 21:09:51,
EDGENT-393,13050169,EDGENT,Wish,false,Closed,Fixed,2017-03-10 23:14:37,2018-01-02 18:29:44
EDGENT-392,13047821,EDGENT,Bug,false,Open,,2017-03-02 22:02:33,
EDGENT-391,13047315,EDGENT,Task,false,Open,,2017-03-01 13:42:31,
EDGENT-390,13046752,EDGENT,Task,false,Closed,Fixed,2017-02-27 20:23:32,2017-02-28 13:53:04
EDGENT-389,13046730,EDGENT,New Feature,false,Open,,2017-02-27 19:43:58,
EDGENT-388,13046728,EDGENT,New Feature,false,Open,,2017-02-27 19:25:50,
EDGENT-387,13046722,EDGENT,Task,false,Closed,Fixed,2017-02-27 19:15:17,2017-02-28 13:52:40
EDGENT-386,13046717,EDGENT,Task,false,Closed,Fixed,2017-02-27 19:05:15,2017-02-28 13:52:20
EDGENT-385,13046710,EDGENT,Bug,false,Closed,Fixed,2017-02-27 18:38:09,2017-02-28 13:51:54
EDGENT-384,13046008,EDGENT,Improvement,false,Open,,2017-02-24 12:50:09,
EDGENT-383,13044885,EDGENT,Task,false,Closed,Fixed,2017-02-21 16:39:23,2017-02-22 15:04:28
EDGENT-382,13044666,EDGENT,Bug,false,Open,,2017-02-20 22:54:50,
EDGENT-381,13044579,EDGENT,Task,false,Closed,Fixed,2017-02-20 15:27:31,2017-02-20 18:16:16
EDGENT-380,13044567,EDGENT,Task,false,Closed,Fixed,2017-02-20 14:40:00,2017-02-20 22:29:17
