Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
JOSHUA-346,13411597,JOSHUA,New Feature,false,Open,,2021-11-13 07:05:53,
JOSHUA-345,13359936,JOSHUA,Bug,false,Open,,2021-02-21 22:56:41,
JOSHUA-344,13267932,JOSHUA,Task,false,Resolved,Fixed,2019-11-13 07:14:29,2019-11-13 07:15:18
JOSHUA-343,13232618,JOSHUA,Task,false,Resolved,Fixed,2019-05-10 09:59:59,2019-05-10 10:23:59
JOSHUA-342,13229249,JOSHUA,Improvement,false,Resolved,Fixed,2019-04-20 23:26:59,2019-05-12 15:19:59
JOSHUA-341,13221834,JOSHUA,Task,false,Open,,2019-03-15 07:32:41,
JOSHUA-340,13221832,JOSHUA,Task,false,Open,,2019-03-15 07:31:21,
JOSHUA-339,13221831,JOSHUA,Task,false,Open,,2019-03-15 07:30:05,
JOSHUA-338,13221830,JOSHUA,Task,false,Open,,2019-03-15 07:28:41,
JOSHUA-337,13210771,JOSHUA,Task,false,Resolved,Not A Problem,2019-01-21 13:41:52,2019-01-30 21:52:41
JOSHUA-336,13186284,JOSHUA,Improvement,false,Open,,2018-09-20 09:19:11,
JOSHUA-335,13183468,JOSHUA,Improvement,false,Open,,2018-09-06 18:00:53,
JOSHUA-334,13136018,JOSHUA,Improvement,false,In Progress,,2018-02-03 06:55:08,
JOSHUA-333,13128594,JOSHUA,Bug,false,Resolved,Fixed,2018-01-04 19:34:26,2018-01-08 19:52:41
JOSHUA-332,13105394,JOSHUA,Task,false,Resolved,Won't Fix,2017-09-27 11:33:37,2018-05-15 13:13:16
JOSHUA-331,13048630,JOSHUA,Task,false,Resolved,Fixed,2017-03-06 19:59:37,2017-03-08 23:23:42
JOSHUA-330,13039953,JOSHUA,Bug,false,Closed,Invalid,2017-02-02 21:07:28,2017-02-02 21:08:36
JOSHUA-329,13039323,JOSHUA,Bug,false,Resolved,Fixed,2017-01-31 22:55:12,2018-12-17 17:12:18
JOSHUA-328,13037853,JOSHUA,Bug,false,Open,,2017-01-25 21:53:32,
JOSHUA-327,13037791,JOSHUA,Bug,false,Resolved,Fixed,2017-01-25 18:39:45,2017-01-26 01:17:08
JOSHUA-326,13030127,JOSHUA,Improvement,false,Open,,2016-12-22 14:42:26,
JOSHUA-325,13027475,JOSHUA,Task,false,Resolved,Fixed,2016-12-12 15:24:50,2017-01-25 21:51:10
JOSHUA-324,13024224,JOSHUA,Task,false,Resolved,Fixed,2016-11-29 21:23:48,2017-02-23 16:06:41
JOSHUA-323,13020018,JOSHUA,Task,false,Resolved,Fixed,2016-11-11 03:52:54,2016-11-14 17:17:52
JOSHUA-322,13019683,JOSHUA,Bug,false,Resolved,Fixed,2016-11-09 23:42:34,2016-11-09 23:51:42
JOSHUA-321,13019681,JOSHUA,Bug,false,Resolved,Fixed,2016-11-09 23:29:57,2016-11-09 23:33:08
JOSHUA-320,13015940,JOSHUA,Bug,false,Open,,2016-10-27 19:21:04,
JOSHUA-319,13015656,JOSHUA,Bug,false,Resolved,Not A Problem,2016-10-27 02:17:28,2016-10-28 06:36:33
JOSHUA-318,13015544,JOSHUA,Improvement,false,Open,,2016-10-26 19:24:31,
JOSHUA-317,13015453,JOSHUA,Bug,false,Resolved,Fixed,2016-10-26 15:19:20,2016-11-22 21:41:29
