Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MASFRES-52,13419230,MASFRES,New Feature,false,Closed,Invalid,2021-12-23 13:51:45,2021-12-23 14:13:18
MASFRES-51,13417583,MASFRES,Improvement,false,Closed,Invalid,2021-12-15 02:13:56,2021-12-15 07:11:23
MASFRES-50,13417084,MASFRES,Improvement,false,Resolved,Invalid,2021-12-13 16:47:50,2021-12-13 19:34:55
MASFRES-49,13414644,MASFRES,Dependency upgrade,false,Open,,2021-12-01 00:06:15,
MASFRES-48,13401444,MASFRES,Bug,false,Closed,Invalid,2021-09-15 18:09:57,2021-09-15 19:18:23
MASFRES-47,13389293,MASFRES,Test,false,Closed,Invalid,2021-07-13 03:22:32,2021-07-13 05:29:51
MASFRES-45,13380281,MASFRES,Task,false,Closed,Invalid,2021-05-25 09:26:40,2021-05-25 17:34:26
MASFRES-43,13355212,MASFRES,Bug,false,Closed,Invalid,2021-01-28 14:44:53,2021-02-04 22:10:48
MASFRES-42,13344112,MASFRES,Improvement,false,Closed,Incomplete,2020-12-03 23:24:37,2021-02-04 22:11:27
MASFRES-41,13326176,MASFRES,Bug,false,Closed,Incomplete,2020-09-06 09:30:29,2021-02-04 22:13:57
MASFRES-39,13323136,MASFRES,Bug,false,Closed,Invalid,2020-08-18 02:05:53,2020-08-18 08:39:33
MASFRES-38,13321313,MASFRES,Bug,false,Closed,Invalid,2020-08-06 13:52:03,2020-08-08 13:05:02
MASFRES-36,13315603,MASFRES,Bug,false,Closed,Invalid,2020-07-08 10:37:03,2020-07-08 11:25:37
MASFRES-35,13315392,MASFRES,Bug,false,Closed,Invalid,2020-07-07 12:25:12,2020-07-07 16:14:53
MASFRES-34,13312120,MASFRES,Improvement,false,Open,,2020-06-18 06:56:14,
MASFRES-33,13302350,MASFRES,Improvement,false,Closed,Not A Bug,2020-05-01 20:05:01,2021-02-04 22:16:02
MASFRES-31,13299233,MASFRES,Dependency upgrade,false,Open,,2020-04-17 21:31:29,
MASFRES-30,13299228,MASFRES,Improvement,false,Reopened,,2020-04-17 21:14:15,
MASFRES-29,13283803,MASFRES,Bug,false,Closed,Not A Bug,2020-02-06 23:39:22,2020-02-07 08:13:01
MASFRES-28,13283462,MASFRES,Bug,false,Closed,Invalid,2020-02-05 12:19:32,2020-02-05 18:58:32
MASFRES-27,13271941,MASFRES,Task,false,Closed,Invalid,2019-12-03 12:48:54,2020-01-19 09:33:18
MASFRES-26,13270141,MASFRES,Dependency upgrade,false,Closed,Invalid,2019-11-22 18:00:47,2019-11-22 21:03:12
MASFRES-25,13261405,MASFRES,Test,false,Closed,Incomplete,2019-10-09 18:32:33,2019-12-02 00:50:17
MASFRES-22,13198582,MASFRES,Bug,false,Closed,Invalid,2018-11-15 10:30:44,2019-12-02 00:37:38
MASFRES-21,13176096,MASFRES,Bug,false,Closed,Invalid,2018-08-01 11:59:52,2019-12-02 00:41:10
MASFRES-20,13173355,MASFRES,Task,false,Open,,2018-07-20 02:13:22,
MASFRES-19,13148717,MASFRES,New Feature,false,Closed,Won't Fix,2018-03-28 21:27:14,2019-01-07 01:21:10
MASFRES-18,13066645,MASFRES,Improvement,false,Closed,Fixed,2017-04-25 11:02:03,2019-01-07 01:22:44
MASFRES-17,13003714,MASFRES,Improvement,false,Open,,2016-09-08 23:08:45,
MASFRES-16,12958667,MASFRES,Improvement,false,Closed,Fixed,2016-04-13 23:46:57,2016-05-01 11:51:03
MASFRES-12,12752862,MASFRES,Bug,false,Closed,Invalid,2014-11-04 21:24:36,2014-11-05 13:25:50
MASFRES-11,12750139,MASFRES,Bug,false,Closed,Invalid,2014-10-23 17:55:13,2014-10-23 19:21:48
MASFRES-9,12703088,MASFRES,Improvement,false,Closed,Fixed,2014-03-23 16:41:45,2014-09-13 20:45:48
MASFRES-8,12663992,MASFRES,Wish,false,Closed,Not A Problem,2013-08-16 05:36:31,2014-09-13 20:36:04
MASFRES-7,12521340,MASFRES,Bug,false,Closed,Duplicate,2011-09-05 09:34:26,2013-08-07 20:21:32
MASFRES-6,12507631,MASFRES,Bug,false,Closed,Auto Closed,2011-05-18 16:47:33,2019-12-02 00:48:51
MASFRES-5,12497075,MASFRES,Improvement,false,Closed,Auto Closed,2011-01-28 16:05:00,2019-12-02 00:49:37
MASFRES-4,12521398,MASFRES,Improvement,false,Closed,Fixed,2011-09-05 23:42:33,2013-08-07 19:57:50
MASFRES-3,12521399,MASFRES,Improvement,false,Closed,Fixed,2011-09-05 23:47:21,2013-08-07 20:10:20
MASFRES-2,12521338,MASFRES,Bug,false,Closed,Fixed,2011-09-05 09:22:13,2014-09-13 20:27:14
MASFRES-1,12662464,MASFRES,Bug,false,Closed,Fixed,2013-08-07 19:24:13,2013-08-07 19:26:03
