Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
MCOMPILER-479,13420568,MCOMPILER,Improvement,false,Open,,2022-01-04 10:52:12,
MCOMPILER-478,13419464,MCOMPILER,Bug,false,Open,,2021-12-26 23:34:27,
MCOMPILER-477,13418301,MCOMPILER,Bug,false,Open,,2021-12-17 19:43:51,
MCOMPILER-476,13411645,MCOMPILER,Dependency upgrade,false,Open,,2021-11-14 00:25:44,
MCOMPILER-475,13411600,MCOMPILER,Improvement,false,Closed,Fixed,2021-11-13 08:15:30,2021-11-14 00:56:24
MCOMPILER-474,13410787,MCOMPILER,Bug,false,Open,,2021-11-09 09:55:10,
MCOMPILER-473,13407624,MCOMPILER,Bug,false,Closed,Invalid,2021-10-20 20:31:55,2021-10-21 07:39:22
MCOMPILER-472,13406773,MCOMPILER,Task,false,In Progress,,2021-10-15 11:14:57,
MCOMPILER-471,13399621,MCOMPILER,Improvement,false,Closed,Fixed,2021-09-06 19:14:49,2021-09-06 20:03:27
MCOMPILER-470,13392660,MCOMPILER,Bug,false,Open,,2021-07-30 05:54:48,
MCOMPILER-469,13385277,MCOMPILER,Bug,false,Closed,Duplicate,2021-06-22 23:13:13,2021-09-11 09:34:02
MCOMPILER-468,13384412,MCOMPILER,Improvement,false,Open,,2021-06-17 18:09:13,
MCOMPILER-467,13382183,MCOMPILER,Task,false,Closed,Fixed,2021-06-04 16:13:27,2021-09-11 11:30:20
MCOMPILER-464,13379206,MCOMPILER,Bug,false,Closed,Not A Bug,2021-05-19 06:19:10,2021-09-05 09:00:39
MCOMPILER-463,13376458,MCOMPILER,Bug,false,Closed,Cannot Reproduce,2021-05-03 23:15:05,2021-09-11 11:36:39
MCOMPILER-462,13374268,MCOMPILER,Bug,false,Open,,2021-04-22 02:40:57,
MCOMPILER-461,13373251,MCOMPILER,Bug,false,Open,,2021-04-17 22:42:37,
MCOMPILER-460,13370843,MCOMPILER,Bug,false,Open,,2021-04-10 19:47:09,
MCOMPILER-459,13367694,MCOMPILER,Bug,false,Closed,Not A Problem,2021-03-25 18:46:31,2021-03-30 06:20:30
MCOMPILER-458,13367374,MCOMPILER,Bug,false,Closed,Invalid,2021-03-24 22:36:58,2021-09-07 21:23:30
MCOMPILER-457,13366917,MCOMPILER,Improvement,false,Open,,2021-03-23 08:19:45,
MCOMPILER-456,13359348,MCOMPILER,New Feature,false,Open,,2021-02-18 14:34:18,
MCOMPILER-455,13357938,MCOMPILER,Bug,false,Closed,Fixed,2021-02-10 13:29:05,2021-07-04 07:56:34
MCOMPILER-454,13356158,MCOMPILER,Bug,false,Closed,Cannot Reproduce,2021-02-02 10:11:10,2021-09-07 21:19:26
MCOMPILER-453,13355960,MCOMPILER,Wish,false,Open,,2021-02-01 14:32:19,
MCOMPILER-452,13355369,MCOMPILER,Bug,false,Closed,Invalid,2021-01-29 07:30:54,2021-09-10 17:48:25
MCOMPILER-451,13353523,MCOMPILER,Bug,false,Open,,2021-01-20 12:27:36,
MCOMPILER-450,13353196,MCOMPILER,Bug,false,Open,,2021-01-19 06:41:21,
MCOMPILER-449,13348025,MCOMPILER,Improvement,false,Closed,Fixed,2020-12-27 16:36:08,2021-09-11 09:30:33
MCOMPILER-448,13346765,MCOMPILER,Task,false,Closed,Invalid,2020-12-18 10:30:52,2021-01-20 12:26:18
MCOMPILER-447,13346459,MCOMPILER,Bug,false,Closed,Won't Fix,2020-12-16 23:37:20,2021-09-05 18:56:38
MCOMPILER-446,13346038,MCOMPILER,Bug,false,Open,,2020-12-15 06:09:24,
MCOMPILER-445,13345739,MCOMPILER,Bug,false,Resolved,Fixed,2020-12-13 16:10:41,2021-01-07 15:55:03
MCOMPILER-444,13345534,MCOMPILER,Bug,false,Open,,2020-12-11 14:21:38,
MCOMPILER-443,13343181,MCOMPILER,Bug,false,Open,,2020-11-29 17:40:44,
MCOMPILER-442,13342478,MCOMPILER,New Feature,false,Open,,2020-11-24 22:28:09,
MCOMPILER-441,13341321,MCOMPILER,Bug,false,Closed,Cannot Reproduce,2020-11-18 12:19:15,2020-12-23 19:29:01
MCOMPILER-437,13334929,MCOMPILER,Improvement,false,Closed,Incomplete,2020-10-12 05:49:31,2021-09-08 06:56:17
MCOMPILER-436,13334911,MCOMPILER,Bug,false,Closed,Not A Problem,2020-10-12 02:16:41,2020-10-27 20:52:31
MCOMPILER-435,13334311,MCOMPILER,Bug,false,Open,,2020-10-07 23:41:01,
MCOMPILER-434,13334133,MCOMPILER,Bug,false,Open,,2020-10-07 08:56:52,
MCOMPILER-433,13329732,MCOMPILER,Bug,false,Open,,2020-09-28 11:15:59,
MCOMPILER-432,13328233,MCOMPILER,Improvement,false,Closed,Duplicate,2020-09-18 12:04:48,2021-09-07 21:24:59
