Key,ID,Project,IssueType,IsSubtask,Status,Resolution,Created Date,Resolved Date
TILES-600,13230394,TILES,Bug,false,Open,,2019-04-26 21:18:11,
TILES-599,13181580,TILES,Bug,false,Closed,Fixed,2018-08-28 11:09:41,2018-09-07 12:46:13
TILES-598,13170274,TILES,Bug,false,Closed,Fixed,2018-07-05 13:48:53,2018-09-07 11:31:55
TILES-597,13162368,TILES,Improvement,false,Open,,2018-05-28 10:47:11,
TILES-596,13151251,TILES,Task,false,Open,,2018-04-10 01:00:05,
TILES-595,13133050,TILES,Bug,false,Open,,2018-01-23 13:29:28,
TILES-594,13119135,TILES,Bug,false,Reopened,,2017-11-17 07:17:26,
TILES-593,13117035,TILES,Bug,false,Open,,2017-11-08 17:10:30,
TILES-592,13108308,TILES,Bug,false,Open,,2017-10-10 14:20:35,
TILES-591,13096120,TILES,Dependency,false,Open,,2017-08-18 19:35:39,
TILES-590,13078365,TILES,Task,false,Resolved,Not A Problem,2017-06-08 16:06:14,2017-06-13 00:57:36
TILES-589,13077939,TILES,Bug,false,Open,,2017-06-07 09:17:11,
TILES-588,13061616,TILES,Improvement,false,Closed,Fixed,2017-04-05 04:21:21,2017-04-06 03:29:52
TILES-587,13055868,TILES,Improvement,false,Closed,Not A Problem,2017-03-14 08:30:57,2017-04-02 05:22:08
TILES-586,13041930,TILES,Improvement,false,Open,,2017-02-10 03:28:33,
TILES-585,12982677,TILES,Bug,false,Reopened,,2016-06-24 12:52:27,
TILES-584,12781806,TILES,Bug,false,In Progress,,2015-03-13 13:33:37,
TILES-583,12781301,TILES,Bug,false,Resolved,Fixed,2015-03-11 19:40:03,2015-03-12 13:10:17
TILES-582,12759136,TILES,Bug,false,Open,,2014-12-03 10:18:15,
TILES-581,12755857,TILES,Bug,false,Open,,2014-11-17 17:49:32,
TILES-580,12740773,TILES,Improvement,false,Resolved,Fixed,2014-09-11 12:50:57,2014-09-16 02:26:15
TILES-578,12734680,TILES,Bug,false,Resolved,Not A Bug,2014-08-18 04:11:44,2017-02-23 09:48:25
TILES-577,12683264,TILES,Improvement,false,Open,,2013-12-07 07:27:04,
TILES-576,12681377,TILES,Bug,false,Closed,Fixed,2013-11-26 20:18:23,2013-11-27 21:25:33
TILES-575,12678665,TILES,Bug,false,Closed,Invalid,2013-11-11 20:34:54,2013-11-11 20:39:56
TILES-574,12678300,TILES,Bug,false,Resolved,Fixed,2013-11-08 19:47:53,2013-11-18 20:12:39
TILES-573,12676981,TILES,Bug,false,Resolved,Fixed,2013-11-01 01:02:58,2013-11-06 16:27:37
TILES-572,12675937,TILES,Bug,false,Resolved,Not A Problem,2013-10-26 05:23:44,2013-10-28 16:13:21
TILES-570,12651536,TILES,Bug,false,Open,,2013-06-06 22:25:54,
TILES-569,12649509,TILES,Improvement,false,Closed,Won't Fix,2013-05-27 06:37:47,2013-05-27 07:11:00
TILES-568,12638024,TILES,Bug,false,Resolved,Fixed,2013-03-20 17:37:21,2015-03-01 21:11:44
TILES-567,12634319,TILES,Bug,false,Closed,Fixed,2013-02-26 23:57:50,2013-02-26 23:59:18
TILES-566,12634318,TILES,Bug,false,Resolved,Invalid,2013-02-26 23:57:41,2013-03-05 00:35:29
TILES-565,12634222,TILES,Bug,false,Open,,2013-02-26 19:10:15,
TILES-564,12634021,TILES,New Feature,false,Open,,2013-02-25 23:24:41,
TILES-563,12632716,TILES,Bug,false,In Progress,,2013-02-16 17:31:31,
TILES-562,12623125,TILES,Bug,false,Open,,2012-12-10 11:11:02,
TILES-561,12614101,TILES,Bug,false,Closed,Won't Fix,2012-10-30 23:10:30,2012-12-02 22:56:08
TILES-560,12605418,TILES,Task,false,Closed,Fixed,2012-08-29 19:30:00,2015-03-01 21:04:55
TILES-559,12605417,TILES,Task,false,Closed,Fixed,2012-08-29 19:28:12,2015-03-01 21:04:16
TILES-558,12602458,TILES,Bug,false,Reopened,,2012-08-09 13:05:23,
TILES-557,12601206,TILES,Bug,false,Resolved,Fixed,2012-08-02 11:33:50,2012-08-02 12:35:51
TILES-556,12600188,TILES,Temp,false,Resolved,Invalid,2012-07-25 17:22:17,2012-07-25 18:22:37
TILES-555,12599056,TILES,Bug,false,Open,,2012-07-17 01:37:12,
TILES-554,12560762,TILES,Bug,false,Open,,2012-06-15 12:27:01,
TILES-553,12560093,TILES,Bug,false,Resolved,Fixed,2012-06-10 17:47:13,2012-06-19 23:20:21
TILES-552,12557060,TILES,Task,false,Resolved,Fixed,2012-05-23 20:22:09,2012-06-27 22:05:16
TILES-551,12556901,TILES,Bug,false,Open,,2012-05-22 18:45:40,
TILES-550,12554937,TILES,Bug,false,Open,,2012-05-11 17:09:27,
TILES-549,12554934,TILES,Task,false,Open,,2012-05-11 16:29:05,
TILES-548,12554026,TILES,Bug,false,Resolved,Fixed,2012-05-05 01:21:02,2012-07-11 20:05:39
TILES-547,12552802,TILES,Bug,false,Closed,Fixed,2012-04-26 07:20:22,2012-04-29 12:13:37
TILES-546,12552789,TILES,Improvement,false,Open,,2012-04-26 04:35:58,
TILES-545,12552785,TILES,Improvement,false,Open,,2012-04-26 04:21:52,
TILES-544,12551246,TILES,Bug,false,Resolved,Invalid,2012-04-17 15:28:58,2012-06-10 22:47:51
TILES-543,12545449,TILES,Improvement,false,Closed,Fixed,2012-03-07 05:29:58,2012-04-29 12:15:24
TILES-542,12542511,TILES,Improvement,false,Open,,2012-02-14 11:14:47,
TILES-541,12542509,TILES,Bug,false,Open,,2012-02-14 10:52:42,
TILES-540,12537525,TILES,Improvement,false,Closed,Fixed,2012-01-06 15:16:22,2012-01-07 15:02:18
TILES-539,12527890,TILES,New Feature,false,Closed,Fixed,2011-10-20 08:01:33,2011-10-29 12:07:05
TILES-538,12527887,TILES,Improvement,false,Closed,Fixed,2011-10-20 07:17:37,2011-11-08 11:47:26
TILES-537,12522765,TILES,Task,false,Closed,Fixed,2011-09-12 16:44:45,2011-10-20 07:58:36
TILES-536,12518384,TILES,Bug,false,Closed,Not A Problem,2011-08-09 23:29:17,2011-08-10 06:20:03
TILES-535,12518030,TILES,Bug,false,Closed,Cannot Reproduce,2011-08-05 12:24:57,2011-08-10 06:20:51
TILES-534,12516943,TILES,Bug,false,Closed,Fixed,2011-08-02 14:53:28,2011-11-08 12:24:48
TILES-533,12514460,TILES,Improvement,false,Closed,Invalid,2011-07-18 15:51:32,2012-06-15 14:39:36
TILES-532,12454461,TILES,Task,false,Closed,Fixed,2009-10-25 19:05:07,2011-06-30 19:05:14
